Simulation,a,b,b/a,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass
m10i_res500,0.1210416121123464,0.06835014711762395,0.5646830534129357,12,23222,20889,1.861556847506224,0.5947092842543754,7182183.682155609
m10i_res500,0.10168495087459847,0.06966746642609437,0.6851305510489039,11,23222,20883,1.2936408472237377,0.4339975994243736,7182229.027122389
m10i_res500,0.09126062212967861,0.062329413341637434,0.6829825601349638,11,23222,20884,1.899850986303116,0.5767628736697259,7182414.87738095
m10i_res500,0.111730126637239,0.0803768306841946,0.7193836891025726,11,23222,20890,1.6409281775895674,0.5118553090859437,7182282.466137823
m10i_res500,0.10436992551747767,0.06145847454567209,0.5888523369251645,12,23222,20886,1.5816464236147887,0.5178125539234275,7182247.479879176
m10i_res500,0.03513045711230896,0.023848918583053394,0.6788673004399151,12,23222,20884,1.8402221098608884,0.5676021235296265,7182299.931818258
m10i_res500,0.09320711224511918,0.06858189617865733,0.7358011049446351,11,23222,20886,1.8670961874857177,0.566857049426185,7182312.025888671
m10i_res500,0.13656764065491045,0.0696771386487813,0.5102024045714227,12,23222,20888,1.797514917997954,0.5926129956150462,7182257.075674087
m10i_res500,0.08696073642199689,0.06259692216825849,0.7198297156143272,12,23222,20887,1.3347410875963208,0.43984172522339193,7182410.915561138
m10i_res500,0.1121420719530728,0.08667278659898772,0.772883763332436,11,23222,20887,1.657685311300913,0.5168863652227599,7182372.597440538
m10i_res500,0.10234230511519621,0.058568231768870535,0.5722778249224141,12,23222,20884,1.620940479413962,0.5282929800918712,7182411.102245938
m10i_res500,0.1252727454412858,0.08357825382629008,0.6671702893704238,12,23222,20884,1.7740096333032884,0.5415220296617582,7182186.498818692
m10i_res500,0.10875169579014346,0.07857789499457435,0.7225440893005012,11,23222,20885,1.7207610834671376,0.53867267157498,7182224.886427985
m10i_res500,0.122593931953026,0.1000790007021086,0.8163454675754719,11,23222,20889,1.557683503668631,0.4835882293881975,7182078.427820908
m10i_res500,0.1311528322630042,0.07136916772100231,0.5441679488696352,12,23222,20887,1.691201936617043,0.5529939407755743,7182178.36701736
m10i_res500,0.11072301315318811,0.07874730634442828,0.7112099291904148,11,23222,20884,1.871897867283133,0.5733366498530528,7182186.197810875
m10i_res500,0.06986164588521233,0.038181350685974134,0.5465280727669775,11,23222,20884,1.6756684234158912,0.549462966402351,7182255.563522995
m10i_res500,0.10218508626187009,0.06960483586653106,0.6811643304596768,11,23222,20885,1.493111714210637,0.4847003115994246,7182210.862434876
m10i_res500,0.08284860167914984,0.05306201341639783,0.6404696318459618,11,23222,20887,1.5704346019388153,0.5050488188483634,7182188.480194234
m10i_res500,0.11159161966825232,0.07788940695805066,0.6979861676854047,11,23222,20886,1.607029401374095,0.5088805757176188,7182102.669329656
m10i_res500,0.12753320519894798,0.08320376831294551,0.6524086663010635,11,23222,20883,1.9119067563236427,0.5811829763044696,7182134.758513739
m10i_res500,0.10726317342765977,0.06164575080361481,0.5747149635209127,12,23222,20884,1.5850711605229761,0.5244677878666588,7182264.607024425
m10i_res500,0.12325189438839475,0.07417691041817501,0.601831807829474,12,23222,20885,1.566790000746974,0.5135911200861164,7182306.004736483
m10i_res500,0.10726108920967163,0.07570905093538162,0.7058389159873925,11,23222,20885,1.9199971790000894,0.5826945213482492,7182433.87319974
m10i_res500,0.1018497371971263,0.06421117301953547,0.6304500609094079,12,23222,20888,1.628611793259569,0.521154689347102,7182446.57208033
m10i_res500,0.13951614898816428,0.0938411910515612,0.6726188454321667,11,23222,20885,1.927544165774644,0.5820465408322384,7182131.925022418
m10i_res500,0.09666747425530901,0.0622397814768262,0.6438544293858797,11,23222,20888,1.5471667017237196,0.500055603151874,7182341.773161245
m10i_res500,0.08408791906512715,0.057420437162423496,0.6828619116849668,11,23222,20884,1.2798369032405115,0.433855442052304,7182115.359472988
m10i_res500,0.1315984079258386,0.09356648629119892,0.7110001387245329,12,23222,20885,1.931045498047149,0.5857035285370455,7182133.857880448
m10i_res500,0.11971925430801839,0.06129254006668034,0.5119689428484452,12,23222,20885,1.8459411505738037,0.5861476421677939,7182280.453153679
