Simulation,a,b,b/a,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass
m10i_res500,0.11303329566964407,0.0725665938660732,0.6419930820929032,12,23222,20884,1.359389827045395,0.45935201198845343,7182307.6015750365
m10i_res500,0.10453081573640487,0.07266985685512088,0.6952003229207768,11,23222,20885,1.9082222326349507,0.5795990041582749,7182206.760590104
m10i_res500,0.09632851067413942,0.055019087344835044,0.5711609881622056,11,23222,20887,1.7953989775269428,0.5733167864150834,7182074.551949045
m10i_res500,0.08835118199597412,0.07303050822174417,0.8265934486883485,11,23222,20887,1.5959296358455242,0.4938952905640741,7182222.748615399
m10i_res500,0.1469344547220821,0.07577828726651395,0.5157285090814413,12,23222,20889,1.8454922034651615,0.5953658441267091,7182255.434032077
m10i_res500,0.009556062480739615,0.008682466059328686,0.9085819684444638,10,23222,20887,1.436641145950605,0.4492952732147337,7182135.428005148
m10i_res500,0.12774536399280173,0.0945679799108715,0.7402850244819864,11,23222,20887,1.7341086091373021,0.5344463789881099,7182262.097966119
m10i_res500,0.08604937794386049,0.07931794436811453,0.9217724318688554,9,23222,20888,1.4141314658568518,0.4379517144441625,7182251.029138794
m10i_res500,0.13226754701616278,0.06996548761345314,0.5289694198751832,12,23222,20883,1.8192999245530417,0.5739775684822858,7182340.803475888
m10i_res500,0.09511353184399125,0.06537274506795501,0.6873127703341079,11,23222,20885,1.2762887863645342,0.4338624709288096,7182269.433873467
m10i_res500,0.1412803178777946,0.09778699144533104,0.6921487218758621,11,23222,20886,1.9141766779668135,0.5828537774647458,7182241.84910051
m10i_res500,0.12958406319163224,0.07003628356853736,0.5404698837461664,12,23222,20883,1.8873054552860928,0.5833840784884771,7182183.828353507
m10i_res500,0.11119278914461952,0.07888390095942863,0.709433602360947,11,23222,20885,1.9199346079254442,0.5808899454916931,7182345.347878534
m10i_res500,0.10071746374739408,0.07077401152672885,0.70269850821735,11,23222,20884,1.3209827156294163,0.4405536559891183,7182310.872598644
m10i_res500,0.122100671478695,0.0635859369247804,0.5207664802717759,12,23222,20887,1.8217435319798234,0.5882151845621576,7182379.057099438
m10i_res500,0.09912349158847587,0.08661181748650883,0.8737769029171117,10,23222,20889,1.3303796778047923,0.43016199411060263,7182384.231187879
m10i_res500,0.13690928154826945,0.06990284597199703,0.5105778452818169,12,23222,20888,1.8355417024405198,0.59542111657485,7182122.620924967
m10i_res500,0.12409215600027138,0.0961588014417281,0.7748983057520398,11,23222,20887,1.7559003752216236,0.5344627122591946,7182204.343962248
m10i_res500,0.12503806533408385,0.06476447863987703,0.5179580991343363,12,23222,20887,1.8328632089882357,0.5917781007154618,7182227.580451406
m10i_res500,0.1087960777547502,0.08647636463509258,0.7948481822113931,11,23222,20886,1.613770546507075,0.4937346122123249,7182269.051923145
m10i_res500,0.11424700802388045,0.10418875503029464,0.9119604690961939,10,23222,20886,1.483482943172609,0.4625218177155408,7182182.192448255
m10i_res500,0.13191312481879475,0.0697525360411743,0.5287763149951253,11,23222,20884,1.8860284472208115,0.5851703768228314,7182473.4794971235
m10i_res500,0.08061287026767903,0.062031498743128244,0.7694986983734678,11,23222,20886,1.361085226934263,0.4442305882247283,7182120.105883621
m10i_res500,0.12860708927354386,0.09595812184446356,0.7461339991947348,11,23222,20887,1.8036485853395212,0.5477775024401822,7182198.3157163225
m10i_res500,0.1150931061955269,0.07035364586881275,0.6112759329763146,12,23222,20886,1.5513363885034326,0.5109361423568004,7182293.895083634
m10i_res500,0.0997610804296409,0.06376425926950545,0.6391696941822603,12,23222,20883,1.8165330398520085,0.5643740428838755,7182147.718972614
m10i_res500,0.07664716159170526,0.05838716863834712,0.7617655686895752,11,23222,20887,1.661509530122536,0.5162404241281362,7182297.60109031
m10i_res500,0.12281296653752025,0.06791825096179899,0.5530218255989238,12,23222,20886,1.7975820865418788,0.5633710084919049,7182100.677667043
m10i_res500,0.14039527825958695,0.1017309298960667,0.7246036416407755,11,23222,20887,1.8781981612545866,0.571508841564766,7182309.97475804
m10i_res500,0.10831542903284991,0.06861447810827864,0.6334691070417054,12,23222,20885,1.4052420695995826,0.47629354930019513,7182099.11826445
