Simulation,a,b,b/a,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass
object_44,0.46953496533742795,0.22935870768047117,0.4884805703780637,12,1013940,902079,11.800817160265607,3.13507565294235,51111819056.90649
object_44,0.4274124876423491,0.3798232427324428,0.8886573362130492,10,1013940,902852,11.215416341172878,2.727227574438386,51111792005.652115
object_44,0.40597206337381014,0.25008302362349777,0.6160104258041688,11,1013940,902579,11.6548817666098,2.9400949162263057,51111820285.399025
object_44,0.47713659594497343,0.24819728415290887,0.5201807747765644,11,1013940,902227,11.853944312456875,3.1104333741170187,51111817914.875694
object_44,0.4623789382544555,0.40043593280942485,0.8660341111581032,10,1013940,902935,12.146423740063577,2.9287465898902,51111806829.959236
object_44,0.4799559658143107,0.19771411874733932,0.4119422047643274,12,1013940,901454,10.953257170875286,2.9747714423586764,51111810404.13652
object_44,0.43535815063099303,0.34859333600204456,0.8007047427429702,10,1013940,902917,12.368557727655139,3.005559383607306,51111827123.32162
object_44,0.18154007892517723,0.10046313636766564,0.5533937021646448,11,1013940,902402,12.198846799045583,3.14130561332399,51111839093.93137
object_44,0.41898739731692597,0.1733090851941997,0.41363794305991286,12,1013940,901262,10.763786239418266,2.9130946896537777,51111823383.03807
object_44,0.35516465991481205,0.10246063145607354,0.2884876876000253,13,1013940,899625,10.623304890710832,3.074619466353976,51111820745.10401
object_44,0.11038153246709531,0.026203917851082864,0.2373940392510336,13,1013940,898957,11.42836566876295,3.4050573557759574,51111792861.06251
object_44,0.5251128675311484,0.4534632125826122,0.8635538007563943,10,1013940,903040,13.104603937712636,3.1491845364924673,51111797067.09286
object_44,0.5514255027327345,0.19156457692823056,0.34739883443707587,12,1013940,901070,11.769365668935132,3.2591365499275913,51111812718.05467
object_44,0.44679504284861926,0.28294254727534374,0.6332714559037953,11,1013940,902435,10.837149204161388,2.7838529458531487,51111810286.1331
object_44,0.44218786835266755,0.4075811918747249,0.9217376166223945,9,1013940,902937,11.764017127344122,2.8446722345694524,51111815076.068054
object_44,0.4870455979094269,0.17160982271723094,0.3523485756854007,12,1013940,900774,10.794592553948647,3.024236720196305,51111896229.99905
object_44,0.29032433321268075,0.1314414573292545,0.4527400644470452,12,1013940,901869,11.67450653371725,3.062758412513409,51111813311.04215
object_44,0.500899160589949,0.4052749503562947,0.8090948882385228,10,1013940,902954,12.998718775422017,3.1498889942529638,51111814826.07111
object_44,0.46468128299362615,0.13078994890284495,0.28146162475117154,13,1013940,899626,10.74898703748932,3.2099156735406336,51111787219.18784
object_44,0.49407065226980534,0.17526935223804394,0.3547455236064734,12,1013940,900939,11.137001898974498,3.1044164015592757,51111801056.312645
object_44,0.4236021132313955,0.3724717450877481,0.8792962392146587,10,1013940,903049,12.845692918985446,3.086154468955007,51111819020.03463
object_44,0.4194366889098152,0.10975293319373859,0.261667460419365,13,1013940,899020,10.567503518471757,3.108660184437695,51111811799.316
object_44,0.522702652281565,0.12452238696521853,0.23822796081421427,13,1013940,899035,11.531796020118412,3.4323863971980573,51111808252.97475
object_44,0.4803454127077887,0.41454881350881,0.8630223221492382,10,1013940,903053,13.119909001578039,3.1527782413926615,51111803091.96155
object_44,0.48481687723977335,0.20791751709754624,0.42885783655323856,12,1013940,901586,11.131245120189003,3.065231641349865,51111791787.11628
object_44,0.48023085254596354,0.27485729650833374,0.5723441029479187,11,1013940,902203,11.205947625483581,2.8809969848126804,51111822208.08946
object_44,0.5044206007226706,0.3854870080273462,0.764217415932396,11,1013940,902937,12.897037464352934,3.122886450790322,51111803101.312935
object_44,0.4585280536930168,0.3224117564491353,0.7031451049775659,11,1013940,902618,11.347839950269933,2.8596628681613865,51111835686.46464
object_44,0.3881840114081069,0.3363511780530562,0.8664735490598101,10,1013940,902804,11.243148298139332,2.7441828925029323,51111854394.45446
object_44,0.5242900943515459,0.2266472075082024,0.4322935145065536,12,1013940,901890,12.064297015538273,3.187179942911098,51111802657.45429
