Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
object_301,2.161167730999404,1.1691477871766853,0.8516425925100469,0.5409796613222742,0.39406593958175373,0.7284302308492878,0.6059340604182463,0.8373753143183551,18,23304,20845,21.10295964055434,6.508513995540768,990294519.2076946,[ 0.18740443 -3.30752424  2.20183115],"[[-0.36903487  0.70388964  0.60692062]
 [ 0.80300632 -0.08732292  0.58953843]
 [-0.46796807 -0.70492133  0.53300263]]"
object_341,3.1010339806000102,2.1044107868100705,1.3447119869601205,0.6786158423207262,0.4336334252938228,0.6389969084878507,0.5663665747061772,0.6644159501193291,30,21495,19239,21.079768208919532,8.94759700777861,908091137.6919992,[-1.44193573 -2.8227535  -0.49361754],"[[-0.11730774 -0.83256195  0.54136817]
 [-0.99302611  0.09188896 -0.07386174]
 [ 0.01174872 -0.54625728 -0.83753504]]"
object_354,3.398332439100808,2.7828050117188714,1.356561539733838,0.8188736863116299,0.3991844718089974,0.4874799111044876,0.6008155281910026,0.39189341239139985,14,31522,28265,16.145054047163757,9.215022994969159,1323417483.279032,[4.58006966 6.41234576 2.6417763 ],"[[ 0.9181222   0.34235877  0.19960485]
 [ 0.39490852 -0.83251146 -0.38855107]
 [-0.03314945 -0.43556302  0.89954765]]"
object_364,1.6350474691822394,1.4270712821949745,0.9909292888680631,0.8728011321339293,0.606055363862721,0.6943796720118405,0.39394463613727904,0.37651233201383194,30,18390,16446,16.517304836222547,4.970389361495327,776133466.0050882,[-1.33270898 -0.91619415 -0.24429197],"[[ 0.74923986  0.66228089  0.00486481]
 [ 0.63308957 -0.71401967 -0.29895401]
 [ 0.19451795 -0.22706812  0.95425512]]"
object_368,2.1850738226783055,1.4852202868449875,1.0543474808139242,0.6797117202312698,0.4825225902535326,0.7098929971214205,0.5174774097464674,0.7012664858951972,30,14387,12839,20.47573443123509,5.973825965615201,608136456.6108533,[-2.06211724  1.68428611 -2.60109976],"[[-0.30985274 -0.06256586 -0.94872377]
 [ 0.45777012 -0.88438219 -0.0911848 ]
 [-0.83332935 -0.46255125  0.30266902]]"
object_369,12.671642393507915,2.229435784445584,1.9811285256852975,0.175938975802205,0.15634346868092588,0.8886232738827077,0.8436565313190741,0.993325613083292,13,21155,18940,33.41792770085549,23.98631869080334,896556442.3508673,[ 7.47882104 -5.81839121  3.9116734 ],"[[-0.41742578 -0.85553577  0.30629115]
 [ 0.64939902 -0.04507943  0.7591105 ]
 [-0.63563875  0.51577747  0.57440141]]"
object_371,2.204494069173402,1.3202751593746158,0.9534912132056921,0.5989016608557567,0.4325215597260434,0.7221912844723513,0.5674784402739566,0.788900232420707,30,27129,24268,17.68075755618294,7.649433715535759,1156121765.2811325,[-0.06348322  0.60898188 -0.53353638],"[[-0.45470533 -0.30298008  0.83752381]
 [ 0.85761923  0.10474107  0.50350627]
 [ 0.24027551 -0.94722351 -0.21221522]]"
object_376,8.94184972765313,2.0107806180804277,1.4583810325663669,0.22487300495131174,0.16309612406661772,0.7252810274044695,0.8369038759333822,0.9753775106000433,30,29245,26165,58.40753054069127,8.798926110945667,1244854667.1725545,[-4.57754309 -0.98083936  3.61617211],"[[-0.85091975  0.3893628  -0.35260768]
 [-0.09203234  0.55036964  0.8298333 ]
 [ 0.51717079  0.73857286 -0.43248643]]"
object_385,2.798513775148105,1.750159392963078,1.442340650887558,0.6253888790918869,0.5153952300310637,0.8241195954418913,0.4846047699689363,0.8291332839974546,13,18790,16809,20.274928343338637,8.539569122723593,792832841.0897933,[-2.56670442 -0.37811688  0.19862052],"[[-0.49809625  0.84505675 -0.19436876]
 [-0.85669418 -0.44492615  0.26099005]
 [-0.13407166 -0.29651275 -0.94557124]]"
object_389,2.2759052748136015,1.5517221563125652,1.0531767538113086,0.6818043674685241,0.4627506976965747,0.6787147747596936,0.5372493023034253,0.6809630015066945,30,25468,22801,15.857506351644096,7.071631581426433,1077087827.1899934,[-4.06435629 -4.16639261  0.70485756],"[[-0.46137329 -0.77656269 -0.42905137]
 [-0.84386523  0.23480537  0.4824499 ]
 [ 0.27390902 -0.58465103  0.76364718]]"
object_393,2.6798500113794623,1.7014846488667483,1.1518338570311701,0.634917865418484,0.4298128074855427,0.6769581246579768,0.5701871925144573,0.7321328266620704,10,20765,18609,15.395485560464401,8.022100337171143,875487354.5940993,[ 2.2109805  -0.82001206 -0.71374005],"[[ 0.96473344 -0.19246663  0.17957167]
 [-0.12455196  0.26721901  0.95555262]
 [ 0.23189696  0.94421957 -0.23382302]]"
object_395,2.3998014628572317,2.039341445388481,0.7544877029267344,0.8497959005993843,0.3143958842447043,0.36996634606374584,0.6856041157552957,0.30832304879413525,19,24593,22041,15.45433713040521,8.607333055950718,1033995278.3251625,[ 4.7073846  -1.3989753  -1.69857558],"[[ 0.77213971  0.53661851  0.340354  ]
 [ 0.62815271 -0.72550854 -0.28117883]
 [-0.09604397 -0.43090362  0.89727232]]"
