Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12c_res7100,0.8303685543855611,0.8131035686849859,0.055800406979549674,0.9792080448983878,0.06719956660791387,0.0686264445620309,0.9328004333920861,0.04133827945430787,30,411814,367366,16.833604745718606,6.277214622722372,2875903247.2013197,"[7.73983617963095e-06, 0.49999368664256416]",600,0.0,[-0.02912426  0.15820118 -0.1162803 ],"[[ 0.20955992 -0.31824495  0.92455654]
 [ 0.96606661  0.21340489 -0.14551172]
 [ 0.15099652 -0.92367662 -0.35216694]]"
m12c_res7100,0.9932132548378347,0.9119917028176397,0.08618349941769732,0.9182234513841075,0.08677240159442776,0.09450031085965967,0.9132275984055722,0.15805576626675416,30,446128,399026,17.50126073330703,6.506608887627799,2928364924.969821,"[0.5000094501784927, 0.9999917191982957]",600,0.0,[-0.18202515  0.11730607 -0.40772932],"[[ 0.23197365  0.2786654   0.93195162]
 [-0.50634413  0.85264085 -0.1289155 ]
 [ 0.83054431  0.44198324 -0.33889079]]"
m12c_res7100,0.9057264492186515,0.8009325675259772,0.10400329147353123,0.884298529889375,0.11482859042402081,0.1298527437769073,0.8851714095759792,0.2209291951755377,30,438712,392531,19.23876058471791,7.2991831719416735,2786605877.905349,"[1.0000229036326571, 1.4999742989680198]",600,0.0,[-0.14696545  0.06494086 -0.38716222],"[[ 0.49493327 -0.09038076  0.86421778]
 [ 0.4363009   0.88596031 -0.15721277]
 [ 0.75145364 -0.45486883 -0.47792444]]"
m12c_res7100,0.9332826479338678,0.904104452435584,0.11437044655460164,0.9687359498616207,0.12254641914515259,0.12650136413607624,0.8774535808548474,0.062489097265356,21,467950,418116,17.125268631998686,6.567987707889453,2932200107.932494,"[1.5000050882209481, 1.9999749373067153]",600,0.0,[-0.19682033 -0.01170421 -0.44215429],"[[-0.26348621 -0.25087358 -0.93147059]
 [ 0.39606413 -0.90858709  0.13267522]
 [-0.87960686 -0.333964    0.33876219]]"
m12c_res7100,0.7935200546609206,0.7819073515310836,0.12155381696504827,0.985365583312448,0.15318304339137276,0.15545808173695894,0.8468169566086272,0.029752818440433804,14,472221,422834,15.354742502730584,5.841242487097327,2896887707.423442,"[2.0000006799566217, 2.4999923640912143]",600,0.0,[-0.14052673  0.02661607 -0.30407129],"[[ 0.24634417 -0.26153398  0.93322801]
 [-0.44013528 -0.88807236 -0.13269676]
 [ 0.86347871 -0.37805749 -0.33388178]]"
m12c_res7100,0.7946470374838724,0.7836573449082815,0.13282533570853716,0.986170347264632,0.1671501049435837,0.16949415018126693,0.8328498950564163,0.02825753798254729,15,471850,422385,14.85414092440089,5.528144008749743,2896311261.350091,"[2.500006348524506, 2.9999864682770285]",600,0.0,[-0.12245582  0.0531539  -0.28548325],"[[ 0.24575473  0.26038275  0.93370522]
 [-0.44210851  0.88733116 -0.13108577]
 [ 0.86263821  0.38058407 -0.33318326]]"
m12c_res7100,0.7026031960947977,0.6878144561964242,0.14441719165142028,0.978951504945363,0.20554587917350578,0.2099653334564082,0.7944541208264942,0.04349142489190354,19,544706,488714,12.09693373614637,4.510530942268527,3228509286.786937,"[3.00000063082559, 3.499975207969162]",600,0.0,[-0.06222685  0.01073618 -0.11409858],"[[ 0.30615197  0.17746512  0.9352952 ]
 [ 0.76272915 -0.63363227 -0.12943872]
 [ 0.56966237  0.75300483 -0.32934559]]"
m12c_res7100,0.6728423448563479,0.6631963755331883,0.16352095664263924,0.9856638491960268,0.24303012123523682,0.24656491301113295,0.7569698787647632,0.030253668146968834,26,524014,471059,11.679314871340711,4.2745973228788,2998978497.9559894,"[3.5000019438140044, 3.9999993333616577]",600,0.0,[-0.06998554 -0.0024041  -0.12651845],"[[-0.33022026 -0.11582558 -0.93677053]
 [-0.62672569  0.76901128  0.12584335]
 [-0.70581123 -0.62865418  0.32653397]]"
m12c_res7100,0.5702634501061026,0.5529687060826091,0.1754478718576464,0.9696723610459768,0.3076610851090014,0.31728354593620695,0.6923389148909986,0.06598096291927963,21,593728,534942,10.167700798252417,3.2970169152428515,3313415457.938859,"[4.0000041542474305, 4.499988428299977]",600,0.0,[-0.04401691 -0.0043733  -0.07080445],"[[ 0.33752118 -0.08568727  0.93740981]
 [ 0.56417701  0.81557966 -0.12858505]
 [ 0.75351427 -0.57226524 -0.3236182 ]]"
m12c_res7100,0.605636531916892,0.48953098787298327,0.2355107470174897,0.8082917097546533,0.3888648299865231,0.48109466581632776,0.6111351700134768,0.40842482083652376,30,572973,516185,11.076349914329818,3.9183644012494456,3146590026.0617156,"[4.500001063912261, 4.999978607246559]",600,0.0,[-0.03068143 -0.00123989 -0.04035541],"[[-0.04053557 -0.24864862 -0.96774518]
 [ 0.72196146  0.66227652 -0.20040323]
 [-0.6907449   0.70679818 -0.15266897]]"
