Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass
m10b_res500,0.18703117103060038,0.10670472356614197,0.08868389963444585,0.5705183952929637,0.4741664137895826,0.8311150309993003,0.5258335862104174,0.8701472666907478,9,1288,1156,1.293084780010518,0.4496780458788103,418573.42786185036
m10c_res500,0.15125116314167478,0.08707481048040437,0.08053856399386386,0.5756967990972913,0.5324822786217158,0.924935277487495,0.4675177213782842,0.9331585125163205,9,1589,1430,1.229487664773089,0.4848863180159464,516125.7031026464
m10d_res500,0.26045721909398617,0.15734746634654925,0.11898418639246518,0.604120196375783,0.45682813786601034,0.7561874948174188,0.5431718621339896,0.8025177885674337,10,4490,4043,2.220586166956826,0.7276194578061371,1370165.0273209796
m10e_res500,0.2726941355287704,0.18269592810536894,0.12336657113187588,0.6699664726970035,0.4523990620211199,0.6752562709592785,0.5476009379788801,0.6929719728259287,10,5565,5005,1.9138197503203367,0.8219298092785149,1782381.033773548
m10f_res500,0.6477997894557079,0.3954896906535461,0.2570233517447738,0.6105122247505561,0.3967635617182418,0.6498863505646458,0.6032364382817582,0.7444703280873769,9,33032,29720,4.0551654789004,1.7242689384496748,10359965.324095327
m10h_res500,0.2967918611073627,0.19466084794667346,0.18747665915920972,0.6558833763849611,0.6316772247719796,0.9630938174612708,0.36832277522802037,0.9481402281032919,9,22531,20247,3.5365208078506636,1.053249446967938,6999948.453704043
m10i_res500,0.24176857938314136,0.173937892309163,0.12006024263870578,0.7194396093692388,0.4965915874801953,0.690247772034093,0.5034084125198047,0.6403088671414724,9,23222,20888,2.2785364711391303,0.7549695829026952,7182233.601010451
m10j_res500,0.3004298902537039,0.17137090112012954,0.15084097089277348,0.5704189452501282,0.5020837665832546,0.8802017723361054,0.4979162334167454,0.9020076224444558,9,28429,25568,3.319905485098041,0.9839012918984356,8735719.623302294
m10k_res500,0.43583548133755823,0.22553595890945397,0.16817530115904594,0.5174795732951684,0.3858687701215238,0.745669568490244,0.6141312298784762,0.8603105842415067,9,30008,27004,4.55801264413509,1.7691308211350265,9298390.972271847
m10l_res500,0.3236345696358844,0.22222408669024232,0.182457546892946,0.686651265160773,0.5637764442105978,0.8210520723042646,0.4362235557894022,0.7747640515408147,9,37843,34028,2.8798432376062055,1.0374734035003157,11623235.46897288
m10m_res500,0.36704166305531216,0.30592459331254723,0.23393814979728086,0.8334873778796202,0.6373612953089389,0.7646921983754292,0.3626387046910611,0.5141696163272998,9,41798,37553,3.10844388327601,1.1582007110558443,12951052.487521147
