Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m11v_res7100,0.8229071108489072,0.7275342124962664,0.21283912731913085,0.8841024739058888,0.2586429555816658,0.2925486164957818,0.7413570444183342,0.23401770584961556,16,14602,13108,4.865822521813363,2.2235579093115327,89006258.4277824,"[0.0001264176034881314, 0.4999840533749463]",600,0.0,[ 0.07266844  0.21382763 -0.02056228],"[[-0.0132772  -0.73045513  0.68283162]
 [-0.23678649  0.66576492  0.70759397]
 [-0.97147098 -0.15229043 -0.18180141]]"
m11v_res7100,0.6376965563064841,0.5550059849847088,0.2484336192446092,0.8703292804328187,0.3895796782775932,0.4476233157223591,0.6104203217224068,0.28592198884470627,30,11754,10528,4.687273375743335,2.1447286037942543,66998439.99285157,"[0.5000462317965692, 0.9994348597849546]",600,0.0,[0.00990724 0.3315945  0.2078303 ],"[[ 0.45307622  0.60717119  0.65273662]
 [-0.19756356 -0.64560727  0.73767194]
 [ 0.86930465 -0.46317858 -0.1725544 ]]"
m11v_res7100,0.4751148741236392,0.4093527707663291,0.3132067497852138,0.8615869404665348,0.6592232044154188,0.7651267370167665,0.3407767955845812,0.45570685821543416,30,19698,17728,3.4560259072072017,1.470281481112153,108723518.81591302,"[1.0052463105845724, 1.4999507542652772]",600,0.0,[-0.13828789  0.39019387  0.12487182],"[[-0.48398521 -0.42093977 -0.76718187]
 [ 0.17599814  0.81196437 -0.55654156]
 [-0.85719483  0.40438047  0.31889413]]"
m11v_res7100,0.5892297563698237,0.5431426214975656,0.3832158500640619,0.9217841014069019,0.6503674431261082,0.705552896967375,0.34963255687389183,0.2604996363734141,12,19618,17668,3.1552419891846455,1.6073026647157809,105734326.72555539,"[1.5000702890901338, 1.9999997605759352]",600,0.0,[-0.08943917  0.36050809  0.07648288],"[[-0.70975782 -0.18875405  0.67868678]
 [ 0.55253761  0.44845899  0.70255728]
 [-0.43697372  0.87364549 -0.21400356]]"
m11v_res7100,0.6850881789334298,0.6335604464039218,0.4267483665640877,0.9247867148872307,0.6229101299462868,0.6735716678436984,0.3770898700537132,0.23655810547415593,30,25509,22953,3.8147887072681526,1.8900303471254896,134116310.45251086,"[2.0000586009894725, 2.4999932963866054]",600,0.0,[-0.03727681  0.28752007  0.05852953],"[[-0.68486917  0.26499933 -0.67877064]
 [ 0.60389615 -0.31484953 -0.73224259]
 [-0.40775441 -0.91139735  0.05559867]]"
m11v_res7100,0.9238084738049691,0.8138714542443104,0.5578212462321208,0.8809958744934957,0.6038278085224469,0.6853923224891388,0.3961721914775531,0.35229634146717276,30,32548,29284,6.3880669127486875,2.8200521370661593,167728380.80255058,"[2.5000399111856653, 2.9999874124467816]",600,0.0,[-0.04691797  0.16367549 -0.00247795],"[[-0.69228631  0.38143231  0.61257576]
 [ 0.69753865  0.57119419  0.43263961]
 [-0.18487699  0.72680575 -0.66149369]]"
m11v_res7100,0.8597898512996985,0.8037960795293635,0.5246724463494994,0.9348750491929019,0.61023335592573,0.6527432264371135,0.38976664407427,0.200773709900177,11,27875,25085,7.162482259333259,2.87319438185783,142661585.56662774,"[3.0000431185000913, 3.499957065797286]",600,0.0,[-0.00173708  0.11913179 -0.13757662],"[[ 0.68523124  0.2664711  -0.67782838]
 [-0.71610318  0.07671376 -0.69376598]
 [-0.13286982  0.96078518  0.24338747]]"
m11v_res7100,1.1472222100058194,1.0469669109020854,0.7421941949308676,0.9126103921024808,0.6469489419378507,0.7088993808709578,0.3530510580621493,0.28745419369536096,17,28663,25809,8.017425014375856,3.764881321228747,144888497.9859575,"[3.5000114923336576, 3.999984870706828]",600,0.0,[-0.11173203  0.0185311  -0.18227985],"[[-0.58269061  0.45092827  0.67611785]
 [ 0.7899953   0.11902798  0.60144805]
 [ 0.19073299  0.88458806 -0.42558771]]"
m11v_res7100,1.113871972249844,1.0261971561424126,0.7102267490449506,0.921288246502565,0.6376197325536486,0.6920958071203108,0.36238026744635143,0.2548323208562241,16,20956,18847,8.151181110727633,3.535104643057825,105356038.8715351,"[4.00008996608345, 4.499994260120747]",600,0.0,[-0.00386255  0.12551724 -0.11178465],"[[-0.67050375  0.28507647  0.68494973]
 [ 0.72804736  0.07521433  0.68138817]
 [ 0.1427297   0.95554917 -0.25798066]]"
m11v_res7100,1.025026533892648,0.9213281017194594,0.7279385669028507,0.8988334167512887,0.7101655838492551,0.7900969975238039,0.2898344161507449,0.3875572202549915,30,20493,18405,7.584276117736035,3.1137465555929427,102391865.8581301,"[4.500012727556399, 4.9999042760133]",600,0.0,[-0.0466129   0.14168905 -0.03423023],"[[-0.64005122 -0.54296578  0.5436199 ]
 [ 0.74383666 -0.26065998  0.61543757]
 [ 0.19246159 -0.79827598 -0.57071359]]"
