Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12b_res7100,0.8229846963603679,0.7171585127174428,0.04774679746196727,0.8714117235582398,0.05801662858753809,0.06657774622383837,0.9419833714124619,0.24145432621054497,30,440237,392925,20.17886969356066,8.604028692458366,3099937897.283238,"[3.1819340775850465e-05, 0.4999998169054907]",600,0.0,[ 0.38220155  0.1371081  -0.17353919],"[[ 0.82440729  0.3276555  -0.46151326]
 [-0.43536338  0.88814781 -0.14714687]
 [-0.36167851 -0.32223492 -0.87484473]]"
m12b_res7100,0.5177342927249243,0.4815423451775486,0.036859418136653756,0.930095517998448,0.07119369656326283,0.07654450019979735,0.9288063034367372,0.13560967076945835,30,496056,442873,18.47043312424632,7.360573790161858,3229483493.181303,"[0.5000041956655371, 0.9999854823153326]",600,0.0,[ 0.05350678 -0.02985318 -0.02271943],"[[ 0.90173694  0.25233758  0.35099323]
 [-0.33098427  0.925302    0.18510977]
 [-0.27806458 -0.28309355  0.91789876]]"
m12b_res7100,0.7152138419793115,0.5574988364056296,0.060221745325201546,0.7794855240256325,0.08420103441865928,0.10802129330613511,0.9157989655813408,0.39520424248362807,30,567032,505959,22.012292837192383,8.303358240912106,3574198256.3701463,"[1.0000006290333598, 1.499980637929424]",600,0.0,[ 0.28593638 -0.2404938  -0.08878806],"[[ 0.8584334  -0.39310237 -0.32948844]
 [-0.43642494 -0.89727783 -0.06652645]
 [-0.26949096  0.2009055  -0.94181293]]"
m12b_res7100,0.7495190827287804,0.6750479225130483,0.07488105738398827,0.9006414086955541,0.09990547153431795,0.1109270244180936,0.900094528465682,0.19074893778430918,30,652576,582781,18.970351852590706,7.499654364330749,3991804457.3067255,"[1.500010521621616, 1.9999997605759352]",600,0.0,[-0.08600759 -0.1309465   0.04763437],"[[-0.86507498 -0.34156546 -0.36739396]
 [ 0.42190742 -0.89158538 -0.16452851]
 [ 0.27136583  0.29733574 -0.91539721]]"
m12b_res7100,0.6830321860959017,0.6021807786022743,0.08611640821039053,0.8816287004632086,0.12607957569703646,0.1430075672795068,0.8739204243029636,0.2263285668641414,30,618623,553287,16.6873730679593,5.807450883448926,3685269017.3834643,"[2.0000144706698673, 2.4999970255684008]",600,0.0,[ 0.06369897 -0.08359049 -0.02073934],"[[ 0.87788613 -0.30728599 -0.36727546]
 [-0.38269795 -0.91122329 -0.15236268]
 [-0.28785104  0.27431265 -0.91754801]]"
m12b_res7100,0.7435318102668895,0.6697774102083441,0.11816451655780162,0.9008053199067955,0.15892328334329994,0.176423562151857,0.8410767166567,0.19343529544264332,26,722036,645368,17.73105136020968,6.070739484888248,4195003747.161069,"[2.50001101000343, 2.9999874124467816]",600,0.0,[ 0.07235238 -0.06784869 -0.02574261],"[[-0.88441871  0.28229736  0.37163389]
 [ 0.36347089  0.91613222  0.16908777]
 [ 0.29273275 -0.28462249  0.91285134]]"
m12b_res7100,0.8164495681872797,0.7450424339356698,0.14563298105945308,0.9125394426870096,0.17837351715770317,0.19546937788516305,0.8216264828422968,0.172768768740503,14,541473,483911,19.668011520720196,6.605192256549422,3162575961.1738644,"[3.000015737549348, 3.4999847564834523]",600,0.0,[ 0.10857051 -0.2987519  -0.01974797],"[[ 0.83406886  0.40410919 -0.37553282]
 [-0.48937136  0.85622136 -0.16553143]
 [-0.25464645 -0.32183962 -0.91190704]]"
m12b_res7100,0.7139671502817596,0.6393343621763371,0.15421484470901461,0.8954674762333681,0.21599711506076344,0.24121156914522304,0.7840028849392365,0.20783446477575535,27,509590,455557,21.628114622023762,5.7398183364927755,2975662316.0578785,"[3.5000114923336576, 3.999998369184554]",600,0.0,[ 0.02206049 -0.24491388  0.04148034],"[[ 0.88091991 -0.28508095  0.3777684 ]
 [-0.36944696 -0.91311193  0.17243997]
 [-0.29578548  0.29147119  0.90970077]]"
m12b_res7100,0.7898524261743823,0.7073410527535149,0.17172554543173893,0.8955357093469879,0.21741472171388335,0.2427761611788983,0.7825852782861167,0.2078402264563212,26,561472,502260,18.88596262978662,5.286030339810942,3229580116.3259144,"[4.000011867665525, 4.499994260120747]",600,0.0,[ 0.04033658 -0.20340997  0.02840258],"[[ 0.88347909 -0.27357571 -0.3802907 ]
 [-0.35965068 -0.91626476 -0.17638104]
 [-0.3001934   0.29260078 -0.90789245]]"
m12b_res7100,0.7435270066889378,0.6664776784228681,0.17821674313474983,0.8963731948228962,0.23969101529799394,0.26740091814699085,0.760308984702006,0.20849341393888174,19,559178,498994,19.39726012678505,5.255645898938498,3210657177.2666726,"[4.500006895734086, 4.999977629203636]",600,0.0,[ 0.05136693 -0.20422832  0.02479552],"[[-0.87274178 -0.32571477 -0.36363673]
 [ 0.40860469 -0.89498335 -0.17901681]
 [ 0.2671404   0.30481912 -0.91417794]]"
