Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
object_0,136.42896140922628,10.414137166492514,6.888956607163832,0.07633377150218662,0.05049482555613704,0.6615004677803793,0.949505174443863,0.9967145056211302,12,16581574,14134752,357.49069203864326,140.44988279542136,768397247571.1565,[-11.33427625   1.73676466 -40.06862905],"[[-0.23282707 -0.65502418  0.71884274]
 [ 0.0170625   0.73629104  0.67644983]
 [-0.97236846  0.16976109 -0.16025214]]"
object_1,56.13171759171492,8.087811650245975,6.023626576517301,0.1440863026689164,0.1073123509302055,0.7447782956634634,0.8926876490697945,0.9906473737565136,30,14881902,12801299,422.99171218510656,89.3833086930595,699861832661.7863,[ 20.37421443  -8.1552275  -14.93129788],"[[-0.73612415 -0.67092629 -0.0893261 ]
 [ 0.33461987 -0.47546013  0.81361367]
 [ 0.5883458  -0.56903038 -0.57450295]]"
object_2,139.38410655414094,13.046462580568887,9.270684859788878,0.09360079067193541,0.06651177877434589,0.7105899244747331,0.9334882212256541,0.9956434360609393,25,17403923,15206347,460.6577129417014,260.8185075159353,839722129101.449,[56.68311341 -0.16469825 24.35493853],"[[-0.9215899   0.19185829  0.33743511]
 [ 0.04395913 -0.81212961  0.58181879]
 [-0.3856678  -0.55103167 -0.74001652]]"
object_3,8.646792620466265,4.456125225642838,3.81704585964551,0.5153500750203661,0.4414406621260777,0.8565840649361162,0.5585593378739223,0.9121684334346429,30,11060328,9632929,172.52485340622906,19.456981294617112,548776023396.89874,[ 4.91237519  1.03614173 -4.16274113],"[[-0.64557224 -0.44662211  0.61948783]
 [-0.20628114 -0.67903982 -0.70452325]
 [ 0.73531257 -0.58260931  0.34623954]]"
object_4,52.35230493600125,9.869676922414557,4.96668912072095,0.18852420986009827,0.09487049570773519,0.5032271228089885,0.9051295042922648,0.9732179841031598,30,7459888,6634401,393.8523503356719,70.4844893417051,368927911686.5621,[23.18268411 -7.95027729 -1.51169377],"[[-0.93274561  0.00267432  0.36052527]
 [ 0.35726766 -0.12746748  0.92526313]
 [ 0.04842969  0.99183914  0.11793929]]"
object_5,4.787498018828236,3.1776001547312727,2.287443450728235,0.6637287665152927,0.4777951743754659,0.7198650992392346,0.5222048256245341,0.7249651298257176,30,6570986,5333836,163.52629094766976,17.270965330213254,283328111553.50116,[ 1.29763486  3.75179    -1.4425751 ],"[[-0.79536663  0.56198965  0.2270673 ]
 [ 0.56841525  0.56148401  0.60136496]
 [ 0.21046623  0.60737414 -0.76602913]]"
object_6,24.084575421589847,6.425800937009916,3.4808988321706367,0.2668015036399484,0.14452813766649572,0.5417066084512704,0.8554718623335043,0.9486323531738045,30,8128454,7158100,409.6297127747142,48.92948232052239,392823338549.65985,[ -0.61570755 -13.28517755  -6.191747  ],"[[ 0.20521845  0.95861457  0.19734104]
 [ 0.82283094 -0.27816514  0.49555363]
 [ 0.52993833  0.06068157 -0.84586235]]"
object_7,102.02510006684312,11.816610224311994,2.5469791493382945,0.11582061881409753,0.024964240639505444,0.2155422833612665,0.9750357593604946,0.987200820949476,30,5987841,5268371,435.82394700160995,88.69980858917036,285080826486.78723,[-22.11989643  19.36091578 -22.41412149],"[[ 0.59398048 -0.65070545 -0.47304293]
 [-0.51573468  0.14328231 -0.84468214]
 [ 0.61741795  0.74568935 -0.25048447]]"
object_8,23.35733320071392,2.9965144428406587,2.7279880308620807,0.12829009275549785,0.1167936428110166,0.9103870790210448,0.8832063571889834,0.9971434414870313,20,4935253,4348955,400.3744405503721,23.437410815066688,240633643690.60745,[4.99144643 7.60026049 5.47529172],"[[-0.46599893 -0.86498683  0.18612574]
 [-0.7253287   0.25299772 -0.64022686]
 [-0.50669841  0.43334737  0.74529644]]"
object_9,78.88217194292908,7.151672493148762,6.857572849147535,0.0906627228560969,0.08693438175243147,0.9588768019952015,0.9130656182475685,0.999332815107304,27,5653876,5041135,414.326468496526,94.47636602290672,272468451865.072,[ 15.66723801 -27.23978295  11.06898297],"[[-0.45710773 -0.51226577  0.7270738 ]
 [ 0.81895797 -0.5612919   0.11941207]
 [-0.34692992 -0.65002706 -0.676095  ]]"
