Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
object_370,42.43894049072122,3.598602963351422,3.233488019398047,0.08479483516178295,0.07619153499143108,0.8985398090115119,0.923808465008569,0.9986068987726404,25,55282,49545,57.515681131686044,42.61538865027752,2380068332.2374306,[-10.62931004 -24.63654758   9.7489797 ],"[[ 0.44634937  0.35232935  0.82257903]
 [ 0.85197129 -0.44848059 -0.27020379]
 [-0.27371    -0.82141901  0.50035352]]"
object_397,2.3797000105713026,1.4818587745044636,1.3031135574267037,0.6227082270545138,0.5475957270403427,0.8793776976908392,0.45240427295965735,0.8744471228612881,24,30219,27067,18.461682979221287,7.131492894832812,1283627389.9250813,[1.61133248 2.20998949 3.09898288],"[[ 0.65537662  0.24448221  0.71463972]
 [ 0.75374551 -0.2724164  -0.59804432]
 [ 0.04846838  0.93060075 -0.36281271]]"
object_399,1.796919844701851,1.2715301062914854,1.0510220587201826,0.7076164860889833,0.5849020265534274,0.8265805532403544,0.4150979734465726,0.7589098443607395,30,30176,26992,15.981391442223558,5.218685457080792,1296818226.404322,[-2.49972295  1.19359313  1.03025734],"[[-0.83247259 -0.36035991  0.42086831]
 [-0.05453332  0.80920101  0.58499559]
 [ 0.55137602 -0.46404145  0.69328928]]"
object_453,1.7858772836147891,1.2206497042539692,1.1924991550127584,0.6835014451739123,0.6677385764149618,0.9769380608186722,0.3322614235850382,0.9615620813321508,30,17888,15946,10.513644589482313,5.41404603953025,759440934.4115211,[ 0.51309834 -0.23555681 -0.95017477],"[[-0.73205316 -0.54264544  0.4118666 ]
 [-0.6492321   0.73887076 -0.18046515]
 [ 0.2063876   0.3995071   0.89319552]]"
object_497,2.966223339989739,2.3232194927003857,1.3348378625604707,0.7832247361078423,0.45001259499397245,0.574563818336823,0.5499874050060276,0.4847203854181734,30,31308,27934,16.36938444781645,8.155852052153373,1313999247.840527,[ 2.63218964  2.65802391 -2.16329907],"[[-0.555196    0.29284614  0.77845908]
 [ 0.1139873   0.95392276 -0.27755768]
 [ 0.82387153  0.06536447  0.56299484]]"
object_500,2.823826603108707,2.293169001335213,1.2651505889049255,0.8120785457615205,0.4480270097009996,0.5517040340979156,0.5519729902990004,0.4260483556651602,30,30619,27437,16.821058446826598,8.155109491290247,1301238470.9994323,[-2.81685103  0.88341705  1.86757356],"[[ 0.99026662  0.13910672  0.00461883]
 [ 0.11331006 -0.78646704 -0.60714943]
 [ 0.08082601 -0.60176317  0.79457425]]"
object_517,2.66101048181424,1.8433620295378015,1.096636382675142,0.6927300896165666,0.4121127632415301,0.5949110186185775,0.5878872367584699,0.6265335588896491,30,17461,15646,16.203883503095046,8.017820942608346,725242010.4409819,[ 1.76309773 -0.89533927 -0.70963199],"[[ 0.19463922  0.91284154 -0.35893717]
 [-0.26991126  0.40165334  0.87511286]
 [ 0.94300768 -0.0734501   0.3245637 ]]"
object_557,1.9672361208674904,1.7834052142318162,0.8980097824596468,0.9065537152934084,0.4564829676183722,0.5035365912880632,0.5435170323816279,0.22505699519705794,13,25557,22870,11.615843814668873,5.898325252515323,1091160149.559282,[ 1.14066647 -0.19460545 -0.52141769],"[[ 0.91616036 -0.29314325 -0.27334452]
 [ 0.37978938  0.85287595  0.35827733]
 [-0.12810239  0.43205283 -0.89270383]]"
object_564,1.9806215423240736,1.6461476548806109,0.8275829027028953,0.8311268052497354,0.41783999871666766,0.5027391681719565,0.5821600012833323,0.3746360386921892,30,9602,8594,13.543784708781235,6.694950347912168,395708936.2653444,[-0.0629314  -2.70396393  1.08602597],"[[-0.08041044 -0.24504613 -0.96617108]
 [-0.94440675 -0.29128476  0.15247648]
 [-0.31879469  0.92471919 -0.20800088]]"
object_595,2.361775487565412,1.641193986824623,1.0097909195945654,0.6948983912592024,0.427555847247567,0.6152782228676731,0.572444152752433,0.6327933903460344,30,12417,11106,14.716299160764047,7.131735787310892,515323329.23651433,[ 0.25834143 -1.16744504 -2.65781815],"[[-0.32110056 -0.9249204   0.20351091]
 [-0.33904159 -0.08837958 -0.93661083]
 [-0.88427667  0.36974493  0.28520775]]"
object_596,1.9589744963123716,1.8155346817451403,1.3807253967122652,0.9267781102626673,0.7048205065004068,0.7605062082235053,0.29517949349959316,0.28035466887041344,30,18588,16660,14.100689539444062,5.511726340539815,775982666.4231008,[-1.13320157  1.4696069   1.24060679],"[[-0.95655908  0.18098933  0.22855543]
 [-0.14895006 -0.97731979  0.15053208]
 [-0.25061645 -0.10994949 -0.96182249]]"
object_614,1.8832867317165447,1.190356368016709,1.0206715445196308,0.6320632689488256,0.5419629031153038,0.8574504005218239,0.4580370968846962,0.8502283018219482,30,18387,16452,13.457177992164112,6.061448787016382,775026078.4676471,[-1.51559836  0.79674192 -0.63230076],"[[-0.95678449 -0.24294504 -0.15981598]
 [-0.00159668 -0.54518021  0.83831735]
 [-0.29079356  0.80234422  0.52123207]]"
object_624,3.170344249562323,2.1296348584870852,1.0234228916557082,0.6717361557127712,0.3228112820230785,0.4805626126831707,0.6771887179769215,0.6126087309791838,21,6061,5426,17.84572563871458,8.785525328226637,247473812.46386552,[-2.96398535 -4.35609341  0.92721855],"[[ 0.34433937 -0.48977841  0.80096661]
 [ 0.20964565 -0.79148497 -0.57410821]
 [-0.91513884 -0.36560722  0.16985953]]"
object_643,7.340929301938053,3.170827573709945,2.1480919285616222,0.4319381706717739,0.2926185282828581,0.6774546640037896,0.7073814717171418,0.8896021361375923,30,21696,19123,53.236627810400975,17.357363966547645,884186628.1672245,[ 0.75694684  2.72388034 -4.40839064],"[[ 0.25816357  0.56930566 -0.78053996]
 [-0.83068898 -0.28169558 -0.48021184]
 [ 0.49326198 -0.77235915 -0.4001924 ]]"
object_660,3.5370760478707215,2.86975683627681,2.604158044357896,0.8113359162872312,0.736245986547439,0.9074490254500103,0.263754013452561,0.7462389230479498,30,27045,24268,30.602969550888137,10.929718105812766,1110785096.5599842,[ 1.93023425 -1.83792272 -0.38470522],"[[-0.92135861  0.21921822 -0.32100105]
 [-0.28952722 -0.93803854  0.19041452]
 [-0.25936903  0.2683786   0.92773953]]"
object_664,2.7089402078635585,1.7719178768765547,1.174152656957038,0.654100032083765,0.4334361657554077,0.6626450764336628,0.5665638342445922,0.7045066318826783,25,30336,27143,14.361845750500201,7.498333936977018,1301520740.6184025,[-1.44897743 -0.62040603  3.96076931],"[[ 0.13713745 -0.09240161 -0.98623286]
 [ 0.30716596  0.95052684 -0.04634428]
 [-0.9417231   0.29658163 -0.15873546]]"
object_666,2.5065805159997416,1.5866359051985457,1.39123179003117,0.6329882064712855,0.5550317578672639,0.8768437582137513,0.4449682421327361,0.8661533499260737,30,26517,23742,22.218424415428853,8.161657832820667,1109579441.7417495,[ 0.37391914 -0.08242874 -1.81806791],"[[-0.10932597  0.23163213 -0.96664078]
 [-0.01863666  0.97182122  0.23498128]
 [-0.99383123 -0.04370451  0.10192845]]"
object_676,2.769636240317756,1.4025545747097985,1.1439249925892714,0.5064038931512845,0.41302355014607645,0.815601056255483,0.5869764498539236,0.8964851040095912,30,17910,15998,12.57568652767843,8.172780950434303,763264642.9757583,[-3.9209361  -2.24193752 -4.79760692],"[[-0.28762691 -0.19443591  0.93779819]
 [-0.12635844 -0.96291232 -0.23839758]
 [-0.94937048  0.18706828 -0.25239087]]"
object_683,1.9644722388590703,1.3627955300637742,1.2127964978870736,0.6937209409766264,0.6173650479232242,0.8899328410846188,0.3826349520767758,0.838236309933487,30,22967,20523,12.577402366458722,5.907865659465632,981846740.0956624,[-1.20832517  1.46803845  0.00930032],"[[-0.66450557 -0.74521712 -0.05553189]
 [-0.35481849  0.24924151  0.90110072]
 [ 0.65767483 -0.61849019  0.43003919]]"
object_708,2.141668603784313,1.9112724062198105,1.5270522826688422,0.8924221062225062,0.7130198761706419,0.7989715530341936,0.2869801238293581,0.41412059467905743,29,15475,13880,13.171074808393369,6.388646714859414,639691230.0805308,[0.6198549  0.85313132 0.06176679],"[[-0.89373673 -0.34836983  0.28261834]
 [ 0.43500372 -0.51915128  0.73569947]
 [ 0.10957383 -0.78046167 -0.61552674]]"
object_720,1.510563901129648,1.0631456794375216,0.9650995459718986,0.703807153502389,0.6389001784367854,0.9077773297094184,0.36109982156321463,0.8527372339011938,28,7937,7101,8.46752065280705,4.074010601599028,330979960.3228238,[-1.25905711  2.14664462  0.15359591],"[[ 0.88042556 -0.20655816  0.42683083]
 [-0.40860811 -0.78721641  0.46187632]
 [-0.24060391  0.58105426  0.77748679]]"
object_746,3.107845893937414,2.5777265631984094,2.199930667671847,0.8294254770569135,0.7078634986256334,0.853438335578232,0.29213650137436664,0.6254461272420161,30,21102,18914,17.797487224860184,8.719916668100952,879873576.9479511,[1.77172694 1.66544877 0.52075864],"[[ 0.97463036 -0.20565874  0.08831846]
 [ 0.01767468 -0.32264321 -0.94635562]
 [-0.22312166 -0.92390792  0.31082291]]"
object_748,2.5739827401724638,1.6684187436684985,1.2342453737082981,0.6481856764729937,0.47950802250740826,0.7397695443018427,0.5204919774925918,0.752988404179832,30,14487,12912,9.791416149597906,6.7084117587804055,607863396.3306172,[4.0234154  3.87604441 2.71703171],"[[ 0.65805367  0.75154862  0.04626057]
 [ 0.64838572 -0.53434503 -0.54228346]
 [ 0.38283328 -0.38684631  0.8389211 ]]"
