Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
object_13,6.136904403958547,4.780569771363459,3.0813838776961258,0.7789871662787842,0.5021071984938384,0.6445641471763917,0.49789280150616155,0.5257188307239081,10,2325860,2063769,49.49820622302114,5.223832344192811,110534121888.15,[-1.62243521  1.07126411  0.36914285],"[[-0.51133986  0.0111668   0.85930603]
 [ 0.8406127   0.21431897  0.49743108]
 [ 0.17861086 -0.97669989  0.11897679]]"
object_15,3.221456165262466,2.8200603340443378,2.165957127787083,0.8753992571600226,0.6723534379089132,0.7680534709272745,0.3276465620910868,0.4264623428439863,7,2333982,2055395,18.853304365690178,3.509230675220356,114329046600.83917,[ 0.25778555 -0.81340128  0.23400449],"[[-0.04005229 -0.97448182 -0.2208642 ]
 [ 0.29239255 -0.2227963   0.92998301]
 [-0.95545927 -0.0273311   0.29385472]]"
object_20,8.048452713929922,4.451109837034131,3.619781963234843,0.5530391983704318,0.4497488016510151,0.8132313278628912,0.5502511983489848,0.8701579635785112,30,2208769,1952424,32.90966975991693,9.292493071569881,110960004821.90604,[ 1.60969519 -1.84377689 -3.0501102 ],"[[-0.76191113  0.62229074  0.17957076]
 [-0.1664746  -0.45609474  0.87422182]
 [ 0.62592143  0.63618537  0.45109926]]"
object_25,11.747692056355739,4.812823332045356,3.132691240028429,0.4096824558353589,0.26666439884535276,0.6509050974653366,0.7333356011546472,0.8958651694365607,7,1988031,1763615,59.734449853534926,11.111929103915672,99638480192.81888,[-4.64563924 -2.90151666  1.14542056],"[[-0.74834952  0.55270417 -0.36673027]
 [-0.3324037  -0.79093981 -0.51373339]
 [-0.57400415 -0.26254964  0.77562035]]"
object_29,4.369866287726014,4.245687313992525,2.070271047901684,0.9715828893707159,0.4737607312417354,0.48761740910092116,0.5262392687582647,0.07224116238807458,18,1446700,1289737,29.244908481292516,7.7052869684611895,70534735806.80904,[-0.08337045  0.37372444 -0.31351506],"[[ 0.61636307  0.0901051   0.78229   ]
 [ 0.56382841  0.64301001 -0.51830074]
 [-0.54972183  0.76053876  0.34552381]]"
object_32,4.3285859448055275,2.43518078513612,1.2144315941080124,0.5625811330045167,0.2805608135297343,0.4987028484787132,0.7194391864702657,0.7419007163424307,6,1058661,932453,23.228487286461576,4.362281318272088,51790622171.18241,[ 0.72851287 -1.48385368  0.64544139],"[[ 0.50047455  0.66271753  0.55707333]
 [-0.34477444  0.74279793 -0.57391795]
 [-0.79413841  0.09516669  0.60023953]]"
object_33,2.723962458017373,2.547309775988623,0.9267786829664816,0.9351486355809301,0.34023181202028546,0.36382645397213004,0.6597681879797146,0.14192606186276402,6,1140955,1013905,14.550650336723303,4.825849985126434,56764333419.719604,[-0.30902385  0.14357444  0.28717406],"[[ 0.93984388 -0.25294349  0.22959327]
 [-0.04554235 -0.75888195 -0.64963381]
 [-0.33855483 -0.60009814  0.7247502 ]]"
object_34,2.4554714717801494,2.268543150499723,1.5069103576883556,0.9238727375053116,0.6136949156228181,0.6642634755950786,0.3863050843771819,0.2349441840241001,10,969830,855864,14.548659772568472,3.839227898002954,48331725002.539955,[ 0.00940428 -0.10569836 -0.22365099],"[[-1.21253237e-04  7.36458896e-01  6.76482284e-01]
 [-1.77833496e-01 -6.65715441e-01  7.24705595e-01]
 [ 9.84060584e-01 -1.20213336e-01  1.31047780e-01]]"
object_36,2.7215822299555916,2.592636873488556,1.2010718061961922,0.9526211793096768,0.44131380377795537,0.4632626413972407,0.5586861962220446,0.11488828723086231,25,851164,751919,26.55455257811467,2.8477533273585798,41834522615.00677,[ 0.02477106  0.37431794 -0.18876813],"[[-0.30416586 -0.91937557  0.24946279]
 [ 0.06291063 -0.28068482 -0.95773602]
 [-0.95053952  0.27561674 -0.14321324]]"
object_37,3.034874096803472,2.485705963573289,1.6656599108722385,0.8190474742235261,0.5488398720153236,0.6700953110631775,0.4511601279846764,0.4710548196313619,6,1013877,900194,26.96970046402132,3.684268399143401,50295576980.70793,[-0.04992234  0.03250747  0.18708292],"[[ 0.4493492  -0.10580919 -0.88706804]
 [-0.25676819 -0.96635969 -0.01480027]
 [ 0.85566079 -0.23442135  0.46140139]]"
