Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12_elvis_RomeoJuliet_res3500,1.4784554330666133,1.3632017471558575,0.06293921769218193,0.9220445315205096,0.04257092657952723,0.046170141597526845,0.9574290734204728,0.15010591641219692,23,696267,611662,30.895326605221484,13.33520153346225,2463195587.7618546,"[3.1819340775850465e-05, 0.4999919351391168]",600,0.0,[-0.37456436  0.70333418 -0.07309853],"[[-0.46929232  0.10362214  0.87694194]
 [ 0.8830313   0.04998501  0.46664464]
 [ 0.00452076  0.99335993 -0.11495917]]"
m12_elvis_RomeoJuliet_res3500,1.5889715680789736,1.4533242718187847,0.08295786684262997,0.914632017976141,0.05220852815064774,0.05708145694065309,0.9477914718493523,0.16389500529313825,30,671896,590418,32.39433222181785,13.396960926839087,2265069371.1736293,"[0.5000076986740649, 0.999989937231603]",600,0.0,[-0.4585368   0.82498505 -0.20101548],"[[ 0.46352083 -0.08513023 -0.88198712]
 [-0.88284297 -0.1294525  -0.45147573]
 [ 0.07574121 -0.98792454  0.13516055]]"
m12_elvis_RomeoJuliet_res3500,1.396739286873855,1.3377691571667147,0.08534310296928621,0.9577801453275323,0.06110166999046679,0.06379508939347645,0.9388983300095333,0.08296694316981279,22,663333,582370,31.113156700748323,12.822262536879963,2196346944.0439596,"[1.0000006290333598, 1.4999987492546767]",600,0.0,[-0.23646903  0.54590814  0.24511104],"[[-0.45823494  0.14349979  0.87717077]
 [ 0.88476812 -0.02061035  0.46557554]
 [ 0.08488878  0.98943571 -0.11751965]]"
m12_elvis_RomeoJuliet_res3500,1.7241176200847432,1.5203377274071703,0.11390494028552724,0.8818062698833988,0.06606564364206696,0.07492081412712434,0.933934356357933,0.22339273781216074,30,642799,563008,30.68331727376636,13.104067276501162,2118005724.145679,"[1.500021388425729, 1.9999868892489154]",600,0.0,[-0.48969623  0.87229394 -0.27113745],"[[-0.46673158 -0.04954601 -0.8830101 ]
 [ 0.84163659  0.28182502 -0.46067614]
 [-0.27167901  0.95818571  0.0898369 ]]"
m12_elvis_RomeoJuliet_res3500,1.6741731162388942,1.519571507125481,0.11734227911314873,0.9076549446327673,0.0700896926219694,0.07722063658269095,0.9299103073780306,0.177032183594786,30,581734,509238,30.52009699533063,12.353963367590861,1929594121.2296946,"[2.0000006799566217, 2.4999914317958467]",600,0.0,[-0.55075624  0.99624768 -0.26490249],"[[-0.49104493  0.03851329 -0.87028248]
 [ 0.82327611 -0.30605405 -0.47806628]
 [-0.28476539 -0.9512348   0.11857922]]"
m12_elvis_RomeoJuliet_res3500,1.4876141982965247,1.3474219439952562,0.11357401657569251,0.905760341315777,0.07634641878636729,0.08428986709162009,0.9236535812136327,0.18065117929663338,30,562562,491266,31.996018725174146,11.43381032051779,1879148171.960769,"[2.5000203329630097, 2.9999826915982215]",600,0.0,[-0.44844362  0.78477269 -0.27357586],"[[ 0.47092841  0.08865051 -0.87770583]
 [-0.7947493  -0.38919275 -0.46572798]
 [ 0.38288377 -0.91688063  0.112827  ]]"
m12_elvis_RomeoJuliet_res3500,1.3787023514403192,1.2689136604867426,0.11639136820492653,0.920368097697896,0.0844209543004938,0.09172520702494444,0.9155790456995062,0.15402025128765906,30,585489,512913,29.631401999528173,10.91038642906314,1964055631.5453036,"[3.0000034633358768, 3.4999799822260673]",600,0.0,[-0.37781854  0.68994199 -0.15079486],"[[ 0.48053635  0.06093882 -0.874855  ]
 [-0.81348308 -0.34169461 -0.47062731]
 [ 0.32761271 -0.93783328  0.11462398]]"
m12_elvis_RomeoJuliet_res3500,1.1456465669271703,1.065192202011632,0.10281842391576637,0.9297738349346856,0.08974707111595842,0.09652570092194834,0.9102529288840415,0.13662103502151615,25,543394,476862,26.442738441292267,9.454991430352946,1863837109.8966558,"[3.500006718073592, 3.9999906557683125]",600,0.0,[-0.32537425  0.56511867 -0.18550076],"[[ 0.46513658  0.12314485  0.87663179]
 [-0.76499612 -0.44239307  0.4680484 ]
 [ 0.44545358 -0.88832636 -0.11156787]]"
m12_elvis_RomeoJuliet_res3500,1.0885562144698713,1.0140035149163724,0.10491499087919168,0.9315123109284658,0.09637994757145864,0.10346610177958239,0.9036200524285414,0.13352514222544468,27,545582,480772,24.24167751051431,8.519253760743739,1867928755.8529809,"[4.000016688552374, 4.4999864843598285]",600,0.0,[-0.28141647  0.48674365 -0.17018771],"[[-0.45966738 -0.137303    0.87741312]
 [ 0.74983816  0.4693843   0.46628436]
 [-0.47586619  0.87225355 -0.11280562]]"
m12_elvis_RomeoJuliet_res3500,1.0748050619962546,1.0189360649313506,0.11623681926877281,0.948019413900845,0.10814688484336323,0.11407665629796322,0.8918531151566368,0.10245750813480695,14,631943,558591,22.438391265963897,7.765830085559832,2128347729.951773,"[4.500000091942005, 4.999992299848501]",600,0.0,[-0.22652185  0.39505809 -0.13115481],"[[-0.44952927  0.18280382 -0.87436045]
 [ 0.70415348 -0.52976136 -0.47277984]
 [-0.54962835 -0.82821233  0.10942129]]"
