Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
m10b_res500,0.1863407317548343,0.10769609487006912,0.08883141108252053,0.5779525166390527,0.47671494174121143,0.8248340962566187,0.5232850582587886,0.8618272898528124,9,1288,1155,1.3035199239534752,0.459797093965866,418206.0768721156,[-0.00283563 -0.01799343  0.01944611],"[[-0.34018084 -0.33168843 -0.87992033]
 [-0.35278984 -0.82236375  0.44638233]
 [-0.87167444  0.46227767  0.16273608]]"
m10c_res500,0.16855332734652884,0.09294307839381749,0.08851968915602679,0.5514164558895701,0.52517319325319,0.9524075454113112,0.47482680674681,0.9609866149685885,30,1589,1413,1.2400043533191496,0.47799130040072446,510225.4765275101,[-8.48826438e-05 -3.67537627e-02  1.16537133e-02],"[[-0.08193054  0.64817379  0.75707207]
 [ 0.61102799  0.63278295 -0.47563698]
 [-0.78735772  0.42362303 -0.44789658]]"
m10d_res500,0.2571205593581574,0.15640707211348998,0.11909121837362471,0.6083024729874749,0.4631726792711896,0.7614183729953806,0.5368273207288103,0.8020258493003339,30,4490,4013,2.1949465779872432,0.7028382574664984,1359813.1088901106,[-0.00579389 -0.0003527   0.01339395],"[[ 0.73450742  0.67406303 -0.07834461]
 [-0.45561115  0.57540912  0.6792075 ]
 [ 0.50290887 -0.46318826  0.7297529 ]]"
m10e_res500,0.30541216061557924,0.19015792315055896,0.1262663036476968,0.6226272155217479,0.4134291948074313,0.6640075867242435,0.5865708051925687,0.7385753878636252,10,5565,5001,1.8507992702998388,0.9004422010501382,1780691.4776297482,[-0.036095    0.00270679  0.15639588],"[[ 0.33149513 -0.10595931 -0.93748792]
 [-0.11995482 -0.99034246  0.06951723]
 [-0.93580009  0.08941157 -0.34100404]]"
m10f_res500,0.5390771670919197,0.3277464201006151,0.27197034920382207,0.6079768168788534,0.5045109787731885,0.8298194351606638,0.4954890212268115,0.845594474406626,30,33032,29688,3.9433412364754514,1.5129917307269274,10349689.057714067,[ 0.01541648 -0.29127542 -0.25711749],"[[-0.04583743  0.9897638   0.13515379]
 [ 0.55936886 -0.08666462  0.82437596]
 [ 0.82765053  0.1133881  -0.54967057]]"
m10h_res500,0.29830655620932073,0.19523032055542935,0.1882007224227431,0.6544620508388588,0.6308970369752225,0.9639933074294655,0.3691029630247775,0.94968261104822,19,22531,20229,3.540447899783358,1.0526955124839474,6993890.112930893,[ 0.01184798 -0.00315083  0.00648384],"[[ 0.08091933  0.98586929  0.14667585]
 [ 0.59948918  0.06942513 -0.79736621]
 [-0.79628185  0.15245292 -0.58540013]]"
m10i_res500,0.24826865938745565,0.1785144961286544,0.12334034398398938,0.7190375803740061,0.4968019092232688,0.6909262085645902,0.5031980907767313,0.641254302865673,12,23222,20878,2.2498060121273156,0.7650277256218353,7178865.375654675,[ 0.00634886  0.00302986 -0.00967915],"[[ 0.06704751  0.97447685  0.21424167]
 [ 0.59683507 -0.21124316  0.77405699]
 [-0.79955771 -0.07596834  0.59576529]]"
m10j_res500,0.29078799543246425,0.16834542190007157,0.14825519999749695,0.5789283758076249,0.5098394786793368,0.880660717257283,0.49016052132066323,0.8983577093601302,9,28429,25555,3.250803240114428,0.974055972664028,8730810.738592241,[-0.0033732   0.07040631 -0.01620587],"[[ 0.10557593 -0.99176775  0.07246   ]
 [ 0.99169602  0.11038886  0.06597964]
 [-0.07343525  0.06489243  0.99518653]]"
m10k_res500,0.5123496980295613,0.26761330753188656,0.19942005921286177,0.522325490892445,0.38922645993509636,0.7451799054839623,0.6107735400649037,0.8570108588571901,28,30008,26969,4.427173151544011,1.731077445084394,9286287.229853578,[-0.10119064  0.04187795  0.00557954],"[[-0.90494059 -0.34345819 -0.25123495]
 [ 0.3308024  -0.19640774 -0.92303509]
 [ 0.26767947 -0.91840104  0.29135413]]"
m10l_res500,0.32474520480946273,0.21190893454592988,0.19248262120953177,0.6525390718864129,0.5927189019541237,0.908327068049188,0.4072810980458763,0.8851651824630344,30,37843,33997,2.837683688429698,1.0299024286560035,11612568.391767522,[ 0.01462111  0.02314536 -0.04558438],"[[-0.0181827   0.02241708  0.99958335]
 [-0.27180661  0.96198646 -0.02651816]
 [ 0.96218011  0.27217553  0.0113984 ]]"
m10m_res500,0.35712038387752526,0.29464112967675904,0.227565208098583,0.8250470793003136,0.6372226800042494,0.772347052661104,0.3627773199957506,0.5375853052019249,24,41798,37535,3.153193174087823,1.141872960238179,12944751.109012922,[ 0.02155947 -0.07058759 -0.01029808],"[[ 0.4702691  -0.49957187  0.72751284]
 [ 0.82613436  0.53913975 -0.16379973]
 [-0.31040135  0.67805331  0.66625424]]"
