Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m11c_res2100,0.9056412642395845,0.5158555258774129,0.4325979646007128,0.5696024974199332,0.47767033336752907,0.838602947724388,0.5223296666324709,0.8752601915138147,30,23268,20882,5.796338470250604,2.6601351560539337,36677286.840771616,"[9.287818132197805e-05, 0.4997800040243685]",600,0.0,[-0.32414989 -0.08979433 -0.29716303],"[[ 0.46139295 -0.64377942  0.61046262]
 [ 0.06524106  0.71083814  0.70032331]
 [-0.88479385 -0.283297    0.36997656]]"
m11c_res2100,0.7653691755012456,0.6944994416495434,0.591123329517665,0.907404509980051,0.7723375182055564,0.8511501868362282,0.2276624817944436,0.43771833903250873,21,34422,30964,4.847768037836291,2.555425638109301,51124536.41266109,"[0.5001232981994393, 0.9999623167614552]",600,0.0,[-0.06401645  0.36515526 -0.29473779],"[[ 0.29696089  0.48690727  0.82142288]
 [ 0.2636311   0.78498795 -0.56061802]
 [-0.91777605  0.38303425  0.10474682]]"
m11c_res2100,0.7952376869888182,0.7199394231311479,0.5729712047628209,0.9053135118095464,0.7205030824587636,0.7958602992886049,0.2794969175412364,0.3751647095846644,30,21549,19373,4.435104843022228,2.4566740327620633,31697045.30331433,"[1.0000523061291848, 1.4999706767049252]",600,0.0,[-0.14634681  0.13743933 -0.20616936],"[[-0.45442998  0.14291903  0.8792426 ]
 [ 0.88799059  0.1507672   0.43444443]
 [ 0.07047057 -0.97818373  0.19542389]]"
m11c_res2100,0.7550084593096695,0.5919608515985285,0.4575295479548912,0.7840453233329053,0.6059926114910373,0.772905077623597,0.39400738850896266,0.6088644086731666,30,12080,10855,4.286665480137548,2.1512231628000147,17571693.36602495,"[1.500015049456212, 1.9999694210271048]",600,0.0,[-0.34307581  0.15674021 -0.37256474],"[[ 0.25215265  0.23805844 -0.93794841]
 [-0.38577407 -0.86418708 -0.32304653]
 [ 0.88746685 -0.44329321  0.12607029]]"
m11c_res2100,0.9087235834197288,0.714278567939761,0.5230486580486016,0.786024024216222,0.5755860941566556,0.7322754475991965,0.4244139058433444,0.5715057019548871,30,13838,12435,9.08344490276184,2.975641152384658,19676195.550598316,"[2.000055842842834, 2.4999625306509405]",600,0.0,[-0.20826003  0.10275816 -0.23274045],"[[ 0.36971587  0.87757186  0.30525041]
 [-0.64049406  0.00271342  0.76795833]
 [ 0.67311035 -0.47943746  0.56308275]]"
m11c_res2100,0.6853807484191037,0.4928595033492902,0.3790993843295403,0.7191032203430251,0.5531223122388094,0.7691834726799862,0.44687768776119063,0.6957518728432046,26,7530,6763,4.200798996928668,2.255690104294614,10701005.89791933,"[2.5000044839331013, 2.999872223894275]",600,0.0,[-0.32846019  0.21944061 -0.27453802],"[[ 0.45873495 -0.57163588 -0.68029014]
 [-0.66734574  0.2838607  -0.68852942]
 [ 0.58669576  0.76984123 -0.25126194]]"
m11c_res2100,0.7740278424897395,0.5332703666455426,0.47179750799933795,0.6889550186337278,0.6095355775339465,0.8847247803531809,0.3904644224660535,0.8359094444052121,30,28561,25662,5.3877426634844765,2.434810390183823,40126901.65598201,"[3.0001186522503827, 3.4999551560953863]",600,0.0,[-0.22040407  0.20811055 -0.23537388],"[[ 0.33096543  0.12737504  0.93500668]
 [-0.61460983 -0.72276472  0.3160157 ]
 [ 0.71604235 -0.67925456 -0.16092418]]"
m11c_res2100,1.0750986355553698,0.7704548599214428,0.7128187829722354,0.7166364410121724,0.6630264046461287,0.9251921430477004,0.3369735953538713,0.8680151587833027,30,26777,24117,6.8138505238070275,2.9174212667946198,36852923.513030544,"[3.5001146164680046, 3.9998672412526304]",600,0.0,[-0.18471848  0.13604745 -0.10575073],"[[ 0.37447623 -0.91515242 -0.14920992]
 [-0.61715027 -0.12589768 -0.776708  ]
 [ 0.69202102  0.38294363 -0.61193225]]"
m11c_res2100,1.0354326115223975,0.7238681481181355,0.6350149124189641,0.6990973048973526,0.6132846361534828,0.8772521820028052,0.38671536384651717,0.8194866899743141,30,28002,25201,9.789780210380039,3.4143398783629446,38706659.70071581,"[4.0032699173811634, 4.499981624509696]",600,0.0,[-0.17690455  0.16053992 -0.16754925],"[[-0.85733736 -0.50569529  0.0961505 ]
 [-0.00824938  0.20026263  0.97970752]
 [-0.51468883  0.83914668 -0.17586431]]"
m11c_res2100,0.9786739657615765,0.7441278621683486,0.6733535357963202,0.7603429622134571,0.6880264105854041,0.9048895627079521,0.31197358941459585,0.8011067819699972,12,25196,22693,4.830235851663218,2.7281281407433875,34348277.121280305,"[4.5000749336914, 4.999989365719349]",600,0.0,[-0.14067032  0.16789292 -0.14258939],"[[-0.35625736 -0.92655455  0.1207367 ]
 [ 0.63369459 -0.14462753  0.75994345]
 [-0.68666721  0.34724564  0.63867723]]"
