Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m11h_res7100,1.530462127968994,0.9050503726896892,0.3722288617851132,0.5913575750422129,0.24321337652378308,0.4112797177011248,0.756786623476217,0.6911815026668258,30,33077,29304,7.681848158714288,6.929074311153573,199501780.6405365,"[0.0, 0.4999849291264104]",600,0.0,[-0.8637467   0.26035744 -0.21782439],"[[ 0.4428832  -0.77833511  0.44502689]
 [-0.69353011  0.01717222  0.72022296]
 [ 0.56821691  0.62761419  0.53219354]]"
m11h_res7100,2.0094894938418584,1.519665748175977,0.32309870044969624,0.7562446844499754,0.16078645916778467,0.21261168835153707,0.8392135408322153,0.4394548905138734,30,36278,32486,10.414138720313025,6.003991682931392,207482889.53514552,"[0.5000182077022565, 0.9999355872985511]",600,0.0,[-0.15074446  0.22335426  0.01016391],"[[-0.95762977  0.2360711  -0.16497169]
 [-0.24584055 -0.96843208  0.04125192]
 [-0.15002549  0.0800608   0.98543524]]"
m11h_res7100,2.052929400857049,1.523483107808082,0.34566538628356336,0.7421020455803614,0.16837665539752916,0.2268915122930972,0.8316233446024708,0.4623937392420998,17,38798,34783,11.83162490003352,6.683946067877857,215979359.09182173,"[1.0000006290333598, 1.4999860713259194]",600,0.0,[-0.83711978  0.4553726  -0.11212665],"[[-0.95869567  0.22674323 -0.17172689]
 [-0.24626217 -0.96379631  0.10223318]
 [-0.14232906  0.14030034  0.97982562]]"
m11h_res7100,1.805317622257109,1.519063906361242,0.3914948423622227,0.8414385854506994,0.216856489703321,0.25772111411692183,0.7831435102966791,0.3063896105902269,30,35488,31723,9.947780103048402,5.938805582450026,193156589.64140254,"[1.5000023715209647, 1.9999473559175176]",600,0.0,[-0.72767319  0.59198393 -0.12309532],"[[ 0.98528505 -0.16457316  0.04614154]
 [ 0.16700209  0.984425   -0.05493373]
 [ 0.03638227 -0.06183111 -0.9974233 ]]"
m11h_res7100,1.7541845755331866,1.4722282617057318,0.4110657604900627,0.8392664502013685,0.2343343831792152,0.2792133334091818,0.7656656168207848,0.3128089809985921,19,27100,24338,10.463985810283251,5.800785678937131,146500825.3213247,"[2.000008954383903, 2.4999373587041513]",600,0.0,[-0.5613105   0.4866127  -0.04809707],"[[ 0.9516096  -0.26062512 -0.16283031]
 [ 0.27623909  0.95761536  0.08163808]
 [ 0.13465187 -0.12266768  0.98327082]]"
m11h_res7100,1.641174619038934,1.414332414391506,0.44290068839537916,0.8617805795825273,0.269868107425851,0.3131517625479369,0.730131892574149,0.27754769710193883,15,27686,24830,10.329059699089328,5.293522066469959,146820510.3328594,"[2.5000221975552033, 2.9999864682770285]",600,0.0,[-0.46168882  0.46501835 -0.03699938],"[[ 0.97867383  0.00792461 -0.20526748]
 [ 0.01302229  0.99485232  0.10049515]
 [ 0.20500722 -0.10102503  0.97353273]]"
m11h_res7100,1.3996952013949908,1.2229705571032836,0.43972277302580337,0.8737406228759115,0.3141560909743482,0.35955303295880364,0.6858439090256518,0.2624828159674273,14,33395,29999,9.459760091224728,4.322123365079469,174370103.22354618,"[3.0000280117664264, 3.499989530741317]",600,0.0,[-0.29669853  0.30801483  0.00920436],"[[-0.98194865 -0.06528495  0.17752386]
 [ 0.0523696  -0.99569376 -0.07649425]
 [-0.18175332  0.06581657 -0.98113909]]"
m11h_res7100,1.510095213724991,1.346895742496817,0.47844176951806006,0.8919276945288731,0.3168288761990546,0.35521811705421635,0.6831711238009455,0.22727941768139454,23,29920,26868,9.699106521969009,4.735097549186242,153800118.1006286,"[3.500020086002986, 3.9999482319979376]",600,0.0,[-0.33379959  0.39855873 -0.02801879],"[[-0.98357287  0.00594636  0.18041353]
 [-0.00646478  0.99765572 -0.06812683]
 [-0.18039569 -0.06817404 -0.98122867]]"
m11h_res7100,1.5705519573443345,1.0886669061762821,0.7008335324512439,0.6931747154784502,0.4462339046944311,0.6437538685848154,0.553766095305569,0.6486762824732649,30,28368,25309,10.73590272096108,5.562597331412967,142184840.29981935,"[4.000026330327313, 4.499991344210301]",600,0.0,[-0.31132594  0.47967529 -0.03017346],"[[ 0.85595454 -0.31184305 -0.41242666]
 [-0.24761128  0.45301401 -0.85642686]
 [-0.45390582 -0.83518394 -0.31054354]]"
m11h_res7100,1.8304325526938439,1.6490260795344527,0.5992904415692161,0.9008942050924436,0.32740372798071227,0.36342083912851497,0.6725962720192877,0.21100828472862154,30,25094,22551,10.29166709950577,5.802846878880308,124879573.09387559,"[4.500067157921492, 4.999978607246559]",600,0.0,[-0.49370079  0.50507966 -0.08765694],"[[-0.98429925 -0.01808741  0.17557857]
 [-0.02249096  0.99947961 -0.02312263]
 [-0.17506898 -0.02670852 -0.98419384]]"
