Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12f_res7100,2.764922574365289,2.0304064017589534,0.12261213494616739,0.7343447590842757,0.0443455943696051,0.060387976929125,0.9556544056303949,0.4616456155610869,30,513387,453949,30.47668553211094,14.717282295834089,3659539824.079218,"[5.1598905386653974e-06, 0.4999945623943306]",600,0.0,[-0.15235757  0.10047882  1.82341149],"[[ 0.02256476  0.8622615   0.50596041]
 [-0.02084363 -0.50557351  0.86253172]
 [-0.99952808  0.03000887 -0.00656451]]"
m12f_res7100,1.388426207702014,1.2499829256191572,0.10700313283441544,0.9002876196697595,0.07706792931510308,0.08560367557133895,0.9229320706848969,0.19061434926425344,30,621357,551741,28.2950022693288,10.31838001985224,4087373087.9559784,"[0.5000330954988934, 0.9999926101816821]",600,0.0,[-0.19574991  0.13558255  0.57131431],"[[ 0.04620024  0.83848634 -0.54296058]
 [-0.01680668 -0.54281158 -0.83968632]
 [ 0.99879081 -0.04791907  0.01098585]]"
m12f_res7100,1.261962428128428,1.172970277626466,0.11603805562307201,0.929481141024188,0.09195048365676303,0.09892668027179499,0.9080495163432369,0.1372250312228602,27,629713,556507,28.00374520039372,10.331357685560015,4155776738.3822365,"[1.000002411000691, 1.4999987492546767]",600,0.0,[ 0.40805728 -0.33410667  0.34722742],"[[-0.55768094 -0.62652346 -0.54448171]
 [ 0.36495118  0.40408151 -0.83876622]
 [-0.7455217   0.66647318 -0.00330192]]"
m12f_res7100,1.0489408625562826,0.9618600360545525,0.10958766301238128,0.9169821392127742,0.10447458662761475,0.11393306604347365,0.8955254133723852,0.16089996976018653,21,530375,467545,29.69742019854243,10.163054742386027,3544854167.586371,"[1.5000177661572789, 1.9999914861508694]",600,0.0,[ 0.17015783 -0.13638823  0.42387251],"[[-0.46210825  0.70166713 -0.54232758]
 [ 0.30166968 -0.45069522 -0.84016024]
 [-0.83393727 -0.55184876 -0.00340172]]"
m12f_res7100,1.0566414036177014,0.9735261149051646,0.1251370788618398,0.9213401174438473,0.11842908903001409,0.12854003292354407,0.8815709109699859,0.15328224025150466,19,502500,443360,26.89247255105311,8.170611489351323,3339177683.972252,"[2.0000006799566217, 2.4999849057289216]",600,0.0,[ 0.30808032 -0.21146157  0.32809963],"[[ 0.59870002  0.59712893  0.53384953]
 [-0.37252715 -0.38244132  0.84555435]
 [ 0.70907109 -0.70510685 -0.00652089]]"
m12f_res7100,1.0862809116378291,1.0055533859537718,0.1427949453320896,0.9256844847228869,0.13145305583690314,0.1420063293771797,0.8685469441630969,0.14562461437482166,19,550529,486606,25.26707718601037,8.208864575452354,3609327993.8009415,"[2.500002619341788, 2.9999921332958777]",600,0.0,[ 0.26476365 -0.18737657  0.38440266],"[[-5.37923670e-01 -6.48048321e-01 -5.39139591e-01]
 [ 3.44048165e-01  4.15093323e-01 -8.42216358e-01]
 [-7.69590141e-01  6.38538101e-01  3.28687843e-04]]"
m12f_res7100,1.04036100741271,0.9621735459126666,0.1576337229503153,0.9248458362597719,0.15151829204204514,0.16383086358999024,0.8484817079579549,0.14805929374431506,20,609469,539170,26.56601863196235,8.576074091872927,3865110237.0028715,"[3.00000063082559, 3.4999847564834523]",600,0.0,[ 0.23216048 -0.17427314  0.35767454],"[[ 5.15606709e-01 -6.65595156e-01  5.39567244e-01]
 [-3.29910339e-01  4.26957008e-01  8.41942327e-01]
 [ 7.90764750e-01  6.12119925e-01 -5.55173880e-04]]"
m12f_res7100,1.039932187134291,0.9816179536188138,0.17486370924877068,0.9439249652651179,0.1681491460809932,0.1781382549128421,0.8318508539190068,0.11217737832471293,12,649406,575752,23.578985465319853,7.1088531282914085,4025192545.8872356,"[3.5000019438140044, 3.999993548299279]",600,0.0,[ 0.22449418 -0.1608088   0.28680118],"[[-0.60030359  0.59192606 -0.53782817]
 [ 0.38523887 -0.37531003 -0.84305005]
 [-0.7008756  -0.71327829 -0.00273297]]"
m12f_res7100,1.0853383976016375,1.0268840855997647,0.20186868326683913,0.9461418557280898,0.1859960761665902,0.1965837099802118,0.8140039238334098,0.10857157248451639,14,718149,638474,24.302466687385355,7.700688790558423,4301594716.211562,"[4.000018616907228, 4.499992316180436]",600,0.0,[ 0.22275195 -0.15170045  0.32332621],"[[ 0.5804851   0.60869634  0.54085655]
 [-0.37493131 -0.38981544  0.84111262]
 [ 0.72281641 -0.6910374   0.00193726]]"
m12f_res7100,1.0163804245317956,0.9702635725799837,0.21321731577213313,0.9546263870901922,0.2097810137088714,0.21975195379661286,0.7902189862911286,0.09277114024964615,11,708028,630171,21.455484373092656,6.715429588399706,4174524073.4065127,"[4.500000091942005, 4.999993277891573]",600,0.0,[ 0.22713807 -0.15062693  0.21484091],"[[-6.14521393e-01  5.75494533e-01 -5.39601242e-01]
 [ 3.94017279e-01 -3.68673193e-01 -8.41920697e-01]
 [-6.83457271e-01 -7.29990493e-01 -1.97226030e-04]]"
