Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12_elvis_RomeoJuliet_res3500,1.893714837041576,1.4380751191376242,0.0838827527584869,0.7593937012101741,0.0442953453802639,0.0583298825229583,0.955704654619736,0.4241534285128438,30,136869,114565,26.473544277710985,19.21497516918245,495468042.5335312,"[3.982150949159019e-06, 0.09999935504832998]",590,0.0015949,[-0.52027975  0.90492335 -0.34415371],"[[-0.01160423  0.55615671 -0.83099642]
 [ 0.13120668 -0.8230201  -0.55265064]
 [ 0.99128712  0.11544537  0.06342096]]"
m12_elvis_RomeoJuliet_res3500,2.390322369745708,0.6613977705561551,0.5750652499551798,0.2766981470480558,0.2405806251214381,0.869469592362883,0.7594193748785618,0.9801693963584474,30,13030,11568,4.582123346890176,4.552489628557682,37256215.50559561,"[8.175803658971859e-06, 0.0999620335744762]",120,3.0,[0.80211747 0.47469584 0.06402672],"[[ 0.5534929   0.21591914 -0.80437835]
 [-0.10100892 -0.94127729 -0.32217116]
 [ 0.826706   -0.25956884  0.49918054]]"
m12_elvis_RomeoJuliet_res3500,1.2001716824811148,0.8160132320109839,0.1170457655753255,0.6799137522758743,0.0975241853176845,0.1434361122881277,0.9024758146823154,0.5428806088710667,30,225630,202137,15.078801965336336,8.361824716955825,788108092.9558778,"[1.9254655825307054e-07, 0.09999677688728781]",294,0.89728099,[ 0.10040452  0.57767791 -0.11235608],"[[-0.26347691 -0.13140845  0.95567345]
 [-0.94416859 -0.16800706 -0.28340661]
 [ 0.19780191 -0.97698795 -0.07980575]]"
m12_elvis_RomeoJuliet_res3500,1.583377978762418,1.3059003429011888,0.08910969246263,0.8247559082019644,0.0562782188825683,0.0682362118572263,0.9437217811174315,0.3207937219267277,30,128875,112094,27.592806576444264,12.576067432195286,490276157.4547048,"[1.2411751756147282e-05, 0.09998479655287307]",534,0.0998249,[0.01986019 0.30453401 0.00157573],"[[-0.43132202  0.01953449 -0.90198654]
 [ 0.83667051 -0.36539956 -0.408002  ]
 [-0.33755559 -0.93064578  0.14126094]]"
m12_elvis_RomeoJuliet_res3500,1.5044755677012789,1.253628275126022,0.0762878412792686,0.8332659579453777,0.0507072649879123,0.0608536380304598,0.9492927350120876,0.3064558106991237,30,123353,108761,18.012453934592106,8.192221311175809,497777290.9108867,"[7.00817893495298e-07, 0.09999481146091327]",382,0.49880669,[ 0.37055193 -0.05486976  1.37510019],"[[ 0.26570304  0.14669202 -0.95282913]
 [ 0.13044274 -0.98473695 -0.11522949]
 [ 0.95518929  0.09367282  0.28078251]]"
m12_elvis_RomeoJuliet_res3500,1.0859958098780509,0.9489892259994452,0.1344463914128377,0.8738424378506668,0.1238001014275875,0.1416732537413615,0.8761998985724125,0.2400789555478892,29,307607,274493,12.900041289362562,5.964317878560581,1033495741.5970372,"[9.674181162822038e-07, 0.09999308320056421]",277,1.0,[-0.38494302 -0.4858766  -0.29929041],"[[-0.45789187  0.04847422 -0.88768535]
 [-0.77394634 -0.51304283  0.3712063 ]
 [-0.43742667  0.85699318  0.27243459]]"
m12_elvis_RomeoJuliet_res3500,2.396120080316944,2.022710098727243,0.1575739600326371,0.8441605724783591,0.0657621299228852,0.0779023944814375,0.9342378700771148,0.2886412022802224,30,102721,89288,23.244470605708315,11.1687705706982,412584988.263752,"[2.3622625026309407e-05, 0.09997809507602451]",486,0.20076481,[0.2311059  0.65524693 1.7128067 ],"[[ 0.07725756 -0.37053233  0.92560092]
 [ 0.43839187  0.84643788  0.30225069]
 [ 0.89545733 -0.38242477 -0.22783209]]"
m12_elvis_RomeoJuliet_res3500,1.2397031315948863,1.1439836524089502,0.4351013935531922,0.9227883863915126,0.3509722468744847,0.3803388209586518,0.6490277531255153,0.1693185043444803,11,534144,480627,8.651647068881312,3.740775693834645,1626096895.643936,"[3.112613461198066e-06, 0.09999997807153527]",214,1.5,[ 0.14516214  0.42589354 -0.08729735],"[[-0.28029733 -0.29653326 -0.91296299]
 [-0.51516213 -0.75604814  0.40373158]
 [ 0.80996382 -0.58348885 -0.05915557]]"
m12_elvis_RomeoJuliet_res3500,2.294668456987914,1.9532072629101456,0.1098989263350838,0.8511936689424905,0.0478931612104618,0.0562658804428885,0.9521068387895382,0.2761026497554424,30,99699,86817,24.1763302788453,11.457297481878117,416602017.7325519,"[4.045898115645485e-06, 0.09999790633887162]",446,0.30020699,[ 0.7223817  -2.07727778  1.18460453],"[[-0.21508689  0.05803026  0.97486928]
 [ 0.85177404  0.49945422  0.15819759]
 [-0.47772233  0.86439457 -0.15685472]]"
m12_elvis_RomeoJuliet_res3500,0.1483906741430219,0.1076401999855612,0.0589496537939911,0.7253838599170687,0.3972598287219472,0.5476546290502865,0.6027401712780527,0.562606155166751,30,1136,962,0.429170291321758,0.3621477923426371,2751124.723483358,"[3.2174266429763065e-05, 0.09974506505661473]",20,10.0,[-0.05610509 -0.03890354  0.01020499],"[[-0.90852526 -0.39759398 -0.12845577]
 [ 0.25576683 -0.77230904  0.58148266]
 [ 0.33040156 -0.49543696 -0.80335361]]"
