Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12c_res7100,0.5381006522868036,0.3070130115875138,0.2254054748827201,0.5705494135396033,0.4188909155281616,0.734188670757586,0.5811090844718384,0.8180090946109932,30,20439,18213,4.97690086358018,1.753566029788196,111491225.1126398,"[8.013991187993952e-06, 0.09998113397252517]",172,2.0,[-0.30013886  0.17903548  0.155932  ],"[[ 0.98261696  0.17627318 -0.05823806]
 [ 0.01068449  0.25948909  0.96568693]
 [ 0.18533685 -0.94952261  0.25309499]]"
m12c_res7100,0.6616459826717777,0.3585903165290057,0.1886967362790348,0.5419670426789116,0.2851928995579522,0.5262181592228565,0.7148071004420478,0.768802247750564,30,82043,73950,8.25933114837688,3.437097118428286,526211090.9402419,"[5.019424030194841e-06, 0.09997177145349312]",332,0.70189703,[-0.05327172 -0.04459428  0.16264305],"[[ 0.14168536  0.40162622 -0.90477712]
 [ 0.87976585  0.3679138   0.30108384]
 [ 0.45380315 -0.83865119 -0.30120904]]"
m12c_res7100,0.4506550106150737,0.2030408545475367,0.1396377510209101,0.4505460934971468,0.3098550947660082,0.6877322858598274,0.6901449052339917,0.8816561865887028,30,2310,2044,1.453104096411567,0.9711145323473752,11805675.09571902,"[0.0038586723033304793, 0.09999934553480294]",59,5.49484539,[-0.18184632  0.07079931 -0.0207698 ],"[[ 0.76899988 -0.60436128 -0.20829458]
 [ 0.63796208  0.74623223  0.1901101 ]
 [ 0.04054095 -0.27907869  0.95941207]]"
m12c_res7100,0.2281040942026216,0.1776548716371343,0.1366410001393082,0.7788324547972648,0.5990291433258188,0.7691373666262405,0.4009708566741812,0.6136026896774696,30,2080,1847,0.9711447784997804,0.6576855651479456,10672457.606515154,"[0.0003101727884597949, 0.09989225091594278]",41,7.0,[-0.07233203  0.00452639  0.0827025 ],"[[ 0.934832   -0.12605732  0.33196186]
 [ 0.12944056 -0.74956529 -0.64915099]
 [ 0.33065733  0.64981645 -0.68440069]]"
m12c_res7100,0.9689306830831934,0.5274179497621313,0.1321646762238928,0.5443299081868859,0.1364026122109552,0.2505881270887726,0.8635973877890447,0.7170460755876418,23,132013,118880,9.49689071286167,4.06171887165191,870692406.0351297,"[1.4664183990653612e-05, 0.09999560021348142]",412,0.3986637,[-0.28281757 -0.77155105 -0.15004829],"[[ 0.31871008 -0.13645652  0.93797841]
 [ 0.92755893  0.24857476 -0.27900721]
 [ 0.19508541 -0.95895266 -0.20579474]]"
m12c_res7100,0.5917418949623399,0.3466269421316399,0.1402751788525085,0.5857738738503555,0.2370546686768495,0.4046863120040901,0.7629453313231505,0.6959794769166837,30,10750,9489,2.8577811758884613,1.8880368971603183,56002545.51727942,"[5.431097200769841e-05, 0.09998902503178364]",102,3.50704241,[-0.00794744 -0.1716751   0.03989576],"[[-0.76153906  0.39012574 -0.5175521 ]
 [ 0.60056719  0.12453462 -0.78981655]
 [-0.24367461 -0.91230096 -0.3291347 ]]"
m12c_res7100,1.1838909202077958,1.1183267804956234,0.0756956983506224,0.9446197799197036,0.0639380681603136,0.0676865650280461,0.9360619318396864,0.1081355377416032,30,82959,73871,15.346792221182952,6.650345262370744,613550316.8975168,"[2.6360804460761472e-05, 0.09999762723841345]",590,0.0015949,[-0.35535419 -0.30899934 -0.78260565],"[[ 0.2608558  -0.07447605  0.96250068]
 [ 0.16517449 -0.97887441 -0.1205084 ]
 [ 0.95114228  0.19041587 -0.24304353]]"
m12c_res7100,0.8081022446597473,0.6614120065238291,0.4166531534803847,0.8184756457424737,0.5155945998588546,0.6299449501532047,0.4844054001411454,0.4496249104915654,30,6649,5904,3.7789116924201287,2.072311016495095,35440279.10307326,"[2.433724828421191e-05, 0.09996072178771165]",120,3.0,[-0.45247755  0.47606047  0.87753359],"[[ 0.05290136  0.64011873 -0.76645251]
 [-0.70688533  0.56613681  0.42403094]
 [-0.70534713 -0.51936223 -0.48243995]]"
m12c_res7100,2.9617225412133825,0.6908752262227494,0.4033656531247504,0.2332680447303838,0.1361929240540865,0.5838473255584631,0.8638070759459134,0.9634567081623436,24,111914,99959,11.60796797397929,5.582273336545024,661184285.5528346,"[2.142870781263184e-06, 0.09999872414969779]",294,0.89728099,[-0.46809727 -0.35267507 -1.42913989],"[[-0.26702524 -0.10640972 -0.95779669]
 [-0.13281157  0.98846481 -0.07279021]
 [-0.9544939  -0.10776966  0.2780775 ]]"
m12c_res7100,1.993941760259932,1.335942210726382,0.0862881025957357,0.670000617546737,0.0432751368748539,0.0645896969965631,0.956724863125146,0.5521331729692895,30,100491,89765,13.643892135771017,7.288260246538882,734465266.8312979,"[1.5996429614251184e-06, 0.09998841209361609]",534,0.0998249,[-0.72361202 -1.238071   -1.054104  ],"[[ 0.38660668 -0.11017678  0.91563986]
 [ 0.7695222   0.58574804 -0.25443037]
 [ 0.50830193 -0.80296968 -0.31123759]]"
