Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12f_res7100,0.8750376101220795,0.820152418538336,0.2048636665924491,0.9372767627941316,0.2341198415047187,0.2497873102143065,0.7658801584952812,0.128558850520717,30,449784,397786,14.871475789055484,3.4597311382078337,2884941221.108931,"[7.971032778719689e-06, 0.4999827224584825]",332,0.70189703,[ 0.26192699 -0.46749428 -0.01034627],"[[ 0.67607809 -0.095648   -0.73059556]
 [-0.72527552  0.08852118 -0.68274404]
 [-0.12997629 -0.99147136  0.00952392]]"
m12f_res7100,0.1252323315600198,0.0825331116921003,0.0796435774297638,0.6590399672671177,0.6359665785795355,0.9649893939160292,0.3640334214204644,0.9498272782445984,30,2536,2250,0.97514006694933,0.3719807635525727,12829540.769646749,"[0.07077329851912673, 0.4910127475814594]",59,5.49484539,[ 0.02795386 -0.02220843  0.04309213],"[[-0.0152065  -0.2595515   0.96560954]
 [ 0.44527904 -0.86643203 -0.22588074]
 [ 0.89526272  0.42653083  0.12874824]]"
m12f_res7100,0.855882698111002,0.2974312970987796,0.2615273266505141,0.3475140901378576,0.3055644508619285,0.8792865081836312,0.6944355491380715,0.96978216235631,30,25525,22736,2.8987836406535634,1.7063372033055493,136323021.41148174,"[4.252212866262539e-06, 0.49999715731118677]",88,4.0,[-0.28182941 -0.15984579  0.38083563],"[[ 0.70448678  0.70440783 -0.08664858]
 [ 0.28435501 -0.39200904 -0.87491207]
 [-0.65026195  0.59172503 -0.47646709]]"
m12f_res7100,0.2163269431041002,0.1511868081337638,0.1320500112980453,0.6988810823301386,0.6104186995999874,0.8734228397838316,0.3895813004000126,0.8153876201943498,30,2542,2266,1.0144597356222715,0.6391923240803491,12831983.211919237,"[0.0463370017004916, 0.499564362286371]",41,7.0,[-0.01791941 -0.00759408  0.09944953],"[[-0.78379309 -0.2965749  -0.54562966]
 [-0.00410551  0.88105479 -0.4729964 ]
 [-0.62100848  0.36849122  0.69178225]]"
m12f_res7100,0.9521819717343334,0.8903936504288731,0.08207676509978,0.9351087049118172,0.0861986128032679,0.0921803126743394,0.913801387196732,0.1265117174687146,21,705051,625296,19.03173026591336,6.993482883637456,4762957574.309342,"[6.8996699020829055e-06, 0.49997191972141497]",412,0.3986637,[ 0.65439822 -0.34442541  0.08922344],"[[ 0.74492759  0.48025618  0.4630733 ]
 [-0.45758178 -0.13731238  0.87850112]
 [-0.4854913   0.86631363 -0.1174687 ]]"
m12f_res7100,1.2677160673943206,0.7639260269696352,0.6059508772060239,0.6026002561755159,0.477986272155959,0.7932062213009395,0.5220137278440409,0.8254684259492128,30,699941,629209,7.976563266633685,4.013923438171145,3666299141.683085,"[1.1448562009519492e-06, 0.4999997365560507]",172,2.0,[-0.17074434 -0.30970332 -0.14105191],"[[ 0.62841447  0.39296595 -0.67132184]
 [ 0.73766843 -0.02717002  0.67461625]
 [ 0.24686139 -0.91915154 -0.30695261]]"
m12f_res7100,0.4147011887414868,0.3325221308009741,0.1480652919556199,0.8018354898139901,0.3570409151827141,0.4452795114687933,0.6429590848172859,0.4092274295725684,30,574020,514940,5.212791277512259,2.1416793203402524,3527111019.393814,"[4.093194948318057e-06, 0.49999939353664935]",294,0.89728099,[ 0.01240158  0.07527778 -0.07663226],"[[ 0.03186633 -0.12064333 -0.99218432]
 [ 0.78636311 -0.60971631  0.09939354]
 [-0.61694213 -0.78338445  0.07544005]]"
m12f_res7100,1.9199966229178809,1.56272054070279,0.0891040533943724,0.8139183798812485,0.0464084427705701,0.0570185462298334,0.95359155722943,0.3382654078353115,30,509321,450541,31.010835018625496,13.880542381720405,3628510127.939007,"[3.410726577893902e-05, 0.4999947078472057]",590,0.0015949,[-0.30068199  0.19103055  1.88671237],"[[-0.0010402   0.84296487  0.5379676 ]
 [-0.03329734 -0.53769878  0.84247926]
 [ 0.99944495 -0.01703654  0.0286278 ]]"
m12f_res7100,1.0709300096231076,0.6601495886552532,0.5157345860130336,0.6164264543185036,0.4815763694907906,0.7812389720087567,0.5184236305092094,0.8072271583445494,30,40583,36348,5.074459169293716,2.8151058146947725,209695575.6660289,"[3.745651154041241e-05, 0.499674639744935]",120,3.0,[ 0.93339676  0.13367221 -0.53285887],"[[-0.80359554 -0.12024472 -0.58290258]
 [-0.19968021 -0.86814618  0.45436772]
 [ 0.56067996 -0.48152198 -0.67362791]]"
m12f_res7100,0.8529659933095219,0.8191719039364784,0.0560076344933759,0.9603804962470756,0.0656622127173739,0.0683710393682142,0.934337787282626,0.0780056257256417,30,536309,473482,21.249638168054705,7.748782573316967,3949096274.9986753,"[8.69906033340584e-06, 0.4999970314744058]",486,0.20076481,[ 0.37946059 -0.23190603  0.42110441],"[[ 0.37336076 -0.77897267 -0.50378897]
 [-0.08069375  0.5137311  -0.85414804]
 [ 0.92417004  0.35955798  0.12894881]]"
