Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12_elvis_RomeoJuliet_res3500,0.1016736551496071,0.0646682525874476,0.0474527332402808,0.6360374523006174,0.4667161141247137,0.7337871574017383,0.5332838858752862,0.7612817407876572,19,28338,25412,1.637949990688236,0.8994257789676263,71929598.14888662,"[12.815502658351045, 13.6010790997984]",59,5.49484539,[ 0.06974156 -0.00305444  0.01854587],"[[ 0.43206393 -0.63855673 -0.63684069]
 [-0.58204106  0.34195629 -0.7377629 ]
 [-0.68887514 -0.68942817  0.22391926]]"
m12_elvis_RomeoJuliet_res3500,0.5451251183467192,0.5205761704336699,0.226918801847704,0.9549663974621048,0.4162692090504174,0.4358993260461146,0.5837307909495826,0.1064921442710839,17,14654800,13075501,14.362479356515951,3.0611722425762253,39450005320.8429,"[0.022988536086971437, 13.635445238012979]",590,0.0015949,[ 0.17099321 -0.07668141  0.15871953],"[[ 0.69126113 -0.03211594 -0.721891  ]
 [ 0.06752171  0.9975117   0.02027882]
 [ 0.71944344 -0.06276127  0.69170959]]"
m12_elvis_RomeoJuliet_res3500,0.6604808737690978,0.3268188640770808,0.3006653581582331,0.4948195732180061,0.4552218998295246,0.9199755314225704,0.5447781001704755,0.9525470331163046,23,358044,321790,3.4465316664693284,2.608944402662653,881768034.8785723,"[11.9968545344354, 13.635445238012979]",102,3.50704241,[ 0.02294649  0.03048336 -0.1701997 ],"[[-0.60213121 -0.77546003 -0.18999936]
 [ 0.43287627 -0.11712346 -0.89381219]
 [-0.67086224  0.62043843 -0.40620193]]"
m12_elvis_RomeoJuliet_res3500,0.1340992531938603,0.0766357647956254,0.0722376145465969,0.571485395857031,0.538687672198791,0.942609690648254,0.461312327801209,0.9487033675810056,30,1382,1225,0.4990386533222533,0.3364551085231761,3610160.090558753,"[13.376634898752195, 13.62025055082698]",20,10.0,[ 0.10216237  0.16700112 -0.01876788],"[[-0.94215732 -0.134891    0.30682896]
 [ 0.21879074 -0.94101007  0.25812917]
 [ 0.25390984  0.31032962  0.91609242]]"
m12_elvis_RomeoJuliet_res3500,0.4380360504018037,0.4315097190913055,0.2200417107534833,0.9851009265002008,0.5023369892766644,0.5099345414904165,0.4976630107233356,0.0395584377365232,15,13064930,11669454,10.74015698762717,2.5096517852755347,34993996907.41377,"[1.3410897694923178, 13.635445238012979]",534,0.0998249,[-0.07594871 -0.06121399 -0.07209843],"[[ 0.64093964  0.50583939 -0.57734123]
 [ 0.58687098 -0.80772939 -0.05617555]
 [ 0.49475128  0.30281967  0.81456824]]"
m12_elvis_RomeoJuliet_res3500,0.3568967079149167,0.3360844735717513,0.2490479181587295,0.9416855524816806,0.6978151174711927,0.7410277407699402,0.3021848825288072,0.2206947155699249,15,7668348,6841402,8.474621889610402,2.219686079461461,19551394642.59716,"[6.496567380918973, 13.635445238012979]",332,0.70189703,[-0.03100945 -0.0162294  -0.06172667],"[[-0.74527601  0.55658914  0.36711334]
 [-0.25130365 -0.74447665  0.61854748]
 [-0.61758412 -0.36873168 -0.69471347]]"
m12_elvis_RomeoJuliet_res3500,0.973913414788411,0.5052790390820923,0.4123708272695919,0.5188131012569197,0.4234163129986069,0.8161249435929884,0.5765836870013932,0.8904793225261822,30,258927,232487,2.4073241979919917,2.32268010162523,650983997.0852774,"[12.254925629609163, 13.635445238012979]",88,4.0,[0.65871496 0.36918925 0.17395939],"[[ 0.90832572  0.01008152 -0.41814201]
 [ 0.01014401 -0.9999464  -0.00207327]
 [ 0.4181405   0.00235843  0.9083793 ]]"
m12_elvis_RomeoJuliet_res3500,0.3282939874564263,0.2975694370181285,0.2678995344632292,0.9064114738245828,0.8160354581540634,0.9002925070120971,0.1839645418459365,0.53404862861638,30,6481372,5793623,8.196083141404372,2.108156873829767,16381079714.992384,"[7.491940570064701, 13.635445238012979]",294,0.89728099,[-0.0525743   0.07752697  0.07500003],"[[ 0.06129709 -0.87852169 -0.47375342]
 [ 0.87768643  0.2734662  -0.39355148]
 [ 0.47529906 -0.39168339  0.78782925]]"
m12_elvis_RomeoJuliet_res3500,0.3220902929202284,0.313066566307532,0.2089184987677738,0.9719838603924296,0.6486333284794659,0.6673293198691449,0.3513666715205341,0.0953733437775255,20,9672838,8607883,8.185517664737064,2.195719412127572,25105608449.712223,"[5.18330522302438, 13.635445238012979]",382,0.49880669,[ 0.05497326 -0.03515545 -0.05807954],"[[ 0.439685   -0.8772575   0.19260418]
 [ 0.76247271  0.25124683 -0.59624693]
 [ 0.4746709   0.40901626  0.77935437]]"
m12_elvis_RomeoJuliet_res3500,0.2236690193634743,0.1164183543892776,0.0774020279064946,0.5204938740313046,0.346056097204558,0.6648610376992539,0.653943902795442,0.8282761958367777,30,8140,7279,0.9644337864724164,0.8309235523226955,20303567.34503952,"[13.033842326832023, 13.635445238012979]",41,7.0,[-0.04015954 -0.01103596  0.04230669],"[[-0.80184944 -0.18012732  0.56972943]
 [-0.13806478  0.98353092  0.11664066]
 [ 0.58135669 -0.01486868  0.81351295]]"
m12_elvis_RomeoJuliet_res3500,0.3963738656019347,0.3916260998942499,0.2207072991490639,0.9880220011466326,0.5568159717439923,0.5635663690664668,0.4431840282560076,0.0345131083155694,14,12182410,10863152,9.08964456916498,2.292846363697788,32344493356.85092,"[2.5172186045494174, 13.635445238012979]",486,0.20076481,[0.05563686 0.01078182 0.05241887],"[[-0.6579254  -0.42624012  0.62084903]
 [-0.23599214  0.8995781   0.36751456]
 [-0.71515164  0.09528167 -0.6924446 ]]"
m12_elvis_RomeoJuliet_res3500,0.7171677275138328,0.5023700499358813,0.3783281095275619,0.7004917129740637,0.527530862046863,0.7530865137677871,0.472469137953137,0.7056996862489332,30,684777,614922,4.373266440064369,2.4095307070423533,1725614734.526083,"[11.647369438071337, 13.635445238012979]",120,3.0,[-0.01927819  0.05982481 -0.05707148],"[[-0.72951389 -0.05481031 -0.68176632]
 [ 0.37009739  0.80661732 -0.46086485]
 [-0.57518467  0.58852725  0.56815339]]"
m12_elvis_RomeoJuliet_res3500,0.5837099032217182,0.5083797149275966,0.3436685668103029,0.8709458450536036,0.5887660375701433,0.6760076311448582,0.4112339624298566,0.3695594281446808,9,1652658,1486539,6.38873980848589,2.958463879537193,4060896508.505189,"[10.5118429822782, 13.635445238012979]",172,2.0,[-0.01882577  0.04299613 -0.02695901],"[[-0.65122283 -0.72582662 -0.22155031]
 [-0.72612662  0.51111483  0.45989321]
 [ 0.22056509 -0.46036654  0.85989168]]"
m12_elvis_RomeoJuliet_res3500,0.329690015107518,0.2939064446960728,0.2591181338007086,0.891462984101064,0.7859447418090759,0.8816347462835029,0.214055258190924,0.537009298265276,25,6005681,5371045,8.193098684800354,2.2423051148130115,15210434050.28961,"[7.933137825568236, 13.635445238012979]",277,1.0,[ 0.02682645 -0.00348495 -0.0746951 ],"[[-0.19543968 -0.33166251  0.92293191]
 [-0.92116436  0.38502041 -0.05670541]
 [-0.33654056 -0.86125447 -0.38076395]]"
