Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12_elvis_RomeoJuliet_res3500,0.2466991350242178,0.1463306908899947,0.13989790444974,0.5931544546178884,0.5670790229402571,0.9560393899521008,0.4329209770597428,0.955405903191724,6,499598,447557,4.174659475991232,1.7328946466343549,1329408127.268797,"[1.22966934412716e-07, 0.499999519577111]",102,3.50704241,[7.52335451e-16 1.07116438e-16 7.68717966e-17],"[[-0.99964988 -0.00839842 -0.02509135]
 [ 0.00900811 -0.99966449 -0.02428518]
 [ 0.02487898  0.0245027  -0.99939014]]"
m12_elvis_RomeoJuliet_res3500,1.2142132670355088,1.0988003942059656,0.0713186045756722,0.9049484337201136,0.0587364728354484,0.0649058782211393,0.9412635271645516,0.1816951758020764,6,662117,586851,20.390183706084784,7.476903128983449,2493403503.52637,"[7.00817893495298e-07, 0.49999216461137497]",382,0.49880669,[-1.07568402e-15 -6.45410413e-17 -4.99520768e-16],"[[ 9.97901286e-01 -6.47518425e-02 -4.72117341e-04]
 [-6.47531882e-02 -9.97893804e-01 -3.87037027e-03]
 [ 2.20509363e-04 -3.89281857e-03  9.99992399e-01]]"
m12_elvis_RomeoJuliet_res3500,0.90534934220786,0.8367577108786725,0.1388442012521923,0.9242373875680804,0.1533598079539057,0.1659311882604501,0.8466401920460942,0.1492965924205445,6,1393157,1246360,12.82014134420442,5.216563286911089,4329387186.108888,"[9.674181162822038e-07, 0.4999995505779946]",277,1.0,[ 1.67735729e-15 -2.83431564e-15 -1.20806896e-15],"[[-9.97972234e-01  6.36191685e-02 -2.00533634e-03]
 [-6.36204552e-02 -9.97973996e-01  5.84476255e-04]
 [ 1.96408963e-03 -7.10871485e-04 -9.99997819e-01]]"
m12_elvis_RomeoJuliet_res3500,1.014825926170117,0.9762803399790012,0.0580814821063426,0.9620175389718472,0.0572329506061578,0.0594926269923574,0.942767049393842,0.0747671628242527,8,541331,472297,26.106536471569942,10.246765159482292,2035570643.568551,"[2.3622625026309407e-05, 0.49998569677571014]",486,0.20076481,[ 1.44942046e-16 -1.09365362e-15  1.13153620e-15],"[[-0.97274423 -0.23187189  0.00202006]
 [ 0.23187596 -0.97274312  0.0020884 ]
 [-0.00148076 -0.00249988 -0.99999578]]"
m12_elvis_RomeoJuliet_res3500,1.3984313176370282,1.239129234721679,0.0595955665662294,0.8860851577719762,0.0426160125381987,0.0480947143335014,0.9573839874618012,0.2152440030890071,4,698136,613257,31.720299947097928,13.71178596967085,2465855874.9544816,"[3.982150949159019e-06, 0.4999868196670294]",590,0.0015949,[-2.33847602e-16 -1.91972566e-15 -6.91685858e-16],"[[-0.99999513  0.00295257  0.00101438]
 [ 0.00295439  0.99999401  0.00180249]
 [-0.00100905  0.00180548 -0.99999786]]"
m12_elvis_RomeoJuliet_res3500,0.1390758608045063,0.1110556265114992,0.0953569905871154,0.7985255375669106,0.6856473153249448,0.8586416877963564,0.3143526846750551,0.683837208366028,6,629524,565786,4.7504135426898895,1.5599730949385404,1643991895.8478982,"[8.175803658971859e-06, 0.499998346624853]",120,3.0,[-5.09603428e-16 -5.68844827e-16 -3.24107780e-16],"[[ 0.99976147  0.02101563  0.00594468]
 [ 0.02110838 -0.99964921 -0.0159968 ]
 [-0.00560641 -0.01611847  0.99985437]]"
m12_elvis_RomeoJuliet_res3500,1.3294751472333588,1.1912900332437777,0.0727369472139756,0.8960604007700746,0.0547110243958613,0.0610572951877381,0.9452889756041386,0.1976674353529903,5,636133,556160,28.2445427259502,12.641772990986045,2290724442.0164747,"[1.2411751756147282e-05, 0.49998643980051183]",534,0.0998249,[-1.63910803e-16 -9.60048987e-16 -1.31128642e-15],"[[ 9.98176184e-01  5.97205766e-02  8.81807318e-03]
 [-5.97233677e-02  9.98214965e-01  5.32934125e-05]
 [-8.79914990e-03 -5.79841242e-04  9.99961119e-01]]"
m12_elvis_RomeoJuliet_res3500,0.7253346744859044,0.7092250658876724,0.0989308415173987,0.9777901027416758,0.1363933712220748,0.1394914622674482,0.8636066287779252,0.0447591767358027,7,1266939,1133017,12.934510225109442,6.079709918420279,4008651463.4946513,"[1.9254655825307054e-07, 0.49999939353664935]",294,0.89728099,[ 2.67631801e-16 -1.08558149e-15 -4.19638300e-16],"[[ 0.974806   -0.22220665  0.01942858]
 [-0.22238333 -0.97493095  0.00743574]
 [-0.01728925  0.01156899  0.9997836 ]]"
m12_elvis_RomeoJuliet_res3500,0.6924877809531489,0.3629448291647392,0.2562123811659332,0.5241173045178897,0.3699883062388181,0.7059265226496434,0.6300116937611819,0.8403357426399631,7,54612,48998,2.463135050680908,2.056118077704281,136779581.11724773,"[3.199268030940061e-05, 0.4997621176058864]",67,5.0,[-2.90379041e-16 -2.04411561e-16  7.94721585e-17],"[[-9.98552190e-01  5.37443653e-02 -2.25084479e-03]
 [-5.37909063e-02 -9.97474095e-01  4.63893216e-02]
 [-2.48005273e-04 -4.64432336e-02 -9.98920900e-01]]"
m12_elvis_RomeoJuliet_res3500,0.1294958916052684,0.1048055073324585,0.0543480743770892,0.8093346131159783,0.4196895646910094,0.5185612451136666,0.5803104353089906,0.4187327989694319,6,1273,1142,0.438018708588528,0.3508754528585318,3256321.1183187105,"[3.2174266429763065e-05, 0.31070422139028864]",20,10.0,[-4.06196307e-18 -2.86368397e-17 -1.57349806e-17],"[[-9.99993925e-01  3.33188205e-03  1.02386612e-03]
 [ 3.33268149e-03  9.99994142e-01  7.80097110e-04]
 [-1.02126094e-03  7.83504591e-04 -9.99999172e-01]]"
