Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12c_res7100,0.4724130030114229,0.4037972658390912,0.2936963705068301,0.8547547659887919,0.6216940868152364,0.7273362039649494,0.3783059131847636,0.4391130292051642,30,70980,63672,2.880429558130192,1.7456168330813,354742437.24319816,"[11.996907462248528, 13.592778697191756]",102,3.50704241,[-0.01800212  0.01294035  0.01246015],"[[ 0.27999835  0.39997228 -0.8727102 ]
 [ 0.89955482 -0.42679103  0.0930083 ]
 [-0.33526414 -0.81109284 -0.47929778]]"
m12c_res7100,1.4750832721971954,0.7773695306010412,0.5247266637013507,0.5270004380451812,0.3557268078294653,0.6750028693504956,0.6442731921705347,0.8269088793688752,30,2516106,2254639,12.930911069849424,6.318216124139817,12604352129.232826,"[7.93314314636626, 13.595012249653497]",277,1.0,[0.06302962 0.14762774 0.38249819],"[[-0.14273751 -0.07678572 -0.98677756]
 [-0.64832445 -0.74607064  0.15183542]
 [-0.74786456  0.66142463  0.05671021]]"
m12c_res7100,0.7136409373908665,0.6917834141154574,0.341999220497369,0.969371819734274,0.4792315050587596,0.494373258333554,0.5207684949412403,0.0783011360221519,23,5507652,4912252,11.557573020705547,3.5325518364614124,28235589964.08021,"[5.183320899814174, 13.609740182276482]",382,0.49880669,[-0.05730874 -0.20288402 -0.22254711],"[[ 0.29057238  0.05919663  0.95502013]
 [ 0.50696268 -0.85600808 -0.10118798]
 [ 0.81151496  0.513562   -0.27874278]]"
m12c_res7100,0.6579874145629635,0.6536897782252147,0.2446517556747905,0.9934685128581018,0.3718182905326369,0.3742627830880676,0.6281817094673631,0.0151091342624463,18,8543864,7606970,11.145568384790346,3.8543349124388153,45292079816.95744,"[2.517235393560526, 13.609581710519718]",486,0.20076481,[-0.06634693 -0.18663693  0.04915382],"[[-0.42296572  0.10673107 -0.89983803]
 [-0.87122828 -0.32090967  0.37145426]
 [-0.24912101  0.94107676  0.22872092]]"
m12c_res7100,0.7046448312099398,0.6576819748260878,0.2178813823508256,0.9333524432397916,0.3092073803716169,0.3312868387619114,0.6907926196283831,0.1424751526431716,18,10843571,9682295,13.44646929273766,4.462208168893847,58669483417.52521,"[0.02301091474048304, 13.609740182276482]",590,0.0015949,[-0.08271116  0.04102713 -0.18528445],"[[ 0.10455969  0.33690774  0.93571387]
 [-0.78664591  0.60368002 -0.1294552 ]
 [ 0.60848623  0.72253969 -0.32814769]]"
m12c_res7100,0.8814837826116737,0.5322395142104064,0.4103869072726559,0.6037995533320862,0.4655637634724887,0.7710568199384397,0.5344362365275113,0.81126816390281,30,28338,25353,4.271760318660819,2.6299187939063096,140782343.34235606,"[11.647393395049477, 13.59043307555779]",120,3.0,[-0.11345179  0.52600564  0.55774593],"[[ 0.10633325  0.87684671 -0.46886362]
 [-0.72963763  0.38915499  0.56230537]
 [-0.67551623 -0.28230878 -0.68116046]]"
m12c_res7100,0.7574867547536298,0.7496827476890059,0.2543281892550908,0.9896975002986526,0.335752655289412,0.3392477551858975,0.664247344710588,0.0231032879889138,24,9696702,8644954,12.094317541673616,4.198211868112861,51972492337.50062,"[1.3410789573835231, 13.609740182276482]",534,0.0998249,[-0.14494363 -0.14246566 -0.24112437],"[[ 3.06909075e-01  2.54140239e-01 -9.17180221e-01]
 [-3.88027142e-04  9.63722301e-01  2.66906679e-01]
 [ 9.51738761e-01 -8.15601912e-02  2.95873734e-01]]"
m12c_res7100,1.7791300870166042,0.8066373653890041,0.5933653131365085,0.453388637107274,0.3335142930056979,0.7356035544551742,0.6664857069943021,0.8938649347687792,30,2986303,2675629,12.924554950924216,6.711317256579481,14978764703.03428,"[7.491911315208218, 13.595012249653497]",294,0.89728099,[-0.08017859 -0.1546168  -0.23246629],"[[-0.28635955 -0.51856983 -0.80565721]
 [-0.21489487 -0.78468628  0.58145303]
 [-0.93371216  0.33963623  0.11326442]]"
m12c_res7100,0.4242051260746647,0.2736551482335561,0.2488364472216037,0.6451009933939125,0.5865946258692918,0.9093066541150164,0.4134053741307082,0.890133716203931,30,12606,11272,1.4335176618018397,1.2953818997340203,62605933.13192121,"[12.667319957876277, 13.592778697191756]",67,5.0,[-0.05682657  0.07456518 -0.15419873],"[[-0.37221379 -0.81926656  0.43618711]
 [ 0.66856974 -0.56263997 -0.48626204]
 [-0.64379453 -0.11062807 -0.75715919]]"
m12c_res7100,0.6019397546817452,0.5592281042413493,0.2492587946134412,0.929043313540608,0.4140925942750336,0.4457193633921287,0.5859074057249664,0.1652070097209421,23,7492210,6668869,11.433967303813676,3.754428889322757,39207739580.02375,"[3.526423325127056, 13.609581710519718]",446,0.30020699,[ 0.02103724 -0.00190491  0.1095175 ],"[[ 0.45725214  0.08408276 -0.88535336]
 [ 0.62283079  0.68034414  0.38628184]
 [ 0.63482461 -0.72805353  0.25871949]]"
