Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12c_res7100,0.1901398281075957,0.1516606881771259,0.1317689222708922,0.7976271446469629,0.6930106310831795,0.8688403293871253,0.3069893689168205,0.6999529616782798,6,2898,2611,0.9212341903681576,0.6070552448313422,14902009.621146318,"[0.0003101727884597949, 0.49949561609075666]",41,7.0,[-9.60683980e-17  1.17947599e-16 -1.67742823e-17],"[[-0.99906573 -0.04291178  0.00512326]
 [-0.04256545  0.99757564  0.05505476]
 [ 0.00747334 -0.05478525  0.99847019]]"
m12c_res7100,1.048099531955454,0.7362638164635104,0.1918932364546794,0.7024750932670035,0.1830868449074312,0.2606310838096031,0.8169131550925688,0.5240968864664337,7,582999,524044,10.00515360384517,4.361622381477363,3648892922.724417,"[1.4664183990653612e-05, 0.49998755158302366]",412,0.3986637,[-1.76416963e-16  2.88515242e-16 -6.71670834e-16],"[[-0.99998708 -0.00325775 -0.00390217]
 [ 0.00322227 -0.99995373  0.00906407]
 [-0.00393152  0.00905138  0.99995131]]"
m12c_res7100,0.5233926186486841,0.4114717860000877,0.1916101724884046,0.7861627606870764,0.3660926151062492,0.4656702573730384,0.6339073848937508,0.441060753123964,30,488764,438996,7.477758456125817,2.6104690686210605,2897181922.1143675,"[5.019424030194841e-06, 0.49997095138717196]",332,0.70189703,[-3.47100104e-17 -4.23751377e-16  3.41315102e-17],"[[ 0.95626759  0.24150649 -0.16500577]
 [-0.19154684  0.9434102   0.27071571]
 [-0.22104773  0.22727033 -0.94841241]]"
m12c_res7100,0.5421322877857343,0.3708566441487685,0.2248503388700176,0.6840703874389813,0.4147517938626903,0.6062998800685346,0.5852482061373097,0.6425844765610738,7,24145,21702,2.620035457022789,1.7077487671872258,122142944.97838692,"[5.280973486065932e-06, 0.4992622967023035]",88,4.0,[-1.28443105e-16  1.71257473e-18 -7.49251445e-18],"[[-0.9998324   0.01783209 -0.00414538]
 [ 0.01797152  0.99917329 -0.03646595]
 [-0.00349169  0.03653433  0.9993263 ]]"
m12c_res7100,0.3844430606918128,0.2471382776947848,0.2157255970580253,0.6428475448355204,0.5611379658403065,0.8728943127314577,0.4388620341596935,0.8564097552054376,30,6384,5666,1.340438903686349,1.044158177270496,31790380.41040281,"[0.0038586723033304793, 0.4750196927215029]",59,5.49484539,[8.45721181e-17 2.64287869e-17 1.95166426e-17],"[[-0.99980596 -0.00361947  0.01936366]
 [-0.01773093 -0.26293407 -0.96465086]
 [-0.00858289  0.96480702 -0.26281887]]"
m12c_res7100,0.9102110367181532,0.5777380799680635,0.3427386960556217,0.6347298117271237,0.3765486049162802,0.5932423496726541,0.6234513950837197,0.6957705774412772,6,73900,66236,5.206855127111695,2.58786520367079,386557680.0892819,"[8.013991187993952e-06, 0.4999972744973089]",172,2.0,[-3.26439928e-16  2.16185383e-16  3.03233778e-16],"[[-9.99834254e-01  1.82012150e-02  4.23699611e-04]
 [ 1.82015917e-02  9.99833930e-01  9.02726769e-04]
 [ 4.07198523e-04 -9.10289154e-04  9.99999503e-01]]"
m12c_res7100,0.8353625711240614,0.8174140530669932,0.0551743233218561,0.9785140983358678,0.06604835460561,0.0674986233902369,0.93395164539439,0.0426964175757681,5,411814,367285,16.887905677763783,6.130690751045052,2876016245.955124,"[7.73983617963095e-06, 0.49999368664256416]",600,0.0,[ 1.08181668e-15  1.03518665e-15 -3.77812525e-16],"[[ 8.87878038e-01 -4.60071443e-01 -2.61875024e-03]
 [ 4.60066520e-01  8.87881520e-01 -2.28103458e-03]
 [ 3.37457881e-03  8.20481199e-04  9.99993969e-01]]"
m12c_res7100,0.692872482835957,0.635622497119903,0.0915251884008807,0.9173729840132672,0.13209528545031,0.1439929971258012,0.86790471454969,0.1612403170081364,5,544216,487705,11.234435044826729,4.683151975834413,3527780160.5392203,"[3.090518026382938e-06, 0.49999989219382224]",446,0.30020699,[-1.07578163e-15  5.62599583e-16 -6.04414417e-16],"[[ 0.99968761 -0.02482915 -0.0028624 ]
 [ 0.02482614  0.9996912  -0.00108375]
 [ 0.00288842  0.00101235  0.99999532]]"
m12c_res7100,0.5841889014852792,0.4525632682003329,0.389763960685774,0.7746865218591231,0.667188232598759,0.861236401786899,0.3328117674012409,0.7206518619052228,6,96839,87071,4.209965800670153,1.9700782756759037,512501899.4852098,"[1.2725093098353568e-05, 0.49990560283409025]",214,1.5,[7.84667016e-17 2.61555672e-17 5.55805803e-17],"[[-0.99701441 -0.03174064  0.07039032]
 [ 0.02010721 -0.98687872 -0.1602064 ]
 [ 0.07455176 -0.15831274  0.98457052]]"
m12c_res7100,0.4755267539034789,0.2892976977912313,0.2550449025224727,0.6083731260469777,0.5363418575902903,0.8816001802631807,0.4636581424097097,0.8842468878830791,15,11270,10082,1.4126082983920294,1.3465351964403427,56269811.87249949,"[0.044608392570319566, 0.4999279700045882]",67,5.0,[ 8.15782673e-17 -8.22735366e-17 -1.85405153e-18],"[[ 0.99990378  0.00431309 -0.01318469]
 [ 0.0033113  -0.997172   -0.07508021]
 [ 0.01347123 -0.07502933  0.99709033]]"
m12c_res7100,1.6571953511128066,0.5444972066321995,0.3702242933160504,0.328565492454809,0.2234041346226592,0.6799379111711991,0.7765958653773408,0.938904904526338,13,525313,471683,12.658891084285248,5.3660959932713705,2952731962.247146,"[2.142870781263184e-06, 0.499993113313276]",294,0.89728099,[5.05879793e-16 3.42546407e-16 1.81481540e-17],"[[-0.99949549 -0.03173211 -0.00135801]
 [-0.03114753  0.97092484  0.2373495 ]
 [ 0.00621307 -0.23727205  0.97142337]]"
m12c_res7100,1.270032636653204,1.1403505152383,0.0815464661901954,0.8978907173939695,0.0642081658665773,0.0715100007414427,0.9357918341334228,0.1945945121877466,6,474774,423613,16.515747915739365,6.686996578666153,3267270084.9107046,"[1.5996429614251184e-06, 0.49999833585066744]",534,0.0998249,[ 4.84343987e-16 -7.71666692e-16  7.71153615e-16],"[[-0.9997702  -0.02118162 -0.00329984]
 [ 0.02117607 -0.9997743   0.00170682]
 [-0.00333525  0.00163655  0.9999931 ]]"
m12c_res7100,0.8447858665818224,0.6110678377537728,0.4409209912214035,0.7233405078452355,0.52193225367922,0.7215581707624918,0.47806774632078,0.655287534696272,6,18947,17003,4.398238222067078,2.439998026121147,97098919.3075136,"[2.433724828421191e-05, 0.49971633039161567]",120,3.0,[-8.19177642e-17 -4.31146128e-17 -1.23415579e-16],"[[-0.9962878   0.02910339 -0.0810161 ]
 [-0.03032011 -0.99944458  0.01382854]
 [-0.08056864  0.01623363  0.99661686]]"
m12c_res7100,0.954953589493358,0.8272921589939632,0.0589746082127594,0.8663166127611245,0.0617565176586726,0.0712863135128417,0.9382434823413274,0.2504507122793252,4,416984,371720,18.602994998221387,6.806908257474528,2911610710.7957773,"[2.6360804460761472e-05, 0.49998857259576723]",590,0.0015949,[-1.12845657e-15  1.30808843e-15  3.88050881e-16],"[[-9.99792602e-01 -1.67025624e-02 -1.16523719e-02]
 [-1.66975150e-02  9.99860446e-01 -5.30326293e-04]
 [-1.16596036e-02  3.35650651e-04  9.99931968e-01]]"
m12c_res7100,1.1683418786708757,1.0861970537726815,0.0945669559684471,0.9296911063466772,0.0809411677308255,0.0870624309281527,0.9190588322691744,0.1365691759990465,5,468214,418466,13.775452975473891,5.978817694071036,3213160538.278517,"[2.6420794064563324e-05, 0.49999419779944354]",486,0.20076481,[ 1.21351407e-15 -8.76484798e-17  4.66415125e-16],"[[ 9.99017135e-01  4.42098944e-02  3.20130491e-03]
 [-4.42083304e-02  9.99022178e-01 -5.57708496e-04]
 [-3.22283084e-03  4.15635999e-04  9.99994720e-01]]"
