Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12m_res7100,0.7087770408936003,0.44483483597826,0.3207668305921873,0.6276089804170696,0.4525637994534588,0.7210919753772697,0.5474362005465412,0.7622203635890625,30,7742,6893,2.6276728105749023,2.153905239756108,38319711.90234163,"[12.009423088539942, 13.394699788768762]",102,3.50704241,[ 0.06257275 -0.08873817 -0.16810911],"[[-0.09427928 -0.69128034 -0.71640974]
 [ 0.23220103  0.68449846 -0.69104598]
 [ 0.96808786 -0.2315024   0.09598198]]"
m12m_res7100,0.926154190849175,0.8873222525104958,0.2775551451350755,0.958071842979974,0.2996856763997256,0.3128008390973971,0.7003143236002745,0.0901992764217575,16,17806866,15824909,16.044023747664962,6.419910873852355,98696213974.65616,"[2.5172176718267947, 13.58123481622981]",486,0.20076481,[-0.15951832  0.24851119  0.19285623],"[[ 0.36010963  0.16968309 -0.91734874]
 [-0.93094995  0.12906922 -0.34157477]
 [-0.06044203 -0.97701013 -0.20444553]]"
m12m_res7100,2.203324389036857,1.3876773056388276,0.5677067467829701,0.629810713548823,0.2576591761103015,0.4091057369577879,0.7423408238896985,0.6462412943787738,30,3921165,3510223,13.16414795910825,8.816682628416725,19893134824.45571,"[7.933127667679436, 13.575876076993126]",277,1.0,[-0.09921021 -0.31351474 -0.19886956],"[[-0.21543863 -0.2718695  -0.93790894]
 [-0.74067689  0.67141501 -0.0244873 ]
 [-0.63638349 -0.68941196  0.34601619]]"
m12m_res7100,1.3435371199654575,1.185596870319115,0.4468763207339196,0.8824444466034531,0.3326118155525236,0.3769209686034666,0.6673881844474764,0.2488187738374744,9,11385204,10161873,17.376674038899566,7.25009305803181,60800962204.179375,"[5.183309142221621, 13.575876076993126]",382,0.49880669,[-0.04200883  0.11237117 -0.31867002],"[[-0.0851639  -0.08040079  0.99311773]
 [ 0.99296556 -0.0891383   0.07793439]
 [-0.08225884 -0.99276889 -0.08742658]]"
m12m_res7100,2.038750606676573,1.6766044117752628,0.6241400441472839,0.8223685654756688,0.306138495852964,0.3722643455807305,0.693861504147036,0.3571856607644946,30,4904721,4392781,14.683661765797057,8.280033734245293,25032829729.918198,"[7.491911315208218, 13.585034022251078]",294,0.89728099,[0.01886063 0.08857492 0.01354794],"[[-0.26836414 -0.17529397  0.94723424]
 [ 0.55215102 -0.83374137  0.00214065]
 [-0.78937313 -0.52359083 -0.32053503]]"
m12m_res7100,0.904074845768381,0.6742498775109697,0.4062999422498617,0.7457898874931299,0.4494096303548229,0.602595500276159,0.550590369645177,0.5561155550731276,30,19422269,17355369,22.086897752006383,8.13361238509823,108062258974.13388,"[1.341078056374628, 13.582327202319707]",534,0.0998249,[ 0.05525694  0.01915347 -0.21722862],"[[ 0.97171431  0.08446056 -0.22053961]
 [-0.17710886 -0.35710916 -0.91711804]
 [ 0.15621702 -0.93023624  0.33204937]]"
m12m_res7100,0.4489459876350906,0.3519358821181715,0.3062054444942529,0.783915864739234,0.682054084294748,0.8700603151100024,0.317945915705252,0.7207821848900254,30,49653,44607,3.10785413568867,1.8138637919902472,242334878.6594119,"[11.652567914720661, 13.575876076993126]",120,3.0,[-0.03594039 -0.00398279  0.05091815],"[[ 0.30974785 -0.5960059  -0.7408328 ]
 [-0.93046286 -0.35036403 -0.10716297]
 [-0.19569141  0.72251091 -0.66308586]]"
m12m_res7100,0.9852689064210008,0.9517103384699924,0.2685911517766982,0.9659396863817512,0.2726069502714322,0.2822194326568902,0.7273930497285678,0.0723361507137378,13,20847432,18517361,16.377940349964973,6.466972313537343,116259592301.32455,"[0.02300833258720637, 13.582780730134264]",590,0.0015949,[ 0.04854937  0.04824701 -0.14865702],"[[-0.17810998  0.54810739 -0.81722404]
 [-0.44400393 -0.78591757 -0.43034183]
 [ 0.87814426 -0.2862025  -0.3833416 ]]"
m12m_res7100,0.300701852638424,0.1694476217836005,0.1446385478985863,0.5635070761846991,0.4810031818211162,0.8535885389014337,0.5189968181788838,0.8878842900690209,30,9768,8768,1.8702513574474744,1.04999463035305,48646668.243677646,"[12.738770132463072, 13.575876076993126]",67,5.0,[-0.1389745   0.03828623  0.23513277],"[[ 0.68059477 -0.57768571 -0.45063286]
 [ 0.22076904  0.74817797 -0.62569222]
 [-0.69860703 -0.32635707 -0.63674114]]"
m12m_res7100,0.977801451326508,0.9506755753668292,0.2688044729937157,0.9722582985299528,0.2749070096276185,0.2827510035587002,0.7250929903723815,0.0591867741569692,30,20868610,18533279,16.263550594548782,6.448262781937928,116372989496.47745,"[3.955918612231278e-05, 13.582780730134264]",600,0.0,[ 0.08658714 -0.05025596 -0.12773812],"[[ 0.52846086  0.24181182 -0.81379123]
 [-0.82995588  0.34882952 -0.43530587]
 [-0.1786123  -0.90545293 -0.38503589]]"
