Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12r_res7100,0.2753634024146178,0.2557611443288299,0.1826963856858088,0.9288131323411216,0.6634737371915559,0.7143242425085399,0.3365262628084441,0.2452760404769038,11,1151440,1030226,7.489328731394946,2.1111515911129306,5637942928.909967,"[5.1833375564057675, 13.573126343534499]",382,0.49880669,[-0.07958573 -0.06748414 -0.08255661],"[[ 0.47029344  0.7970152  -0.37893384]
 [ 0.51937953  0.09718011  0.84899996]
 [ 0.7134907  -0.59608959 -0.36825022]]"
m12r_res7100,0.4132008978227897,0.29945601425171,0.2855435523756855,0.724722564325449,0.6910525942229369,0.9535408834222636,0.3089474057770631,0.908757883511322,30,809144,725702,8.094514902545388,2.5535467757100974,3923336847.6734447,"[7.9332534318628, 13.572558682677354]",277,1.0,[-0.00444288 -0.02408579  0.04660328],"[[-0.1981468   0.4637517  -0.86352314]
 [ 0.57801189  0.76678999  0.27916907]
 [ 0.79160603 -0.44381018 -0.41999098]]"
m12r_res7100,0.4168355233760378,0.4001596235667338,0.1966146394554525,0.9599940531117828,0.4716839818809817,0.4913405248209995,0.5283160181190183,0.1008488537550753,20,1547852,1384325,8.862560396247746,2.8200642841459227,7740746572.580672,"[2.5172176718267947, 13.577152747547464]",486,0.20076481,[-0.0249966   0.01765584 -0.01729874],"[[-0.27249272  0.90296847 -0.33225841]
 [-0.58930131  0.11634692  0.79949194]
 [-0.76057326 -0.41365605 -0.50041681]]"
m12r_res7100,0.5916356629747584,0.4025495841814262,0.3235964230289683,0.6804011478236406,0.5469521925063099,0.8038672395774373,0.4530478074936901,0.7662972289530772,30,158687,142373,3.431011953986465,2.159512582507161,786813157.140517,"[11.647413549269988, 13.569794672453293]",120,3.0,[0.0776712  0.01479643 0.29067114],"[[ 0.1993099   0.40086298 -0.89419485]
 [ 0.46587345  0.76402539  0.44634867]
 [ 0.86211223 -0.50554335 -0.0344736 ]]"
m12r_res7100,0.7831801780712963,0.7293723796586354,0.3200524945995147,0.9312957606445416,0.4086575523242864,0.4388053393923517,0.5913424476757135,0.1592897535536934,24,3493678,3126982,18.255493665360188,5.884230247805205,17730697148.274822,"[0.022993700389977587, 13.577152747547464]",590,0.0015949,[ 0.16413306  0.24831555 -0.12775225],"[[ 0.23794642 -0.14943098  0.95971448]
 [ 0.8931516   0.42192762 -0.15574754]
 [-0.38165654  0.8942301   0.23386068]]"
m12r_res7100,0.4998777495197212,0.4292016315115859,0.2158705822109078,0.8586131947740416,0.4318467513673387,0.5029584380903748,0.5681532486326613,0.3230247986912173,24,1811505,1621424,10.709834678544054,3.291933017896147,9164187377.176847,"[1.3410807594013952, 13.574257347458973]",534,0.0998249,[-0.11425444 -0.15440261 -0.14609285],"[[-0.50034553  0.32101607 -0.80411631]
 [-0.55347516  0.595608    0.58216524]
 [-0.6658225  -0.73634217  0.12033538]]"
m12r_res7100,0.3721531476768831,0.2615345248847153,0.234071604342282,0.70276048051,0.6289658056191197,0.8949931350190229,0.3710341943808802,0.8374024145672399,28,872876,782127,8.226281799733998,2.7765617692392914,4245483226.56402,"[7.491924967476178, 13.572558682677354]",294,0.89728099,[-0.04861108  0.03712447 -0.0054433 ],"[[ 0.05585173  0.79622645  0.60241515]
 [-0.46127501  0.55568375 -0.69169425]
 [-0.88549757 -0.23924673  0.39831526]]"
m12r_res7100,0.6482132511042575,0.3427792032977997,0.2200072900750665,0.528806226521691,0.3394057275137082,0.6418338334368804,0.6605942724862918,0.8141511301879352,30,14751,13186,1.5505845360132868,1.5350861360550745,74986639.86429137,"[12.642271790734824, 13.529818555032312]",67,5.0,[-0.02037817  0.24127458 -0.20697338],"[[ 0.48201574  0.68071634  0.55162132]
 [ 0.68553401  0.09905722 -0.72127026]
 [-0.54562252  0.7258188  -0.41890707]]"
m12r_res7100,0.4215298072827315,0.3411771518884141,0.3003631177990147,0.8093784733461975,0.7125548718255954,0.8803728975885581,0.2874451281744046,0.700651271726067,30,571545,513199,5.966082340737645,2.44235023075912,2774827309.875066,"[9.517975562989466, 13.569890531930007]",214,1.5,[-0.06569114  0.00399197 -0.10308855],"[[ 0.51445556  0.30973307  0.79962548]
 [-0.8036275   0.49949715  0.32355128]
 [-0.29919612 -0.80905378  0.50587909]]"
m12r_res7100,0.3397033566259005,0.3244391603008003,0.1839363440618664,0.9550661009749456,0.5414616619888951,0.5669363214087099,0.4585383380111049,0.1242874192479028,23,1367740,1224038,8.447398713108155,2.4834567082446,6763055446.649653,"[3.526453897299405, 13.577152747547464]",446,0.30020699,[-0.03175098  0.01420285  0.0443027 ],"[[-0.0442467  -0.98111837  0.18827899]
 [ 0.64635114 -0.17181797 -0.74344387]
 [ 0.76175615  0.0887994   0.64174935]]"
