Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12w_res7100,0.5330774530439798,0.357507135502676,0.3102515666327305,0.6706476394025637,0.5820009172421973,0.8678192288288138,0.4179990827578027,0.832077123845691,30,234629,211148,5.932775104547432,3.175152168803729,1173240929.6138928,"[10.511863160350059, 13.640676308158456]",172,2.0,[ 0.0071777   0.02139988 -0.05434967],"[[-0.5749486   0.80050467 -0.16919334]
 [ 0.01483124  0.21695271  0.97606944]
 [ 0.8180551   0.55868041 -0.13660913]]"
m12w_res7100,1.1760572683354589,1.0069304555747822,0.5008115383692516,0.8561916861412272,0.4258394143323299,0.497364575275832,0.57416058566767,0.326063980099596,30,5586943,4993833,14.661360865652153,5.604303899120857,29611391706.23744,"[4.401443126819294, 13.640676308158456]",412,0.3986637,[ 0.53193896  0.08914295 -0.43539991],"[[-0.86643305 -0.11852877  0.48502031]
 [-0.26517833  0.93232414 -0.24587019]
 [ 0.42305346  0.34164693  0.83922771]]"
m12w_res7100,0.3566561477358803,0.3156792862970496,0.1854775224862344,0.8851082150161732,0.5200457742385216,0.587550499945387,0.4799542257614784,0.2968716844452015,30,3176,2831,1.1447271401862158,0.9626500864502224,16553025.111968908,"[12.754142237708066, 13.548212586123265]",59,5.49484539,[-0.03739604 -0.00066207  0.0784113 ],"[[-0.6168326  -0.781003    0.09773361]
 [-0.78485264  0.61968054 -0.00153817]
 [ 0.0593623   0.07765527  0.99521142]]"
m12w_res7100,0.4602375583625985,0.2612975672247521,0.2359957081255719,0.5677449883803023,0.5127693380027072,0.9031684092281766,0.4872306619972928,0.9194076942856836,21,5593,5001,1.949411370465772,1.299990544624184,27454452.9345382,"[12.256404077464138, 13.640676308158456]",88,4.0,[ 0.03917142  0.00981258 -0.02331946],"[[ 0.92961909 -0.36264949  0.06552632]
 [ 0.08610054  0.04084552 -0.99544881]
 [ 0.35832255  0.93103007  0.06919509]]"
m12w_res7100,1.0225801711769238,0.919608821555944,0.5313383325270159,0.8993024189952106,0.5196055502577169,0.5777873374768319,0.480394449742283,0.261989753960989,23,2543134,2280330,12.328934474453169,4.900217821923973,12970780278.215992,"[6.496565413179787, 13.640676308158456]",332,0.70189703,[-0.19315706  0.25202528  0.27615423],"[[ 0.18906224  0.70470539 -0.68384632]
 [-0.78659035  0.52556377  0.32412704]
 [-0.58781892 -0.47662673 -0.65367872]]"
m12w_res7100,0.5327180367113783,0.3351935216789997,0.3296872688559706,0.6292137652185492,0.6188776165553262,0.9835729139529666,0.3811223834446737,0.979091318007896,30,9625,8619,3.1026582324975784,1.6163350191610466,47097149.27783767,"[11.996870376824956, 13.640676308158456]",102,3.50704241,[-0.01918174 -0.32430841 -0.16212749],"[[ 0.49987899  0.01900529 -0.86588671]
 [ 0.7623775   0.46474648  0.4503235 ]
 [ 0.41097633 -0.8852398   0.2178278 ]]"
m12w_res7100,0.6724029414785435,0.6093837229340189,0.2602301884293682,0.906277598360959,0.3870152439505237,0.4270382989168628,0.6129847560494763,0.2101351210481738,13,10380516,9200927,13.074253609554429,3.947102951530443,57550484484.47741,"[7.73983617963095e-06, 13.640676308158456]",600,0.0,[-0.15145007 -0.04777173  0.15736955],"[[-0.65584964  0.33520856  0.67638486]
 [ 0.11409345  0.92972593 -0.35013195]
 [ 0.74621977  0.15246283  0.64800551]]"
m12w_res7100,0.8467472465897113,0.7200516397282396,0.4423731957988465,0.8503737598536748,0.5224383044415106,0.6143631531285813,0.4775616955584894,0.3808009615708882,28,673156,604544,8.165333398763707,3.9545903684146766,3362556327.483984,"[9.517975562989466, 13.640676308158456]",214,1.5,[0.0571656  0.1759342  0.19243255],"[[-0.13798309  0.05880767  0.98868717]
 [-0.47975911 -0.87727584 -0.01477524]
 [-0.86648247  0.47637041 -0.14926275]]"
m12w_res7100,0.6787157961766758,0.6387616552053819,0.3222950767585095,0.9411327374486308,0.4748601381816274,0.5045623420442819,0.5251398618183726,0.1475377823807395,22,6669883,5954372,14.028219611310137,5.038662063269956,35252003321.27808,"[3.526426191267385, 13.640676308158456]",446,0.30020699,[-0.11248523 -0.09767919 -0.04319951],"[[ 0.23148475 -0.73732947 -0.63463381]
 [-0.7773697  -0.53241019  0.33501602]
 [-0.58490269  0.41579399 -0.69642243]]"
m12w_res7100,0.3116968606491679,0.2354352355424674,0.1731581127716287,0.7553339967946063,0.5555337080103856,0.7354808738490408,0.4444662919896144,0.6211766684558281,30,5923,5255,1.476664681961015,0.9141850540302568,30678655.92624109,"[12.622716539636519, 13.54852738989545]",67,5.0,[-0.08729626 -0.19231297  0.21739435],"[[ 0.79873168  0.60011549  0.04346383]
 [ 0.33701609 -0.38637373 -0.85856595]
 [-0.49844544  0.70041184 -0.51085752]]"
m12w_res7100,0.9149723540797732,0.8354928696223543,0.3408080242399086,0.913134550893229,0.3724790401811362,0.4079125467509436,0.6275209598188638,0.1929561509467437,13,9032413,8018978,13.960274242215196,4.503759934630009,49498991068.48368,"[1.3410807594013952, 13.640676308158456]",534,0.0998249,[ 0.19340137  0.05252443 -0.26115085],"[[-0.61505084  0.1742019  -0.76900336]
 [-0.10310295  0.94914716  0.29747177]
 [ 0.7817175   0.26224678 -0.56581303]]"
m12w_res7100,1.1256239822497736,0.9990694480154624,0.7274861951366293,0.8875694403904155,0.646295927066701,0.72816378939592,0.353704072933299,0.3644511670950809,30,1813334,1625074,10.027407429092458,4.321084718900384,9141554451.373432,"[7.491910340046114, 13.640676308158456]",294,0.89728099,[ 0.2295426  -0.02055119 -0.25957772],"[[-0.56095876 -0.36768576  0.74170914]
 [-0.15684502 -0.83252127 -0.53132661]
 [ 0.81284987 -0.41438571  0.40934042]]"
m12w_res7100,0.6477298256641421,0.5694082350840532,0.24447318317722,0.8790829332279354,0.377430795203158,0.4293460616022388,0.622569204796842,0.2649574458706433,30,10365669,9187365,13.297932657835013,4.020660475296888,57485278745.03195,"[0.0229850932188508, 13.640676308158456]",590,0.0015949,[-0.2236536  -0.07972249  0.17378542],"[[ 0.71931914 -0.23797317  0.65264749]
 [ 0.56350782  0.74930261 -0.34785707]
 [-0.40624981  0.61799221  0.67308745]]"
m12w_res7100,1.107849325608809,0.6504809972691635,0.4794597886690086,0.5871565584170908,0.4327842943854531,0.7370850042996909,0.5672157056145468,0.806261826432745,30,36950,33088,3.397058419188035,2.912087431429892,182082121.17464063,"[11.647525537244375, 13.640676308158456]",120,3.0,[-0.20765505 -0.25193473  0.15361818],"[[-0.60976095  0.57513154  0.54535795]
 [-0.78833107 -0.36889538 -0.49239245]
 [-0.0820104  -0.7301643   0.67833206]]"
