Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12z_res4200,0.8827920910650309,0.4273021350131689,0.3781241191105933,0.4840348473190974,0.4283274883607207,0.8849104371990559,0.5716725116392792,0.9377549509725598,11,94767,85143,5.017144921611996,3.26417629336811,266586410.86238283,"[10.513637844136007, 13.563025388871008]",172,2.0,[ 0.24136458  0.0919575  -0.19065468],"[[-0.6965556  -0.11256748  0.70861757]
 [ 0.34504776  0.81336395  0.46838139]
 [ 0.6290885  -0.57076058  0.52771206]]"
m12z_res4200,0.3274048578647606,0.1654220697407689,0.161289860393351,0.5052523374869988,0.4926312378051952,0.9750202052610428,0.5073687621948048,0.983369671806147,25,7468,6701,1.9400802632953205,1.067604616063567,21669902.162812043,"[12.254928372972358, 13.563025388871008]",88,4.0,[-0.03402074 -0.10614184  0.01701442],"[[ 0.43701804  0.36580008 -0.82170891]
 [-0.28306546  0.92307932  0.26038147]
 [-0.85375007 -0.11880602 -0.50694768]]"
m12z_res4200,0.2096120610657025,0.1258132582458492,0.1128399452749478,0.6002195560989845,0.5383275404156176,0.8968843733022919,0.4616724595843824,0.9007791727315344,30,2256,2014,0.9875587739802744,0.6608813920173154,6435010.9412991945,"[12.86877052627821, 13.563025388871008]",59,5.49484539,[ 0.00084246 -0.05515467  0.01426822],"[[ 0.36172165  0.62443998 -0.69226596]
 [-0.40280007  0.77434143  0.48800354]
 [-0.84077913 -0.10232333 -0.53162053]]"
m12z_res4200,1.8931350583561557,1.3613067813570132,0.9397047427107847,0.7190753640889527,0.4963749092084048,0.6902960857757896,0.5036250907915951,0.6408213419060053,30,1499884,1345356,11.879025813725669,5.300114514592332,4348410812.16302,"[6.496581155092928, 13.563025388871008]",332,0.70189703,[ 0.58786242 -0.14310377  0.56478967],"[[-0.78642713 -0.43482095  0.43870617]
 [ 0.10833257 -0.79633084 -0.59508088]
 [-0.60810888  0.42046158 -0.67336145]]"
m12z_res4200,2.635972966615648,1.3528655821849431,1.075711791009652,0.5132319638019281,0.4080890830951005,0.7951357512342987,0.5919109169048995,0.8837737079766707,30,2891880,2592272,17.913174489794066,7.857184689323838,8368321681.048488,"[4.401445067947562, 13.563025388871008]",412,0.3986637,[0.65292268 0.14874656 0.14648196],"[[-0.98073516  0.02291626  0.19399328]
 [-0.17399744 -0.55387256 -0.81421746]
 [-0.08878873  0.83228603 -0.54718967]]"
m12z_res4200,0.1437616253510799,0.0864097193131307,0.0649670439433364,0.6010624817444141,0.4519081068030541,0.7518488019606855,0.5480918931969458,0.8026397309659896,30,1297,1141,0.5778917060783122,0.4134379349108762,3866979.42396046,"[13.033861219340649, 13.563025388871008]",41,7.0,[-0.05250637  0.03038625  0.07292789],"[[-0.21421938 -0.45278713 -0.86550209]
 [ 0.27913973  0.82074235 -0.49846063]
 [ 0.93605078 -0.34837594 -0.04942804]]"
m12z_res4200,0.4409059811665817,0.2105615366590744,0.1661025293829683,0.4775656163746181,0.3767300433155429,0.7888550398067676,0.6232699566844571,0.8996084897402392,30,20094,17919,2.6976507432047487,1.5602794238569604,58447941.80668888,"[11.99687739787005, 13.563025388871008]",102,3.50704241,[ 0.02439379 -0.25887347 -0.21322795],"[[-0.15097415  0.87642363 -0.45726189]
 [ 0.51724806  0.46422585  0.71899152]
 [ 0.84241394 -0.12796869 -0.52341452]]"
m12z_res4200,1.781889107458735,1.1560664665006428,0.9013146138492084,0.6487869877320157,0.5058197000455491,0.7796390951269819,0.4941802999544509,0.7781740533725049,23,4404186,3944190,15.98854755718104,6.52414449181451,12957910464.40433,"[2.517211142769104, 13.563025388871008]",486,0.20076481,[-0.14116819 -0.08326911  0.05854542],"[[-0.8912387   0.2831268  -0.35430607]
 [-0.45215865 -0.61548843  0.64554361]
 [-0.03530059  0.735536    0.67656534]]"
m12z_res4200,2.07238280539075,1.1950147066859635,0.9533088346054558,0.5766380147419928,0.4600061495036909,0.7977381611053048,0.5399938504963091,0.8466430617786568,30,2333126,2093645,15.736272476228296,7.317673036478198,6720715730.48229,"[5.183307182622983, 13.563025388871008]",382,0.49880669,[ 0.52887965 -0.0388238   0.37158923],"[[-0.89659373  0.43332361  0.09138016]
 [ 0.15336573  0.49739426 -0.85386059]
 [-0.41544992 -0.75155146 -0.51241756]]"
m12z_res4200,1.274651858427407,1.0575486861619687,0.6546064634293706,0.8296764949346344,0.5135570619549301,0.6189847067987511,0.4864429380450699,0.4232706870174873,30,734110,659426,9.769180192350609,4.501548266358896,2101896083.861118,"[7.933126700261339, 13.563025388871008]",277,1.0,[-0.1111405   0.06829661  0.69079006],"[[-0.05267344 -0.11477259  0.99199434]
 [ 0.97203393 -0.23354929  0.0245922 ]
 [-0.22885707 -0.9655475  -0.12386469]]"
