Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12_elvis_RomeoJuliet_res3500,0.2471622876865034,0.1460035417918524,0.139948633292223,0.5907193332707817,0.5662216295300342,0.9585290300131112,0.4337783704699658,0.9582827697836672,14,499598,447427,4.269794341428102,1.7357252116014923,1329014714.4728086,"[1.22966934412716e-07, 0.499999519577111]",102,3.50704241,[ 0.11523324 -0.07339702  0.12665231],"[[-0.53449402  0.53850773 -0.65140277]
 [-0.79265005 -0.58685649  0.16524332]
 [-0.29329514  0.60465601  0.74051946]]"
m12_elvis_RomeoJuliet_res3500,1.2155013113530395,1.098940174695599,0.0712339677573777,0.9041044747802942,0.0586045996759011,0.0648206057050459,0.9413954003240989,0.183224382660174,16,662117,586872,20.371228495997144,7.501438564616168,2493443184.208012,"[7.00817893495298e-07, 0.49999216461137497]",382,0.49880669,[ 0.24225424 -0.32929303  0.7885964 ],"[[-0.26881444 -0.03708808 -0.96247767]
 [ 0.31355355  0.94145892 -0.12385183]
 [-0.91072662  0.33508145  0.24144865]]"
m12_elvis_RomeoJuliet_res3500,0.9067404563926676,0.8378812545760359,0.1384452922423,0.9240585314891784,0.1526845871563778,0.1652325929076343,0.8473154128436222,0.1496034738054462,14,1393157,1246360,12.858267348893168,5.223696898879732,4329418668.360567,"[9.674181162822038e-07, 0.4999995505779946]",277,1.0,[-0.02625932  0.32124347 -0.41079083],"[[ 0.19679081 -0.37302879  0.90670993]
 [ 0.88634554 -0.32764719 -0.32716801]
 [-0.41912404 -0.86804196 -0.26615445]]"
m12_elvis_RomeoJuliet_res3500,1.0211796739300902,0.9102542282345254,0.0619068805566097,0.891375192311986,0.0606229071504686,0.0680105388542721,0.9393770928495312,0.2062081095573806,30,541331,472700,25.86224520457611,11.6714053757298,2035473751.4332416,"[2.3622625026309407e-05, 0.49998569677571014]",486,0.20076481,[ 0.12816196 -0.00089984  0.40600754],"[[ 0.2112089   0.34725978  0.91367469]
 [-0.80820555 -0.46367415  0.36305656]
 [-0.54972228  0.81511774 -0.18272518]]"
m12_elvis_RomeoJuliet_res3500,1.408084726574161,1.2284730766427698,0.0597004035828275,0.8724425835024983,0.0423983034941919,0.0485972421520051,0.957601696505808,0.2392740614059582,30,698136,613229,32.25876361689513,13.740385150091354,2465476719.883324,"[3.982150949159019e-06, 0.4999868196670294]",590,0.0015949,[-0.40145795  0.69793697 -0.17944035],"[[ 0.48464887 -0.03063633 -0.87417211]
 [-0.83603136  0.27767001 -0.47323455]
 [ 0.25722955  0.96018789  0.10895952]]"
m12_elvis_RomeoJuliet_res3500,0.1371950209760612,0.1118056445173159,0.0960158165758874,0.8149395198301297,0.699849133684239,0.8587743220872626,0.300150866315761,0.6583030430309428,30,629524,565279,4.731028302860064,1.5485968095998834,1642767526.7864397,"[8.175803658971859e-06, 0.499998346624853]",120,3.0,[-0.01119463  0.04793999  0.01022068],"[[ 0.65062038 -0.14608054 -0.7452205 ]
 [ 0.29623652  0.95240157  0.07193869]
 [ 0.69924033 -0.26756631  0.66292626]]"
m12_elvis_RomeoJuliet_res3500,1.341928409732044,1.1961724436780832,0.0717678044813898,0.8913832027126803,0.0534810977701265,0.0599978747718954,0.9465189022298734,0.2060252651163249,30,636133,556094,28.97689743545453,12.490243166853256,2290721723.786963,"[1.2411751756147282e-05, 0.49998643980051183]",534,0.0998249,[-0.06184289  0.26790987 -0.22344457],"[[ 0.40666259 -0.07162326  0.91076652]
 [-0.79472397  0.46397195  0.39133596]
 [ 0.45059888  0.88294968 -0.13175932]]"
m12_elvis_RomeoJuliet_res3500,0.7299366189373349,0.7101384750719754,0.0981806773772663,0.9728769000599228,0.134505756842561,0.1382556794536661,0.865494243157439,0.0544964766103354,13,1266939,1132918,12.909568269764945,6.095823067175605,4008691391.6499705,"[1.9254655825307054e-07, 0.49999939353664935]",294,0.89728099,[0.10470467 0.14992684 0.30636846],"[[-0.11015914 -0.34217839  0.93315535]
 [-0.82075329 -0.49819893 -0.27957444]
 [ 0.56056133 -0.79668801 -0.22596287]]"
m12_elvis_RomeoJuliet_res3500,0.6844181333506498,0.3508711821884054,0.2681536008346536,0.5126561747723926,0.3917979196750325,0.7642508545790593,0.6082020803249675,0.870866546850101,30,54612,48966,2.458136409737931,2.001008712445211,136650624.61247897,"[3.199268030940061e-05, 0.4997621176058864]",67,5.0,[ 0.11515702 -0.08370738  0.01033312],"[[-0.94892035  0.31129837 -0.05141496]
 [-0.31271455 -0.94959049  0.02207961]
 [ 0.04194981 -0.03703    -0.99843327]]"
m12_elvis_RomeoJuliet_res3500,0.1279179620010543,0.1058170064266262,0.0544925652814984,0.8272255496515343,0.4259961965392266,0.5149698249995736,0.5740038034607733,0.3856901448969676,30,1273,1125,0.4862908011092335,0.3361017349080888,3205921.8731754245,"[3.2174266429763065e-05, 0.31070422139028864]",20,10.0,[-0.04813652 -0.0334036   0.00874837],"[[ 0.89449985 -0.44692725  0.01122728]
 [-0.37758646 -0.7686877  -0.51628256]
 [-0.23937102 -0.4575754   0.85634471]]"
m12_elvis_RomeoJuliet_res3500,0.904322987135174,0.8763608611256937,0.3317753257528906,0.9690794921645616,0.3668770234448308,0.3785830021285092,0.6331229765551691,0.0703545758564769,17,1760638,1582660,8.782432809330894,3.997028918335395,5023664603.133388,"[3.112613461198066e-06, 0.4999932343206588]",214,1.5,[ 0.05696173  0.30745002 -0.14831122],"[[ 0.2776105   0.36478716 -0.88874222]
 [ 0.7695578   0.46933317  0.43302099]
 [-0.5750767   0.80414968  0.15043298]]"
m12_elvis_RomeoJuliet_res3500,1.3533404539469371,1.225882723509541,0.065579254150575,0.9058199065389104,0.0484573219985533,0.0534955366389619,0.9515426780014468,0.1799127522202251,30,533444,464926,20.48606662705826,9.400021638844052,2064958129.750076,"[4.045898115645485e-06, 0.4999941044209959]",446,0.30020699,[ 0.23621164 -0.89846617 -0.13569472],"[[ 0.24376609 -0.1441039   0.95906838]
 [-0.96733914 -0.10701412  0.22978896]
 [ 0.06952038 -0.98375914 -0.16548376]]"
m12_elvis_RomeoJuliet_res3500,0.131629633644622,0.1111075839930718,0.1006418179266389,0.8440924806722753,0.7645832867571065,0.90580511527381,0.2354167132428934,0.6921023198283741,30,5318,4729,0.5694863787521015,0.3350741403153812,14329676.219576266,"[0.00012499866719473118, 0.40901937848231285]",29,8.54545403,[ 0.04614713 -0.06915026  0.01593097],"[[ 0.03606954  0.5178348   0.8547199 ]
 [ 0.57059016  0.69149063 -0.44302097]
 [-0.82044248  0.50367433 -0.27052969]]"
