Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12b_res7100,0.1326211077676879,0.1024859454822681,0.0823881945085442,0.7727725036182967,0.6212298773198561,0.8038974917082536,0.3787701226801439,0.6559844991227752,30,882662,790366,3.469260562211519,0.9606227461906132,5643470951.633456,"[1.167708677307644e-06, 0.4999940795015414]",294,0.89728099,[ 0.04799751 -0.02982232  0.05419758],"[[-0.80936518  0.56914853 -0.14490672]
 [ 0.14884396  0.43745622  0.88683569]
 [-0.56813157 -0.69620543  0.43877615]]"
m12b_res7100,0.9650110148788684,0.852181689403801,0.0613365772981407,0.8830797537692042,0.0635604944942933,0.0719759390055103,0.9364395055057066,0.2210632298853803,24,602836,537043,18.154123842468472,7.195318134732856,4082336653.811663,"[-2.0237480469198488e-07, 0.49999833585066744]",534,0.0998249,[ 0.56676406  0.06740527 -0.22197827],"[[-0.92338617 -0.12737493  0.36212374]
 [-0.0464553   0.97349002  0.22396223]
 [ 0.38105102 -0.18998106  0.90482447]]"
m12b_res7100,0.5929112920727863,0.3910278387364916,0.336717900421043,0.6595047926469391,0.5679060340441403,0.8611097908247721,0.4320939659558597,0.834048453246219,15,70670,63527,3.668292526208038,2.4716544784731136,362032339.4646485,"[1.635159789614704e-05, 0.49998258214363744]",120,3.0,[ 0.20675012 -0.11724114 -0.41543368],"[[ 0.83271639 -0.06911747 -0.54936891]
 [ 0.51328939 -0.27572429  0.81271773]
 [-0.20764734 -0.95874861 -0.19412288]]"
m12b_res7100,0.8116929734503049,0.7752958302380594,0.0387492271896878,0.9551589770975468,0.0477387737200366,0.049979924666678,0.9522612262799632,0.0878715869833548,30,445542,397331,17.912142010012772,6.881313591383082,3127348667.178101,"[9.146453955308914e-06, 0.49999909017047384]",590,0.0015949,[ 0.28618168 -0.18220849 -0.08674169],"[[-0.7098284   0.5884237   0.38717076]
 [-0.56898625 -0.80301497  0.17726143]
 [ 0.41520874 -0.09446964  0.90480782]]"
m12b_res7100,1.7049170063908543,1.0032798317211762,0.116065085430944,0.5884625632569783,0.0680766776305684,0.1156856559468843,0.9319233223694317,0.6567555016962169,30,715303,638025,22.55260607142661,8.421040809637226,4642398794.397811,"[8.69906033340584e-06, 0.49999986514955896]",486,0.20076481,[ 1.26695006 -0.83993628  0.04930801],"[[ 0.82008498  0.53397564  0.20574409]
 [-0.57096055  0.73948641  0.35660047]
 [ 0.038271   -0.40991445  0.91132073]]"
m12b_res7100,0.4565207891142871,0.3668594610096586,0.0291629359537355,0.8035985868714025,0.0638808497863057,0.0794934819821036,0.9361191502136944,0.3556807600528441,21,376881,334099,13.232778487557654,3.759791405828851,2561996599.202606,"[8.539212511315952e-06, 0.49999904696518627]",382,0.49880669,[ 0.23540568  0.12025869 -0.16410044],"[[-0.83380796  0.53621739  0.13128289]
 [-0.37577834 -0.37707188 -0.84652669]
 [ 0.40441924  0.75517396 -0.51590441]]"
m12b_res7100,0.0634671601330419,0.0563284434802004,0.0400476173108562,0.8875210953526662,0.6309974674604484,0.7109661626800146,0.3690025325395516,0.3527607513969775,30,892870,800007,2.904035942859035,0.9659439194402132,5470625154.969028,"[2.0799485101363757e-05, 0.49999620677564494]",277,1.0,[ 1.22819850e-02 -5.71205488e-03  5.91858381e-05],"[[-0.273716   -0.77993925  0.56282707]
 [-0.79644322  0.51186251  0.32198596]
 [-0.53921957 -0.3601271  -0.76128229]]"
m12b_res7100,0.8505888960651621,0.7829416264986764,0.0423157528543819,0.9204700768145186,0.0497487717628754,0.0540471363664982,0.9502512282371246,0.153113785165227,30,440237,392624,17.401348100090658,6.938541992643611,3099955901.0770216,"[3.1819340775850465e-05, 0.4999998169054907]",600,0.0,[ 0.38220155  0.1371081  -0.17353919],"[[ 0.5795688   0.7197318   0.38221217]
 [-0.81078783  0.5564622   0.18158446]
 [-0.08199451 -0.41513366  0.90605791]]"
m12b_res7100,0.2757268115679769,0.2016690514456256,0.1709660807611216,0.7314089271869982,0.6200560612473198,0.8477556647169429,0.3799439387526802,0.75551251425161,30,730821,658190,5.6310232517208005,2.3285611006385287,4017462271.631715,"[2.1971389649877437e-06, 0.499999461920277]",214,1.5,[-0.00956416 -0.11189235  0.43432578],"[[ 0.16279336  0.59244679  0.78898994]
 [ 0.10645806  0.78444184 -0.61099729]
 [ 0.9809001  -0.18346064 -0.06463119]]"
m12b_res7100,2.0507555712530388,1.4699965950698466,0.3802978153646855,0.7168073151553889,0.1854427805515205,0.2587065960833846,0.8145572194484794,0.5035022234172181,30,464097,410631,15.281167090836082,5.942225421654507,3056100327.9012218,"[3.090518026382938e-06, 0.49997481184917136]",446,0.30020699,[-0.98757615 -1.07328708  0.41823989],"[[-0.69287024  0.70907611  0.13092712]
 [-0.61575567 -0.48736363 -0.61912975]
 [ 0.375201    0.50959569 -0.77429739]]"
