Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12f_res7100,0.5802417907448181,0.4773294068473076,0.2638176101788645,0.8226387937942067,0.4546684061487872,0.5526950705202557,0.5453315938512129,0.4075065348721037,30,10775511,9674349,17.33859726667818,3.775699450091918,58101637603.78763,"[3.526425235887256, 13.633386940970984]",446,0.30020699,[ 0.16210773 -0.10509162 -0.00065321],"[[-0.78404084  0.27427533 -0.55682403]
 [ 0.1384746  -0.79717936 -0.58764773]
 [ 0.6050659   0.53784581 -0.58704101]]"
m12f_res7100,0.6952680810665703,0.580676077487866,0.4134005461550892,0.8351829938706298,0.5945915790077915,0.7119297008816896,0.4054084209922085,0.4678850463980879,30,2481448,2227000,7.991970803016183,3.129592410224161,12302558116.09788,"[9.517975562989466, 13.633386940970984]",214,1.5,[-0.06836592  0.07958219 -0.12578962],"[[ 0.40544939 -0.05418975  0.91250987]
 [ 0.91162309  0.09766456 -0.39925553]
 [ 0.06748432 -0.99374298 -0.08899866]]"
m12f_res7100,0.8892835046816054,0.8414678239021036,0.2552678789265052,0.9462312293798572,0.2870489304959053,0.303360237522526,0.7129510695040946,0.1140432961084299,19,15158881,13520353,20.132206757788207,5.254237597710596,84260754555.12375,"[5.1598905386653974e-06, 13.6336628885831]",600,0.0,[ 0.1216566  -0.08643006  0.23334831],"[[ 5.60552586e-01  6.29264818e-01  5.38336872e-01]
 [-3.58486962e-01 -4.01614111e-01  8.42729615e-01]
 [ 7.46503782e-01 -6.65381014e-01  4.57404616e-04]]"
m12f_res7100,0.1700956372709089,0.1128791353237519,0.0943004173001377,0.6636215786297387,0.5543964490397058,0.8354105214366845,0.4456035509602942,0.8079272093123245,30,3111,2763,1.3943334158451908,0.5290305528228649,15389084.091551576,"[12.650480148330658, 13.582197385114148]",67,5.0,[ 0.00660504 -0.0265312   0.02569652],"[[ 0.28409555  0.35379652 -0.89113284]
 [ 0.79184318 -0.61064251  0.01000517]
 [ 0.5406238   0.70847989  0.45363218]]"
m12f_res7100,0.823811859786627,0.5305002371554118,0.4623896179937784,0.6439579994548938,0.5612806036969904,0.8716105773545957,0.4387193963030096,0.8545237753107232,30,86611,77638,3.4725493509700063,2.775156653193145,427914110.09321785,"[11.647406514312733, 13.615870722677023]",120,3.0,[ 0.57819635  0.15498216 -0.33060046],"[[ 0.78754128  0.28198129 -0.54796467]
 [ 0.16336703 -0.95289    -0.25556186]
 [-0.59421372  0.11174615 -0.79650666]]"
m12f_res7100,0.5546430428263137,0.4822521883351386,0.3044115465490559,0.8694820832471089,0.5488422697918566,0.6312289584417743,0.4511577302081434,0.3491852135368689,25,5206057,4657235,9.217572420157971,2.688053310488772,26601425234.299057,"[7.491913265532385, 13.633386940970984]",294,0.89728099,[ 0.01139853  0.22741064 -0.04205117],"[[-0.02520266 -0.11382705 -0.99318086]
 [-0.96032777  0.27877072 -0.00758053]
 [ 0.27773261  0.95358811 -0.11633704]]"
m12f_res7100,1.0950923048546095,0.6273946912489076,0.4100850812925455,0.5729148935369461,0.3744753565289555,0.6536317361503649,0.6255246434710444,0.7813367824243348,30,13438041,12042981,28.28900860386579,6.22288483077801,74233719223.40901,"[1.3410861654556374, 13.633386940970984]",534,0.0998249,[ 0.59741087 -0.39533516  0.25501917],"[[-0.84225512  0.53176941  0.08847381]
 [ 0.5103561   0.73370916  0.44856161]
 [-0.1736173  -0.42295646  0.88936205]]"
m12f_res7100,0.4585406053846559,0.4352827395793012,0.2825115198400663,0.9492785032945024,0.6161101471113467,0.6490299158498967,0.3838898528886533,0.1593633181796655,12,4657441,4171264,8.07509848580561,2.726987612514366,23596148628.65889,"[7.933130569933601, 13.633386940970984]",277,1.0,[-0.09551044 -0.1077008  -0.03554626],"[[ 0.11966018 -0.39819525  0.90946247]
 [-0.57390272 -0.77523206 -0.2639146 ]
 [-0.810134    0.49036292  0.32128975]]"
m12f_res7100,0.4267262775672727,0.4108508212076889,0.1959887021150598,0.9627970968882248,0.4592843525652402,0.4770313018699936,0.5407156474347597,0.0925429575593989,12,8408181,7531736,11.933722812298504,2.745051383595063,44194554085.63372,"[5.183304243225091, 13.633386940970984]",382,0.49880669,[-0.01234732  0.0046533   0.00119783],"[[-0.5536259   0.60812282  0.56893321]
 [ 0.22582029 -0.54795866  0.80544801]
 [-0.8015632  -0.57439355 -0.16603763]]"
m12f_res7100,0.5760189494328696,0.524497979855582,0.3403871353848091,0.9105568147922676,0.5909304472013356,0.6489770188982102,0.4090695527986644,0.2625783193241003,10,63705,57308,3.251884262195454,1.8251618936290104,314377789.8519427,"[11.99685849503687, 13.633386940970984]",102,3.50704241,[-0.17618812 -0.02833728 -0.16520052],"[[ 0.79999304  0.38281408  0.4620222 ]
 [ 0.59471179 -0.40380253 -0.69517006]
 [ 0.07955515 -0.83090125  0.55070326]]"
