Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12b_res7100,1.0370476390847043,0.5473857348849346,0.4085999319869335,0.5278308481257967,0.3940030492211165,0.7464570337639962,0.6059969507788834,0.8539623464822337,28,954548,856462,7.762954329081591,4.105156524433181,4772154100.67326,"[10.51184212363612, 13.605978112543662]",172,2.0,[0.00201512 0.12330273 0.18952176],"[[ 0.11456579 -0.19436485  0.97421609]
 [ 0.6631933  -0.71517655 -0.22067429]
 [-0.73962783 -0.6713753  -0.04696671]]"
m12b_res7100,0.3302704194946508,0.1725905962926218,0.1599476798692289,0.5225735824501146,0.4842930835706269,0.9267462034724228,0.515706916429373,0.949646816624997,30,2320,2036,1.4135440493790736,0.9333693761334774,11276553.078735942,"[12.755348648692395, 13.552170952529405]",59,5.49484539,[-0.06751893  0.04929887  0.0331051 ],"[[ 0.90583531  0.29906251  0.30004002]
 [ 0.42321542 -0.67017762 -0.60971359]
 [ 0.01873763  0.67928166 -0.73363841]]"
m12b_res7100,0.526706421483585,0.3902928565112817,0.3041002725545411,0.7410064517761824,0.5773619993049933,0.7791592069422127,0.4226380006950067,0.6763778998538762,30,14965,13429,2.606480444964727,1.7610866120365292,73793016.82488565,"[12.254949462525149, 13.52743991767713]",88,4.0,[ 0.18459105 -0.01423985 -0.01103293],"[[-0.80322914  0.56266683 -0.19552233]
 [ 0.06239612 -0.24695737 -0.9670154 ]
 [-0.59239317 -0.78893479  0.16325513]]"
m12b_res7100,0.2129865205236219,0.20241947457982,0.1275190703654402,0.9503863159141568,0.5987189708153259,0.6299743175904532,0.4012810291846741,0.1508347337704424,12,7735403,6873194,5.308648328486599,1.112686258165391,42319068313.86929,"[6.496572300266886, 13.605978112543662]",332,0.70189703,[-0.04274364  0.01349128 -0.06335421],"[[ 0.82028971 -0.57183196 -0.01153293]
 [-0.24601328 -0.33455752 -0.90969705]
 [ 0.51633542  0.74905238 -0.41511235]]"
m12b_res7100,0.2042103525398906,0.1053813478733016,0.09611470022033,0.5160431220190774,0.4706651696395016,0.9120655804847676,0.5293348303604983,0.9424839047591248,30,1295,1149,0.8877786140816954,0.5359087948446869,6514915.025589528,"[13.034445105930134, 13.516944468078623]",41,7.0,[-0.05632993  0.02255096 -0.13698277],"[[ 0.48601519  0.59795397  0.63736982]
 [-0.26893012 -0.59158486  0.76006838]
 [ 0.83154424 -0.54081272 -0.1267114 ]]"
m12b_res7100,0.3979916010402265,0.3823217507254394,0.1848580567348342,0.9606276859264594,0.4644772810573706,0.483514360310586,0.5355227189426295,0.0984295575915487,15,9689921,8643443,7.73173614610652,1.740851068925391,53131785962.71601,"[4.401443126819294, 13.605978112543662]",412,0.3986637,[-0.1567975   0.05336575 -0.1099855 ],"[[-0.11152379  0.98738832  0.11236878]
 [ 0.53912109  0.15510244 -0.82782346]
 [-0.83481189 -0.03174163 -0.54961948]]"
m12b_res7100,0.2556220919440168,0.2066819091233811,0.1774753214293384,0.8085447840269063,0.6942878844298278,0.8586882237641442,0.3057121155701722,0.6684926158148018,30,51221,45924,2.993878127475376,1.6047202573775703,255299233.7712112,"[11.996905661990755, 13.569698753868217]",102,3.50704241,[0.00133959 0.10432346 0.12129169],"[[ 0.79180393  0.61077337  0.00155606]
 [ 0.59775026 -0.77439246 -0.20739078]
 [ 0.12546376 -0.16514297  0.97825694]]"
m12b_res7100,0.1538526903497463,0.135381002922691,0.1317055087061042,0.8799391327830245,0.8560494353833143,0.9728507387503575,0.1439505646166856,0.8447775272235318,30,6140039,5453825,5.168636542123859,1.0198506949270094,33091089726.17586,"[7.491910340046114, 13.605978112543662]",294,0.89728099,[-0.00199042 -0.05060522  0.03934745],"[[-0.51672482 -0.61625225  0.59433041]
 [ 0.24254823  0.56037881  0.79192547]
 [-0.82107601  0.55336133 -0.14009075]]"
m12b_res7100,0.6094069096388711,0.5464257257457008,0.2265247728343577,0.8966516741162446,0.3717134959441044,0.4145572987531326,0.6282865040558956,0.2274415896967603,17,14448320,12860077,14.290289055690646,3.248730328051094,79171888686.23009,"[1.341077155365757, 13.605978112543662]",534,0.0998249,[ 0.09590287  0.00420657 -0.03193807],"[[-0.80957305 -0.46832587 -0.35392423]
 [ 0.55653623 -0.8041027  -0.20901263]
 [ 0.18670541  0.36618265 -0.91162018]]"
m12b_res7100,0.6766833677778059,0.6127008846080599,0.2354598723240519,0.9054469398592414,0.3479616664693419,0.3842982411795827,0.6520383335306581,0.204984856429692,24,15837810,14093723,14.865600273817044,3.710064135430428,86993193211.20152,"[0.022993700389977587, 13.605978112543662]",590,0.0015949,[ 0.02957231 -0.12335504  0.01294955],"[[ 0.54979968  0.74564966 -0.37646632]
 [ 0.74720692 -0.64049034 -0.17735259]
 [-0.37336594 -0.18378984 -0.90929597]]"
m12b_res7100,0.5281100386685836,0.3684177313140853,0.3231251021988678,0.6976154671153421,0.611851846280933,0.8770617555412814,0.3881481537190669,0.8204955892276228,30,119464,106940,3.7810303486368695,2.3168267538732947,594858823.4308938,"[11.647385409399089, 13.569026192104266]",120,3.0,[ 0.0942541  -0.13278179 -0.29291482],"[[ 0.80692353 -0.36031371 -0.46802613]
 [ 0.54376564  0.76257106  0.35043446]
 [-0.23063684  0.53727034 -0.81126274]]"
m12b_res7100,0.7068388852760199,0.5911008952484911,0.4658512187112764,0.8362597298501295,0.6590628054218636,0.7881077874453881,0.3409371945781364,0.5315601342207161,30,12865285,11482940,14.362266174065647,2.670769579887671,70270881156.92154,"[2.5172176718267947, 13.605978112543662]",486,0.20076481,[-0.13375337 -0.45475438 -0.21263484],"[[-0.74887227  0.01977971 -0.66241912]
 [ 0.66165687  0.07876027 -0.74565878]
 [ 0.03742339 -0.99669734 -0.07206877]]"
m12b_res7100,0.300621978223876,0.2754993403427815,0.1529334738402562,0.9164311337796288,0.5087235296095525,0.5551137568967442,0.4912764703904475,0.2160737951983048,24,8930345,7960482,6.931377055874858,1.4822393031320784,48880122333.69514,"[5.183313061418998, 13.605978112543662]",382,0.49880669,[ 0.01796074  0.02246467 -0.01027418],"[[ 0.90658939 -0.39891819 -0.13769513]
 [ 0.32455088  0.45050431  0.83169261]
 [-0.26974506 -0.79869277  0.53789168]]"
m12b_res7100,0.1321108480770586,0.1250652118074689,0.1025308847074401,0.946668753004446,0.7760973924536091,0.8198193824297106,0.2239026075463909,0.2610645292165348,9,5302295,4715831,5.7798502564359975,1.1515789157841605,28269261750.172203,"[7.933146532328324, 13.605978112543662]",277,1.0,[-0.00048075 -0.00230409 -0.03102237],"[[ 0.40689087  0.58462571  0.70189216]
 [ 0.53176769 -0.77635292  0.33837742]
 [ 0.74274016  0.23556089 -0.62677597]]"
m12b_res7100,0.6565271646803946,0.5887515181668188,0.2282196240797205,0.8967664246664191,0.3476164222249975,0.3876331814656248,0.6523835777750024,0.2227232254009002,29,15856898,14102802,14.792975439095278,3.735777191692762,87082721270.20496,"[3.1819340775850465e-05, 13.605978112543662]",600,0.0,[ 0.00887743 -0.10632302  0.01056875],"[[-0.88943767  0.26936237  0.36924863]
 [ 0.34947612  0.92146516  0.16961251]
 [ 0.29456251 -0.27990334  0.91372154]]"
m12b_res7100,0.4078784536311707,0.3224497854459004,0.2543643194141424,0.7905536136446171,0.6236277428965508,0.7888493988680878,0.3763722571034492,0.6137000153415041,11,2310130,2067726,7.246031355051582,2.899611426507609,11763349633.596169,"[9.517955422560387, 13.605978112543662]",214,1.5,[-0.0219063  -0.07433714  0.29249173],"[[ 0.06532377 -0.02452358  0.99756273]
 [-0.12320176 -0.99224735 -0.01632524]
 [ 0.99022933 -0.12183506 -0.06783868]]"
m12b_res7100,1.0183998981924487,0.5948339923122157,0.4298595579679636,0.5840868536691556,0.4220930881188406,0.7226546625168985,0.5779069118811593,0.8016701690131586,30,11001391,9820185,15.337530840660104,2.945315736550424,60090381276.19357,"[3.526423325127056, 13.605978112543662]",446,0.30020699,[-0.68218319 -0.54522647 -0.00885058],"[[ 0.82182109  0.14805263  0.55017317]
 [ 0.55055318  0.0421623  -0.83373469]
 [-0.14663318  0.98808034 -0.04686098]]"
m12b_res7100,0.4054274774695943,0.2696320034449257,0.2122699839426215,0.6650560665690135,0.5235707882146223,0.7872581193277347,0.4764292117853776,0.7683161441317116,30,10215,9169,1.843594660476895,1.1858102127557306,52183588.2234926,"[12.663194710346925, 13.552170952529405]",67,5.0,[-0.00093504 -0.10420066  0.05193659],"[[ 0.5016312   0.44334024  0.7428429 ]
 [ 0.86200186 -0.32855543 -0.38601053]
 [-0.07293107 -0.83396688  0.54697377]]"
