Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12b_res7100,0.1326848754703227,0.1015246153520439,0.0831283527964713,0.765155900340365,0.6265096342127134,0.818799977800632,0.3734903657872865,0.6823806108091884,30,882662,790888,3.5638248005416453,0.9526054048855546,5643602815.427263,"[1.167708677307644e-06, 0.4999940795015414]",294,0.89728099,[6.43933926e-16 4.08696071e-16 9.62336679e-17],"[[-0.99868472  0.03504177  0.03742856]
 [-0.05111784 -0.73707092 -0.67387939]
 [ 0.00397358 -0.67490632  0.73789273]]"
m12b_res7100,0.9577711134130616,0.8469120306125874,0.0621847610826239,0.8842530524799158,0.0649265364258331,0.0734252895635979,0.9350734635741668,0.2190198073509142,4,602836,537100,17.79786622680453,7.199287958683658,4082716244.708752,"[-2.0237480469198488e-07, 0.49999833585066744]",534,0.0998249,[1.99712647e-15 2.36501819e-16 3.00964988e-16],"[[-9.99140293e-01  4.12144574e-02  4.47708542e-03]
 [ 4.12123623e-02  9.99150253e-01 -5.59262486e-04]
 [ 4.49633073e-03  3.74270418e-04  9.99989821e-01]]"
m12b_res7100,0.5920434297388592,0.3914586553782582,0.3368403717935015,0.661199222413336,0.5689453760885015,0.8604749624657547,0.4310546239114985,0.8321966933921862,6,70670,63515,4.057075387731526,2.471061483151765,361980546.2175531,"[1.635159789614704e-05, 0.49998258214363744]",120,3.0,[-1.01785811e-16  4.62662775e-17 -1.41112146e-16],"[[-0.999802   -0.01244213  0.01552937]
 [-0.01115805  0.99671644  0.08019867]
 [ 0.01647622 -0.08000951  0.99665792]]"
m12b_res7100,0.8181535166192819,0.7682048846379455,0.0387980960924626,0.9389495602393414,0.04742153557291,0.0505048807529363,0.95257846442709,0.1186405223746265,5,445542,397281,16.90606440530545,6.900133624360528,3127442155.6381264,"[9.146453955308914e-06, 0.49999909017047384]",590,0.0015949,[4.18513149e-15 2.74434852e-16 4.41132584e-16],"[[-9.84360448e-01 -1.76165260e-01  5.56442743e-04]
 [-1.76166068e-01  9.84357980e-01 -2.21000468e-03]
 [ 1.58412805e-04  2.27346753e-03  9.99997403e-01]]"
m12b_res7100,1.6339609170055804,1.0651649260745697,0.1140692007013239,0.6518913120802214,0.0698114621433961,0.1070906466303775,0.9301885378566038,0.5778539695972131,8,715303,637865,21.91464380253764,7.773591075167674,4644203057.097068,"[8.69906033340584e-06, 0.49999986514955896]",486,0.20076481,[-2.00936628e-15  1.27028903e-15 -5.88230431e-16],"[[-0.99876361 -0.03817097  0.03184708]
 [-0.03850082  0.99921042 -0.00980889]
 [-0.03144752 -0.0110229  -0.99944462]]"
m12b_res7100,0.4551457108503869,0.3654926138533148,0.0293604337843384,0.8030233069107346,0.0645077676981331,0.0803311275563062,0.9354922323018668,0.3566376276327186,6,376881,334502,13.874150446538614,3.762379119648739,2565045121.38103,"[8.539212511315952e-06, 0.49999904696518627]",382,0.49880669,[ 1.32798248e-15  1.53711358e-15 -1.64363973e-16],"[[-0.99806388 -0.0619234   0.00583011]
 [ 0.06193702 -0.99807767  0.00218493]
 [-0.0056836  -0.0025418  -0.99998062]]"
m12b_res7100,0.0638745182558345,0.0560683412792479,0.0399768115566047,0.877788871215894,0.6258647837700627,0.7130015021757208,0.3741352162299373,0.3772632510800962,19,892870,800043,2.892414080079639,0.973489269417766,5470680803.31938,"[2.0799485101363757e-05, 0.49999620677564494]",277,1.0,[1.88983287e-16 5.72235573e-17 7.37988547e-17],"[[ 9.99912215e-01 -1.10353559e-03  1.32039425e-02]
 [ 8.77861521e-05  9.97055578e-01  7.66822385e-02]
 [ 1.32496861e-02  7.66743478e-02 -9.96968149e-01]]"
m12b_res7100,0.8749802860453951,0.7812100201839149,0.0412273187801824,0.8928315673427467,0.0471179973282775,0.0527736686870409,0.9528820026717224,0.2033031468257438,5,440237,392630,17.536704964757366,7.061120791047759,3100462519.5521064,"[3.1819340775850465e-05, 0.4999998169054907]",600,0.0,[ 2.51742601e-15 -8.30491056e-16  3.65772916e-16],"[[-0.99345681  0.11415658  0.00344035]
 [ 0.11414898  0.99346091 -0.00233191]
 [-0.00368405 -0.00192394 -0.99999136]]"
m12b_res7100,0.2739059911290677,0.2107330423680987,0.1647001677801318,0.7693626616177186,0.6013018083365806,0.7815583447632345,0.3986981916634193,0.6391885927985497,5,730821,658223,5.6113859726470015,2.304615188379015,4017881925.276072,"[2.1971389649877437e-06, 0.499999461920277]",214,1.5,[ 1.57709242e-16 -1.30172707e-16  1.47695956e-16],"[[-0.9980637   0.00407999 -0.06206615]
 [ 0.00428079  0.99998602 -0.00310263]
 [-0.06205262  0.00336231  0.99806722]]"
m12b_res7100,2.03670144416633,1.470918477192637,0.3826820437240137,0.7222062327327109,0.1878930487431625,0.2601653658293779,0.8121069512568375,0.4959262369791926,6,464097,413861,15.565315630225586,5.584244659053809,3078115004.279653,"[3.090518026382938e-06, 0.49997481184917136]",446,0.30020699,[-4.87528328e-15 -6.62236871e-16  3.26761614e-16],"[[-0.99697773 -0.07760819  0.00351774]
 [ 0.07764073 -0.996928    0.01031842]
 [ 0.00270614  0.01056035  0.99994058]]"
m12b_res7100,0.4258796494965281,0.2736679249267617,0.2329453849044153,0.6425945105625263,0.5469746797711553,0.8511972492456161,0.4530253202288447,0.8376949634124028,30,8929,7954,1.8552473427256893,1.1956519868358222,45605333.98642051,"[0.04048314504096773, 0.4874225784602153]",67,5.0,[ 1.24990715e-16 -8.18121046e-17 -4.99962862e-17],"[[-0.99194756 -0.09902963  0.07895049]
 [-0.12294514  0.60327647 -0.78799873]
 [ 0.03040625 -0.79135999 -0.61059383]]"
m12b_res7100,0.204647575529114,0.1929583576970673,0.1298436720448811,0.9428812298321912,0.6344745189830454,0.672910329433502,0.3655254810169546,0.1857501994933709,6,35564,31912,2.884181044456779,1.484135355730469,181497939.0206176,"[5.251071423550968e-05, 0.49982304902839125]",102,3.50704241,[ 2.21356791e-16 -7.52267221e-17  1.64288244e-17],"[[ 9.99662392e-01 -2.59827223e-02  2.78981385e-05]
 [ 2.59814577e-02  9.99601927e-01 -1.09977707e-02]
 [-2.57864990e-04 -1.09947826e-02 -9.99939522e-01]]"
m12b_res7100,0.6277329597456341,0.5009725100204975,0.3620905367906836,0.798066283190703,0.5768225662985859,0.7227752612131723,0.4231774337014141,0.5441381919612899,6,10940,9822,2.626765035099969,1.860243529590765,54899119.93030341,"[2.4484464974605658e-05, 0.49998506967047796]",88,4.0,[-6.84101361e-17  1.63424214e-16 -4.96448557e-17],"[[-0.99954522 -0.01231722 -0.0275252 ]
 [ 0.01227819 -0.99992336  0.00158628]
 [ 0.02754263 -0.0012476  -0.99961985]]"
m12b_res7100,0.3621712334754962,0.2030053046218376,0.1497752428873336,0.5605229953625585,0.4135481480681075,0.7377897989726818,0.5864518519318924,0.8273006403285925,6,2010,1798,1.3581507093082186,0.9965809039215028,9998235.372840542,"[0.0012881094370289503, 0.49941606445597486]",59,5.49484539,[-6.45166181e-17 -8.24514263e-17 -1.04687343e-17],"[[-0.99760583 -0.01517839  0.06747014]
 [ 0.01454511 -0.99984552 -0.00986754]
 [ 0.06760949 -0.00886255  0.9976725 ]]"
