Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Age Range,Snapshot,Redshift,Center of Mass,Rotation Matrix
m12f_res7100,0.4891552291932791,0.315148399887809,0.1780735380417363,0.6442707367302517,0.3640430019227587,0.5650466196405549,0.6359569980772413,0.6742750782599085,30,4852,4164,2.6133638504380023,1.0554525180989656,26010410.61526119,"[5.343760349774129e-06, 0.0972941262821827]",102,3.50704241,[-1.57392875 -0.11109501  0.68734969],"[[ 0.65617233  0.09870594 -0.74812767]
 [ 0.57781819  0.57193088  0.58225528]
 [-0.48534937  0.81434158 -0.31825113]]"
m12f_res7100,3.976107234585308,2.3870653581209607,0.12069074074681,0.6003523590504778,0.0303539954096327,0.0505603000505251,0.9696460045903672,0.6401668723567715,30,94611,83304,34.16247739441637,16.627613282346104,736184309.6150507,"[5.1598905386653974e-06, 0.09998958495346591]",600,0.0,[ 1.35248802 -0.8615423   3.5129361 ],"[[-0.31674753  0.79753847  0.51342321]
 [ 0.19522205 -0.47488903  0.85811931]
 [-0.92820222 -0.3720387   0.00527717]]"
m12f_res7100,1.2957703860984815,1.0067833543601354,0.0754202471713776,0.7769766658979792,0.0582049474046596,0.0749120919061193,0.9417950525953404,0.397654440687874,30,110264,97637,21.4765851456984,6.572412421547639,858638533.4361901,"[5.001278226668404e-06, 0.09997014335756216]",446,0.30020699,[ 0.13371626 -0.06856376 -0.69427911],"[[-0.27340925 -0.83117604 -0.48414231]
 [ 0.14726275  0.46121703 -0.87498145]
 [-0.95055829  0.31052415  0.00369974]]"
m12f_res7100,2.146671474505756,0.6145748327637861,0.4897721061559528,0.2862919827568325,0.2281541968450094,0.7969283479335029,0.7718458031549906,0.9684488647005696,30,70466,63136,8.914341957189569,6.613884021642249,411370041.6305029,"[2.2337568044150657e-05, 0.0999972459015126]",214,1.5,[ 0.23078458  1.31961497 -0.47466455],"[[-0.20682907 -0.90072423  0.38199161]
 [-0.92214964  0.30992269  0.23149076]
 [ 0.32689721  0.30437441  0.89470355]]"
m12f_res7100,0.5891564836385599,0.4184071666198053,0.1660555090790103,0.7101800255778784,0.2818529774186161,0.3968753939386994,0.7181470225813839,0.538416750675997,30,146692,131469,5.685334247797677,2.3615011935436567,943246832.8993164,"[4.093194948318057e-06, 0.09999482962482009]",294,0.89728099,[-0.02510236  0.20650746 -0.09098448],"[[-0.05327062  0.06597395  0.99639835]
 [ 0.86845036  0.49558912  0.01361596]
 [-0.49290589  0.86604784 -0.08369544]]"
m12f_res7100,6.214493320542274,3.453730620976115,0.3081997350533514,0.555754177023517,0.0495937028421261,0.0892367613100775,0.9504062971578738,0.6928413625520845,30,149941,132027,27.111029021023366,16.430184889910375,1096817927.092994,"[8.807715075720424e-06, 0.09999564317634291]",534,0.0998249,[ 3.23731371 -2.11449427 -0.4190794 ],"[[ 0.82878808  0.18074593 -0.52956702]
 [-0.52372626 -0.0826762  -0.84786523]
 [-0.19703078  0.98004875  0.02614034]]"
m12f_res7100,3.913675779514577,2.417650619924977,0.1102036363208364,0.6177442271993325,0.0281586014093649,0.0455829454481955,0.9718413985906352,0.6188827861520706,26,86024,75671,33.17413923499769,16.935839772577637,674559823.9731692,"[3.410726577893902e-05, 0.09997862133655606]",590,0.0015949,[ 0.60085359 -0.40422951  3.58962333],"[[-0.21705566 -0.8141292  -0.5385912 ]
 [ 0.14703336  0.5181833  -0.8425362 ]
 [-0.96502229  0.26206813 -0.00722953]]"
m12f_res7100,0.8854688420279427,0.8432643740474955,0.610220763364973,0.9523365860239774,0.6891498993543539,0.7236411049076328,0.3108501006456461,0.1772232249222305,12,16049,14390,3.255287140018917,1.94125224133285,85871073.52196845,"[3.745651154041241e-05, 0.0999901432291157]",120,3.0,[ 1.2580118   0.25884909 -0.96721618],"[[ 0.57740377  0.74025811  0.34441664]
 [-0.79466023  0.60636327  0.02896052]
 [-0.18740334 -0.29041611  0.93837011]]"
m12f_res7100,1.0535644584863668,0.9280347350217122,0.063309726146783,0.8808523555881902,0.060090985071515,0.068219134217322,0.939909014928485,0.2249112657012516,30,98794,86808,19.653308782922554,6.891281413370816,784761557.0184458,"[8.69906033340584e-06, 0.09997341918918545]",486,0.20076481,[-0.22893221  0.10666339  0.32144675],"[[ 0.71475651  0.48340804  0.50541052]
 [-0.48021795 -0.18614491  0.85717022]
 [-0.50844257  0.8553752  -0.09909293]]"
m12f_res7100,0.2674749704117664,0.198385442585986,0.1352964375365504,0.7416972222880518,0.5058284045354496,0.6819877294066524,0.4941715954645503,0.6045726156507142,11,96589,87003,3.111823019160662,1.4812026953693194,608550819.5881538,"[4.837090378018161e-06, 0.09998873936359587]",277,1.0,[-0.05231651 -0.043555    0.03289053],"[[ 0.08546896 -0.63597876 -0.76695898]
 [-0.46420899 -0.70653914  0.53414647]
 [-0.88159235  0.31037631 -0.35561422]]"
