Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
object_239,3.867803463951994,3.605822722794128,1.2531651737036589,0.9322662737133538,0.3239991859418875,0.3475393190524323,0.6760008140581125,0.1462301767984822,5,238754,177406,15.161377951258478,7.240571273965637,9082292385.330923,[1.13614208 1.70492255 0.88891745],"[[-0.77583    -0.34754159 -0.52659533]
 [ 0.21053786 -0.92938201  0.30318787]
 [-0.59477863  0.12435399  0.79421311]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_321,3.24630567932672,2.629597938958316,1.6385172074422356,0.810027828156864,0.5047328777067175,0.6231056022546606,0.4952671222932825,0.4613986619240698,7,26017,20693,12.800893142222172,5.643829037708389,984811179.7658536,[ 1.14313025 -1.29824832  0.5354234 ],"[[ 0.37435138  0.92413811  0.07635315]
 [-0.92702121  0.37100223  0.05467192]
 [-0.02219721  0.09124749 -0.99558082]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_143,3.3156852397903527,2.7765329191590222,1.3928111091216926,0.837393394837014,0.4200673490978771,0.5016368073689391,0.5799326509021229,0.362788766471192,5,170303,36917,12.160247959663742,6.029433072213063,1781790445.922357,[ 3.63602197 -3.8784247  -3.38442893],"[[ 0.01369064 -0.99915705 -0.03870074]
 [ 0.83456356  0.03273632 -0.54993818]
 [-0.55074153  0.02476922 -0.83430825]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_51,3.705060356254911,3.6057517671922175,2.3956565913193684,0.973196498973346,0.6465904360437753,0.6643986458293704,0.3534095639562247,0.0908862059191092,7,966384,188647,16.48307912238826,6.110208380194052,9821796838.838465,[-7.86002003 -0.32385915  3.16681706],"[[-0.59087653 -0.50775915 -0.62693347]
 [-0.11894693  0.82343562 -0.55480213]
 [-0.79794521  0.25324774  0.54694517]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_284,4.358793839330291,3.2670018840213184,1.8941266774821115,0.7495197076178484,0.4345529399420128,0.5797752020732387,0.5654470600579872,0.5402364343880851,30,16542,8837,15.443267989499104,7.388418488507724,409959155.9292057,[ 0.36692196 -4.24457447 -1.0967017 ],"[[-0.25082327  0.94369643  0.21569592]
 [-0.5566061  -0.32289638  0.76545907]
 [-0.79200842 -0.07193728 -0.60625711]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_90,5.22172815803137,4.349989855587459,1.6018261768748263,0.8330555946113131,0.3067616942891042,0.3682367614759649,0.6932383057108957,0.3378069333176369,7,264644,143584,19.47635601593693,9.452451527794716,7167610280.961281,[-1.11516464  1.38523622 -1.25602905],"[[ 0.57267531  0.42091893  0.70347015]
 [-0.57005035  0.82115693 -0.02727441]
 [ 0.5891397   0.38539403 -0.71020128]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_104,2.3223072723027838,2.185982198645574,1.3561895114213312,0.9412975727703636,0.5839836646924604,0.6204028158425173,0.4160163353075395,0.1729366683261879,6,263328,206856,9.696546124895098,4.245870776334459,11204448541.227297,[ 0.69430126 -0.19232186  0.04194478],"[[ 0.00922038 -0.27901604 -0.96024218]
 [-0.98561831 -0.16457618  0.03835659]
 [-0.16873509  0.94607861 -0.27652077]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_239,3.867803463951994,3.605822722794128,1.2531651737036589,0.9322662737133538,0.3239991859418875,0.3475393190524323,0.6760008140581125,0.1462301767984822,5.0,238754.0,177406.0,15.161377951258478,7.240571273965637,9082292385.330923,[1.13614208 1.70492255 0.88891745],"[[-0.77583    -0.34754159 -0.52659533]
 [ 0.21053786 -0.92938201  0.30318787]
 [-0.59477863  0.12435399  0.79421311]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_321,3.24630567932672,2.629597938958316,1.6385172074422356,0.810027828156864,0.5047328777067175,0.6231056022546606,0.4952671222932825,0.4613986619240698,7.0,26017.0,20693.0,12.800893142222172,5.643829037708389,984811179.7658536,[ 1.14313025 -1.29824832  0.5354234 ],"[[ 0.37435138  0.92413811  0.07635315]
 [-0.92702121  0.37100223  0.05467192]
 [-0.02219721  0.09124749 -0.99558082]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_143,3.3156852397903527,2.7765329191590222,1.3928111091216926,0.837393394837014,0.4200673490978771,0.5016368073689391,0.5799326509021229,0.362788766471192,5.0,170303.0,36917.0,12.160247959663742,6.029433072213063,1781790445.922357,[ 3.63602197 -3.8784247  -3.38442893],"[[ 0.01369064 -0.99915705 -0.03870074]
 [ 0.83456356  0.03273632 -0.54993818]
 [-0.55074153  0.02476922 -0.83430825]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_51,3.705060356254911,3.6057517671922175,2.3956565913193684,0.973196498973346,0.6465904360437753,0.6643986458293704,0.3534095639562247,0.0908862059191092,7.0,966384.0,188647.0,16.48307912238826,6.110208380194052,9821796838.838465,[-7.86002003 -0.32385915  3.16681706],"[[-0.59087653 -0.50775915 -0.62693347]
 [-0.11894693  0.82343562 -0.55480213]
 [-0.79794521  0.25324774  0.54694517]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_284,4.358793839330291,3.2670018840213184,1.8941266774821115,0.7495197076178484,0.4345529399420128,0.5797752020732387,0.5654470600579872,0.5402364343880851,30.0,16542.0,8837.0,15.443267989499104,7.388418488507724,409959155.9292057,[ 0.36692196 -4.24457447 -1.0967017 ],"[[-0.25082327  0.94369643  0.21569592]
 [-0.5566061  -0.32289638  0.76545907]
 [-0.79200842 -0.07193728 -0.60625711]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_90,5.22172815803137,4.349989855587459,1.6018261768748263,0.8330555946113131,0.3067616942891042,0.3682367614759649,0.6932383057108957,0.3378069333176369,7.0,264644.0,143584.0,19.47635601593693,9.452451527794716,7167610280.961281,[-1.11516464  1.38523622 -1.25602905],"[[ 0.57267531  0.42091893  0.70347015]
 [-0.57005035  0.82115693 -0.02727441]
 [ 0.5891397   0.38539403 -0.71020128]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_104,2.322307272302784,2.185982198645574,1.3561895114213312,0.9412975727703636,0.5839836646924604,0.6204028158425173,0.4160163353075395,0.1729366683261879,6.0,263328.0,206856.0,9.696546124895098,4.245870776334459,11204448541.227297,[ 0.69430126 -0.19232186  0.04194478],"[[ 0.00922038 -0.27901604 -0.96024218]
 [-0.98561831 -0.16457618  0.03835659]
 [-0.16873509  0.94607861 -0.27652077]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_239,3.867803463951994,3.605822722794128,1.2531651737036589,0.9322662737133538,0.3239991859418875,0.3475393190524323,0.6760008140581125,0.1462301767984822,5.0,238754.0,177406.0,15.161377951258478,7.240571273965637,9082292385.330923,[1.13614208 1.70492255 0.88891745],"[[-0.77583    -0.34754159 -0.52659533]
 [ 0.21053786 -0.92938201  0.30318787]
 [-0.59477863  0.12435399  0.79421311]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix,,,,,,,,,,,,,,,,,
